y_m;z_m;kind
0.00;3.570;bo
4.98;3.580;bo
9.96;3.530;bo
14.33;3.490;bo
18.10;3.470;bo
22.14;3.470;do
25.89;3.460;do
29.87;1.790;do
33.92;0.900;do
36.29;-0.080;do
38.59;-0.560;do
40.47;-1.900;do
44.47;-3.100;do
48.92;-5.000;do
52.93;-5.800;do
56.94;-7.000;do
60.82;-7.700;do
64.86;-8.900;do
69.28;-11.000;do
73.06;-12.500;do
77.06;-13.900;do
81.16;-14.100;do
85.13;-14.300;do
89.24;-14.500;do
93.24;-14.700;do
97.28;-15.600;do
101.19;-17.500;do
105.25;-18.300;do
109.22;-19.200;do
113.49;-20.100;do
117.44;-20.700;do
121.59;-21.200;do
125.34;-21.600;do
129.39;-22.200;do
133.56;-22.800;do
137.60;-23.300;do
141.65;-23.700;do
145.48;-23.800;do
149.55;-24.800;do
153.41;-25.400;do
157.71;-26.900;do
161.59;-28.200;do
165.64;-28.800;do
169.68;-29.000;do
173.72;-29.300;do
177.74;-29.600;do
181.91;-29.600;do
185.74;-29.800;do
189.89;-29.900;do
193.72;-30.000;do
197.86;-30.200;do
201.67;-30.050;do
205.60;-30.020;do
209.73;-29.900;do
213.55;-29.700;do
217.78;-29.500;do
221.69;-29.100;do
225.81;-29.000;do
229.61;-28.300;do
233.71;-27.200;do
237.41;-24.100;do
241.51;-23.400;do
245.42;-22.900;do
249.43;-22.870;do
253.26;-22.840;do
257.40;-22.810;do
261.43;-22.780;do
265.46;-22.750;do
269.49;-22.720;do
273.56;-22.690;do
277.24;-22.300;do
281.26;-22.200;do
285.29;-22.100;do
289.31;-22.000;do
293.33;-21.500;do
297.35;-21.450;do
301.37;-21.400;do
305.10;-21.350;do
309.34;-21.300;do
313.36;-21.000;do
317.29;-20.900;do
321.21;-20.700;do
325.33;-20.650;do
330.43;-20.600;do
332.40;-20.550;do
336.32;-20.500;do
340.27;-20.450;do
344.42;-20.400;do
348.32;-20.350;do
352.29;-20.300;do
356.25;-20.250;do
360.26;-20.200;do
363.92;-20.150;do
367.88;-20.100;do
371.79;-20.080;do
375.74;-20.060;do
379.71;-20.040;do
383.84;-20.020;do
387.52;-20.000;do
391.78;-20.000;do
395.68;-20.130;do
399.63;-20.160;do
403.62;-20.190;do
407.46;-20.220;do
411.42;-20.250;do
415.38;-20.280;do
419.31;-20.310;do
423.28;-20.340;do
427.08;-20.370;do
431.15;-20.400;do
435.02;-20.400;do
439.10;-20.500;do
443.07;-20.600;do
447.04;-20.600;do
450.81;-20.700;do
454.78;-20.800;do
458.67;-21.000;do
460.88;-21.200;do
462.70;-21.240;do
464.86;-21.280;do
468.70;-21.320;do
472.56;-21.360;do
476.66;-21.400;do
480.53;-21.400;do
484.71;-21.400;do
488.48;-21.420;do
492.54;-21.440;do
496.51;-21.460;do
500.37;-21.480;do
504.25;-21.500;do
508.22;-21.500;do
512.32;-21.400;do
516.19;-21.370;do
520.18;-21.340;do
524.04;-21.310;do
528.06;-21.100;do
532.06;-20.800;do
536.09;-20.750;do
540.05;-20.700;do
543.95;-20.650;do
548.03;-20.600;do
552.01;-20.550;do
556.05;-19.800;do
560.15;-19.000;do
563.98;-18.600;do
568.17;-17.990;do
572.12;-17.900;do
576.25;-16.900;do
580.37;-15.100;do
584.54;-13.800;do
588.56;-12.700;do
592.90;-10.900;do
597.18;-8.600;do
601.44;-6.000;do
605.95;-2.200;do
608.92;-0.550;do
611.43;0.110;do
613.97;0.890;do
614.41;2.380;do
617.58;2.420;do
620.95;2.440;bo
625.00;2.470;bo
628.44;2.510;bo
632.38;2.530;bo
635.46;2.550;bo
639.40;2.590;bo
