y_m;z_m;kind
0.00;4.270;bo
3.52;4.240;bo
7.29;4.250;do
10.98;4.230;do
15.54;4.280;do
18.40;4.290;do
21.51;4.290;do
24.72;4.000;do
28.10;2.630;do
29.89;1.530;do
32.40;0.910;do
35.03;-1.120;do
39.05;-2.230;do
43.05;-3.000;do
47.07;-3.750;do
51.03;-4.480;do
55.02;-5.150;do
59.06;-5.660;do
63.05;-5.710;do
67.06;-5.910;do
71.12;-5.970;do
75.19;-6.050;do
79.13;-7.390;do
83.10;-9.000;do
87.18;-10.590;do
91.02;-12.780;do
95.11;-13.500;do
99.19;-14.560;do
103.07;-15.330;do
107.15;-15.760;do
111.19;-16.420;do
115.06;-16.590;do
119.02;-17.230;do
123.04;-18.090;do
127.23;-18.650;do
131.20;-19.450;do
135.18;-19.860;do
139.18;-19.910;do
143.17;-19.870;do
147.20;-19.830;do
151.11;-19.340;do
155.08;-17.940;do
159.09;-16.780;do
163.10;-14.090;do
167.05;-12.340;do
171.15;-10.330;do
175.11;-6.470;do
179.08;-1.920;do
183.12;-1.910;do
187.09;-1.650;do
191.06;-1.230;do
195.07;-0.410;do
199.04;0.170;do
202.99;0.910;do
206.73;1.210;do
210.36;2.790;do
213.57;4.230;do
216.47;5.620;do
219.69;5.630;do
222.95;5.650;do
227.18;5.650;do
231.64;5.470;do
234.21;5.430;do
238.24;5.260;bo
242.95;5.410;bo
