y_m;z_m;kind
0.00;2.370;bo
4.00;2.410;bo
7.50;2.432;bo
12.00;2.240;do
16.00;2.190;do
21.00;2.200;do
25.00;2.230;do
26.50;1.440;do
28.50;-0.540;do
31.50;-1.150;do
35.52;-4.120;do
39.49;-5.580;do
43.45;-6.180;do
47.47;-6.250;do
51.48;-6.730;do
55.51;-7.360;do
59.48;-7.740;do
63.48;-8.170;do
67.48;-8.410;do
71.47;-8.480;do
75.49;-8.790;do
79.51;-8.750;do
83.45;-8.640;do
87.41;-8.500;do
91.47;-8.500;do
95.41;-8.500;do
99.45;-8.630;do
103.43;-8.500;do
107.41;-8.600;do
111.41;-8.470;do
115.42;-8.390;do
119.43;-8.340;do
123.50;-8.300;do
127.42;-8.330;do
131.49;-8.270;do
135.40;-8.180;do
139.43;-8.170;do
143.51;-8.180;do
147.47;-8.210;do
151.49;-8.220;do
155.52;-8.250;do
159.47;-8.210;do
163.50;-8.160;do
167.43;-8.050;do
171.49;-7.640;do
175.43;-7.950;do
179.45;-7.860;do
183.49;-7.930;do
187.41;-7.840;do
191.51;-7.410;do
195.50;-7.220;do
199.51;-7.050;do
203.50;-6.810;do
207.43;-6.760;do
211.44;-6.620;do
215.46;-6.570;do
219.45;-6.340;do
223.49;-6.350;do
227.47;-6.170;do
231.48;-6.230;do
235.50;-5.950;do
239.51;-5.520;do
243.49;-4.650;do
247.48;-3.700;do
251.51;-1.400;do
255.49;-0.770;do
259.47;0.070;do
263.49;1.460;do
267.52;1.470;do
268.66;2.280;do
272.66;2.210;do
273.66;1.570;do
277.66;1.580;do
281.66;1.550;do
285.66;1.530;do
289.66;1.540;bo
293.66;1.570;bo
297.66;1.580;bo
