y_m;z_m;kind
0.00;4.530;bo
3.87;4.590;bo
8.32;4.680;bo
12.31;4.720;bo
16.05;4.890;do
19.83;4.930;do
23.28;4.890;do
25.89;3.860;do
29.41;3.390;do
34.38;2.870;do
37.72;2.530;do
42.08;1.410;do
45.05;0.930;do
48.22;0.500;do
52.46;-0.090;do
57.12;-1.570;do
61.19;-3.020;do
65.21;-4.370;do
69.19;-5.200;do
73.22;-6.470;do
77.43;-9.340;do
81.45;-10.240;do
85.41;-10.420;do
89.37;-10.450;do
93.34;-10.600;do
97.31;-10.690;do
101.45;-11.160;do
105.43;-11.330;do
109.44;-11.410;do
113.46;-11.460;do
117.50;-11.500;do
121.37;-11.580;do
125.45;-11.610;do
129.47;-11.730;do
133.38;-11.980;do
137.40;-12.390;do
141.37;-13.290;do
145.41;-13.770;do
149.55;-13.820;do
153.47;-13.870;do
157.41;-14.020;do
161.50;-13.870;do
165.49;-13.750;do
169.46;-13.710;do
173.51;-13.670;do
177.50;-13.630;do
181.54;-13.590;do
185.35;-13.550;do
189.36;-13.510;do
193.41;-13.470;do
197.43;-13.430;do
201.51;-13.390;do
205.34;-13.350;do
209.43;-13.310;do
213.32;-13.270;do
217.35;-13.230;do
221.40;-13.170;do
225.43;-13.090;do
229.34;-13.050;do
233.43;-13.030;do
237.34;-13.010;do
241.35;-13.000;do
245.43;-12.990;do
249.45;-12.980;do
254.75;-12.890;do
257.02;-12.830;do
260.88;-12.780;do
265.03;-12.670;do
268.88;-12.560;do
273.01;-12.550;do
276.88;-12.530;do
280.96;-12.520;do
285.00;-12.320;do
288.92;-12.260;do
292.98;-12.240;do
297.07;-11.960;do
300.94;-11.940;do
305.00;-11.860;do
308.94;-11.680;do
313.00;-11.600;do
316.91;-11.440;do
320.99;-11.320;do
325.05;-11.190;do
329.07;-11.140;do
332.90;-11.100;do
336.96;-10.880;do
340.99;-10.800;do
345.03;-10.720;do
349.08;-10.700;do
352.92;-10.620;do
356.89;-10.570;do
360.98;-10.470;do
364.92;-10.450;do
368.91;-10.420;do
372.88;-10.400;do
376.95;-10.310;do
380.96;-10.270;do
384.96;-10.250;do
389.07;-10.140;do
393.05;-10.120;do
396.90;-10.100;do
401.04;-10.000;do
404.87;-9.890;do
409.01;-9.860;do
412.97;-9.720;do
416.93;-9.610;do
421.06;-9.480;do
425.04;-9.340;do
428.91;-9.250;do
433.02;-9.180;do
436.98;-8.980;do
440.97;-8.740;do
445.04;-8.360;do
448.94;-8.190;do
453.00;-7.650;do
457.10;-7.050;do
461.07;-7.000;do
465.12;-6.480;do
469.15;-6.020;do
473.09;-5.080;do
477.10;-4.170;do
481.14;-2.890;do
485.13;-0.980;do
488.63;-0.050;do
491.62;0.640;do
495.21;1.250;do
499.00;2.250;do
503.80;3.200;do
506.62;3.560;do
511.39;3.560;bo
514.78;1.560;bo
518.68;1.360;bo
523.22;1.360;bo
526.96;1.360;bo
