y_m;z_m;kind
0.00;2.040;bo
4.00;2.010;bo
8.32;2.060;bo
12.98;1.950;bo
17.68;2.020;do
20.69;2.060;do
23.03;2.030;do
27.01;1.950;do
30.37;1.460;do
34.78;0.780;do
38.50;0.630;do
41.91;-0.120;do
45.99;-2.950;do
50.09;-3.560;do
54.11;-3.970;do
58.09;-4.270;do
62.13;-5.110;do
66.18;-5.910;do
70.26;-7.020;do
74.39;-8.350;do
78.45;-8.830;do
82.48;-9.310;do
86.54;-9.390;do
90.60;-9.800;do
94.64;-10.190;do
98.68;-10.360;do
102.47;-10.680;do
106.69;-10.740;do
110.71;-10.840;do
114.71;-10.970;do
118.63;-11.370;do
122.67;-11.540;do
126.59;-11.640;do
130.66;-11.780;do
134.43;-11.830;do
138.44;-11.890;do
142.47;-11.980;do
146.54;-12.190;do
150.60;-12.220;do
154.45;-12.440;do
158.72;-12.470;do
162.73;-12.550;do
166.73;-12.610;do
170.45;-12.620;do
174.66;-12.780;do
178.62;-12.780;do
182.63;-12.910;do
186.58;-13.140;do
190.55;-13.170;do
194.60;-13.240;do
198.65;-13.240;do
202.39;-13.350;do
206.52;-13.420;do
210.38;-13.480;do
214.47;-13.540;do
218.44;-13.920;do
222.50;-13.940;do
226.44;-14.050;do
230.62;-14.060;do
234.33;-14.110;do
238.33;-14.310;do
242.44;-14.420;do
246.49;-14.490;do
250.49;-14.540;do
254.55;-14.720;do
258.26;-14.850;do
262.25;-14.920;do
266.24;-15.120;do
270.42;-15.340;do
274.44;-15.430;do
278.28;-15.470;do
282.43;-15.500;do
286.38;-15.720;do
290.36;-15.780;do
294.30;-16.020;do
298.18;-16.490;do
302.28;-16.760;do
306.31;-17.130;do
310.26;-17.290;do
314.28;-17.460;do
318.13;-17.550;do
322.22;-17.590;do
326.21;-17.630;do
330.12;-17.670;do
334.20;-17.710;do
338.23;-17.720;do
342.09;-17.740;do
346.13;-18.120;do
350.12;-18.170;do
354.06;-18.220;do
358.06;-18.270;do
362.02;-17.840;do
366.11;-17.390;do
370.20;-16.190;do
374.18;-14.790;do
378.28;-13.460;do
382.35;-11.840;do
386.46;-9.790;do
390.48;-7.570;do
394.61;-5.220;do
398.62;-3.260;do
402.71;-1.490;do
406.08;-0.120;do
410.54;1.540;do
414.86;2.030;do
419.57;2.100;do
424.90;2.090;bo
429.55;2.030;bo
433.64;2.010;bo
436.14;1.970;bo
