y_m;z_m;kind
0.00;1.740;bo
4.60;1.770;bo
9.70;1.790;bo
14.20;1.890;bo
18.50;1.840;bo
22.11;1.880;bo
25.21;1.830;bo
28.03;0.930;bo
31.69;0.820;do
36.91;0.760;do
41.91;0.270;do
45.90;-0.740;do
48.43;-1.060;do
52.99;-1.760;do
58.02;-3.710;do
63.00;-5.640;do
68.06;-5.920;do
73.02;-6.280;do
78.06;-6.360;do
83.12;-6.500;do
88.00;-6.660;do
93.10;-6.710;do
98.03;-6.760;do
103.12;-6.940;do
108.04;-7.010;do
113.01;-7.090;do
118.10;-7.220;do
123.08;-7.410;do
128.11;-7.450;do
133.08;-7.610;do
138.02;-7.760;do
143.06;-7.980;do
148.00;-8.010;do
153.07;-8.310;do
158.15;-8.410;do
163.02;-8.560;do
168.13;-8.650;do
173.12;-8.790;do
178.07;-8.830;do
183.05;-8.950;do
188.15;-9.080;do
193.15;-9.130;do
198.11;-9.170;do
203.04;-9.330;do
208.07;-9.600;do
213.07;-9.350;do
218.18;-9.830;do
223.13;-9.910;do
228.07;-9.820;do
233.06;-9.950;do
238.01;-10.180;do
243.03;-9.990;do
248.12;-9.650;do
253.12;-9.830;do
258.15;-9.870;do
263.00;-10.100;do
268.09;-10.260;do
273.09;-10.390;do
278.10;-10.740;do
283.10;-10.720;do
288.03;-10.890;do
293.00;-10.780;do
298.11;-10.830;do
303.12;-10.730;do
308.14;-10.710;do
313.06;-10.700;do
318.07;-10.710;do
323.16;-10.750;do
328.03;-11.140;do
333.01;-10.780;do
338.06;-10.710;do
343.04;-10.740;do
348.02;-10.730;do
353.14;-10.710;do
358.13;-10.790;do
363.02;-10.780;do
368.12;-10.790;do
373.01;-10.800;do
378.18;-10.840;do
383.13;-10.850;do
388.10;-10.860;do
393.00;-10.900;do
398.06;-10.880;do
403.00;-10.870;do
408.04;-11.020;do
413.10;-11.040;do
418.12;-11.030;do
423.02;-11.080;do
428.12;-11.100;do
433.06;-11.190;do
438.06;-11.280;do
443.05;-11.370;do
448.11;-11.370;do
453.01;-11.480;do
458.10;-11.540;do
463.11;-11.610;do
468.10;-11.670;do
473.02;-11.780;do
478.09;-11.810;do
483.16;-11.940;do
488.05;-12.010;do
493.10;-12.090;do
498.06;-12.290;do
503.08;-12.340;do
508.06;-12.440;do
513.01;-12.410;do
518.00;-12.460;do
523.14;-12.520;do
528.18;-12.810;do
533.10;-12.690;do
538.18;-12.830;do
543.17;-12.840;do
548.15;-12.950;do
553.03;-12.910;do
558.07;-13.050;do
563.02;-13.000;do
568.06;-13.110;do
573.12;-13.000;do
578.11;-13.090;do
583.05;-13.190;do
588.04;-13.300;do
593.12;-13.270;do
598.01;-13.220;do
603.03;-13.340;do
608.16;-13.380;do
613.10;-13.620;do
618.13;-13.520;do
623.04;-13.530;do
628.04;-13.670;do
633.03;-13.580;do
638.13;-13.690;do
643.11;-13.690;do
648.13;-13.680;do
653.20;-13.690;do
658.16;-13.710;do
663.12;-13.730;do
668.01;-13.750;do
673.08;-13.930;do
678.41;-13.800;do
683.10;-14.060;do
688.16;-14.120;do
693.09;-14.200;do
698.16;-14.360;do
703.20;-14.440;do
708.10;-14.550;do
713.11;-14.700;do
718.14;-15.150;do
723.01;-15.350;do
728.02;-15.680;do
733.11;-15.940;do
738.05;-16.330;do
743.02;-16.880;do
748.13;-17.370;do
753.05;-17.760;do
758.00;-18.360;do
762.99;-18.560;do
768.03;-18.980;do
773.05;-19.630;do
778.10;-19.900;do
783.05;-20.340;do
788.14;-20.850;do
793.11;-21.210;do
798.02;-21.530;do
803.07;-21.630;do
808.12;-21.820;do
813.12;-22.010;do
818.14;-21.720;do
823.03;-21.580;do
828.15;-21.500;do
833.06;-21.160;do
838.08;-21.060;do
843.02;-20.880;do
848.04;-20.470;do
853.02;-19.980;do
858.08;-19.380;do
863.07;-18.700;do
868.02;-17.890;do
873.08;-17.230;do
878.07;-16.170;do
883.02;-14.620;do
888.07;-12.810;do
893.05;-9.090;do
898.01;-5.930;do
903.01;-2.090;do
904.90;-0.600;do
908.74;-0.050;do
910.80;0.320;do
913.87;0.790;bo
915.07;1.420;bo
918.32;1.610;bo
922.14;1.770;bo
927.10;1.873;bo
931.60;1.810;bo
935.90;1.810;bo
938.90;2.208;bo
941.90;2.213;bo
