y_m;z_m;kind
0.00;6.700;bo
2.98;6.710;bo
7.08;6.710;bo
11.75;6.770;bo
16.44;6.750;bo
20.56;6.780;bo
25.20;4.160;bo
25.73;3.290;bo
28.81;2.450;bo
31.92;1.260;bo
34.60;1.030;bo
36.98;0.850;bo
40.22;0.660;bo
43.85;0.480;bo
47.67;0.290;bo
50.17;-0.080;bo
53.35;-0.700;bo
56.24;-1.300;do
59.86;-1.600;do
63.79;-1.780;do
67.83;-2.510;do
71.78;-2.840;do
75.76;-3.000;do
79.77;-3.050;do
83.80;-3.130;do
87.78;-3.330;do
91.78;-3.570;do
95.73;-3.610;do
99.81;-3.630;do
103.81;-3.610;do
107.86;-3.640;do
111.85;-3.610;do
115.80;-3.570;do
119.81;-3.450;do
123.76;-3.160;do
127.74;-3.060;do
131.86;-2.960;do
135.83;-2.950;do
139.76;-2.940;do
143.80;-2.930;do
147.75;-2.920;do
151.91;-2.910;do
155.74;-2.900;do
159.90;-2.800;do
163.73;-2.760;do
167.74;-2.690;do
171.88;-2.610;do
175.78;-2.590;do
179.87;-2.580;do
183.79;-2.570;do
187.84;-2.560;do
191.91;-2.510;do
195.77;-2.460;do
199.84;-2.540;do
203.92;-2.560;do
207.75;-2.580;do
211.86;-2.600;do
215.90;-2.620;do
219.80;-2.640;do
223.86;-2.660;do
227.77;-2.710;do
231.81;-2.760;do
235.89;-2.800;do
239.80;-2.810;do
243.86;-3.020;do
247.92;-3.030;do
251.89;-3.040;do
255.81;-3.050;do
259.84;-3.060;do
263.93;-3.130;do
267.75;-3.140;do
271.89;-3.140;do
275.90;-3.140;do
279.80;-3.150;do
283.80;-3.160;do
288.35;-3.170;do
293.03;-3.180;do
297.21;-3.250;do
301.17;-3.460;do
305.18;-3.490;do
309.20;-3.500;do
313.11;-3.510;do
317.12;-3.520;do
321.17;-3.530;do
325.15;-3.540;do
329.17;-3.550;do
333.14;-3.560;do
337.22;-3.570;do
341.18;-3.580;do
345.13;-3.590;do
349.20;-3.600;do
353.21;-3.610;do
357.09;-3.620;do
361.11;-3.630;do
365.24;-3.640;do
369.12;-3.640;do
373.21;-3.760;do
377.18;-3.930;do
381.15;-4.010;do
385.18;-4.030;do
389.02;-4.050;do
393.15;-4.070;do
397.10;-4.090;do
401.08;-4.110;do
405.18;-4.130;do
409.13;-4.200;do
413.20;-4.570;do
417.11;-4.800;do
421.10;-4.810;do
425.12;-4.830;do
429.16;-4.850;do
433.06;-4.870;do
437.05;-4.890;do
441.19;-4.900;do
445.18;-5.010;do
449.14;-5.160;do
453.18;-5.340;do
457.15;-5.350;do
461.17;-5.370;do
465.10;-5.430;do
469.11;-5.650;do
473.02;-5.660;do
477.16;-5.670;do
481.04;-5.680;do
485.07;-5.740;do
489.15;-5.960;do
493.17;-6.090;do
497.04;-6.160;do
501.17;-6.170;do
505.12;-6.190;do
509.13;-6.340;do
513.13;-6.400;do
517.10;-6.420;do
521.02;-6.490;do
525.15;-6.730;do
529.02;-7.170;do
533.01;-8.070;do
536.98;-9.740;do
541.00;-10.990;do
544.97;-11.200;do
549.03;-11.770;do
552.95;-12.320;do
557.01;-12.440;do
561.12;-12.520;do
565.07;-12.870;do
569.07;-13.230;do
572.94;-13.650;do
577.13;-14.330;do
580.98;-14.800;do
585.00;-15.950;do
588.95;-16.350;do
593.03;-16.750;do
596.91;-16.800;do
601.05;-16.820;do
604.97;-17.180;do
609.05;-17.820;do
612.97;-18.800;do
617.13;-18.810;do
621.00;-18.930;do
624.98;-18.970;do
628.98;-19.030;do
632.95;-19.060;do
635.96;-19.090;do
640.00;-19.120;do
644.26;-19.150;do
648.38;-19.180;do
652.36;-19.380;do
656.33;-20.860;do
660.33;-20.940;do
664.34;-20.800;do
668.27;-20.750;do
672.31;-20.700;do
676.19;-20.650;do
680.33;-20.600;do
684.20;-20.550;do
688.33;-20.420;do
692.21;-19.510;do
696.20;-18.910;do
700.26;-18.250;do
704.32;-17.650;do
708.32;-17.610;do
712.29;-17.550;do
716.35;-17.500;do
720.41;-17.490;do
724.31;-17.480;do
728.33;-17.670;do
732.40;-17.990;do
736.35;-18.410;do
740.25;-18.750;do
744.33;-18.920;do
748.23;-19.040;do
752.20;-19.150;do
756.22;-19.330;do
760.32;-19.370;do
764.16;-19.410;do
768.26;-19.450;do
772.14;-19.490;do
776.15;-19.530;do
780.30;-19.570;do
784.23;-19.610;do
788.17;-19.650;do
792.22;-19.690;do
796.11;-19.730;do
800.13;-19.770;do
804.17;-19.810;do
808.28;-19.820;do
812.23;-19.830;do
816.21;-19.840;do
820.19;-19.850;do
824.29;-19.860;do
828.25;-19.870;do
832.21;-19.880;do
836.24;-19.890;do
840.27;-19.900;do
844.19;-19.910;do
848.17;-19.920;do
852.33;-19.930;do
856.34;-19.940;do
860.21;-19.950;do
864.29;-19.960;do
868.17;-19.970;do
872.22;-19.980;do
876.14;-19.990;do
880.26;-20.120;do
884.24;-19.950;do
888.10;-19.900;do
892.14;-19.850;do
896.11;-19.800;do
900.14;-19.750;do
904.27;-19.700;do
908.19;-19.650;do
912.31;-19.600;do
916.12;-19.500;do
920.15;-19.070;do
924.24;-18.980;do
928.16;-18.370;do
932.24;-17.720;do
936.23;-17.360;do
940.27;-17.210;do
944.31;-17.050;do
948.38;-16.710;do
952.36;-16.040;do
956.36;-15.650;do
960.39;-15.320;do
964.65;-15.320;do
970.44;-15.460;do
974.50;-15.610;do
978.59;-16.320;do
982.52;-17.620;do
986.39;-18.170;do
990.53;-18.490;do
994.43;-19.240;do
998.32;-20.280;do
1002.44;-20.340;do
1006.46;-20.310;do
1010.43;-20.280;do
1014.50;-20.250;do
1018.37;-20.220;do
1022.34;-20.140;do
1026.42;-19.720;do
1030.46;-19.330;do
1034.42;-19.020;do
1038.39;-19.010;do
1042.47;-17.210;do
1046.52;-16.750;do
1050.52;-16.740;do
1054.60;-16.700;do
1058.50;-16.650;do
1062.53;-16.640;do
1066.43;-16.520;do
1070.41;-16.230;do
1074.55;-16.160;do
1078.55;-15.740;do
1082.58;-15.510;do
1086.52;-15.070;do
1090.52;-14.780;do
1094.47;-15.080;do
1098.41;-15.090;do
1102.51;-15.150;do
1106.44;-15.270;do
1110.47;-15.440;do
1114.49;-15.730;do
1118.42;-15.940;do
1122.54;-16.130;do
1126.47;-16.390;do
1130.40;-16.740;do
1134.37;-16.970;do
1138.43;-17.010;do
1142.44;-17.070;do
1146.42;-17.130;do
1150.51;-17.190;do
1154.43;-17.250;do
1158.37;-17.260;do
1162.46;-17.470;do
1166.36;-17.500;do
1170.45;-17.510;do
1174.34;-17.560;do
1178.37;-17.610;do
1182.50;-17.660;do
1186.56;-17.710;do
1190.59;-17.760;do
1194.65;-17.810;do
1198.33;-20.130;do
1202.36;-20.580;do
1206.24;-23.050;do
1210.34;-23.360;do
1214.26;-24.350;do
1218.33;-24.550;do
1222.31;-24.440;do
1226.27;-24.330;do
1230.24;-24.220;do
1234.35;-24.110;do
1238.40;-23.300;do
1242.22;-23.230;do
1246.17;-23.160;do
1250.39;-23.090;do
1254.33;-22.210;do
1258.29;-20.990;do
1262.29;-20.040;do
1266.53;-20.010;do
1270.35;-19.980;do
1274.43;-19.950;do
1278.27;-19.920;do
1282.39;-19.890;do
1286.47;-19.860;do
1290.27;-19.830;do
1294.34;-19.800;do
1298.31;-19.770;do
1302.31;-19.740;do
1306.35;-19.710;do
1310.17;-19.680;do
1314.20;-19.650;do
1318.35;-19.620;do
1322.27;-19.590;do
1326.38;-19.560;do
1330.31;-19.530;do
1334.27;-19.500;do
1338.88;-19.470;do
1343.83;-19.440;do
1348.03;-19.410;do
1351.92;-19.380;do
1355.89;-19.350;do
1359.85;-19.320;do
1364.07;-19.290;do
1367.92;-19.260;do
1371.88;-19.230;do
1375.75;-19.200;do
1380.06;-18.230;do
1383.98;-17.790;do
1388.00;-16.990;do
1392.03;-16.100;do
1395.99;-15.950;do
1400.20;-15.800;do
1404.02;-15.650;do
1407.92;-15.500;do
1412.16;-15.350;do
1416.10;-15.200;do
1419.98;-15.050;do
1424.11;-14.900;do
1428.01;-14.750;do
1431.89;-14.600;do
1435.90;-14.450;do
1439.88;-14.300;do
1443.86;-14.150;do
1447.86;-14.000;do
1452.15;-13.850;do
1455.89;-13.700;do
1459.84;-13.550;do
1464.08;-13.400;do
1468.02;-13.250;do
1472.01;-13.100;do
1475.98;-12.950;do
1479.88;-12.800;do
1484.02;-12.650;do
1487.92;-12.500;do
1492.09;-12.170;do
1496.30;-10.260;do
1500.27;-8.850;do
1504.47;-8.770;do
1508.28;-8.690;do
1512.42;-8.610;do
1516.27;-8.530;do
1520.31;-8.450;do
1524.42;-8.430;do
1528.39;-8.410;do
1532.16;-8.390;do
1536.30;-8.370;do
1540.36;-8.350;do
1544.17;-8.330;do
1548.24;-8.310;do
1552.33;-8.290;do
1556.13;-8.270;do
1560.26;-8.250;do
1564.36;-8.230;do
1568.17;-8.210;do
1572.27;-8.190;do
1576.06;-8.170;do
1580.15;-8.150;do
1584.26;-8.130;do
1588.08;-8.110;do
1592.19;-8.090;do
1596.05;-8.070;do
1600.15;-8.050;do
1604.05;-8.030;do
1608.11;-8.010;do
1611.95;-8.080;do
1616.02;-8.140;do
1620.14;-8.190;do
1623.98;-8.200;do
1628.08;-8.220;do
1631.98;-8.250;do
1636.04;-8.390;do
1639.98;-8.540;do
1643.78;-8.890;do
1647.72;-8.900;do
1651.78;-9.170;do
1655.90;-9.210;do
1659.84;-9.230;do
1663.89;-9.250;do
1667.76;-9.270;do
1671.77;-9.370;do
1675.85;-9.470;do
1679.58;-9.660;do
1683.77;-9.690;do
1687.66;-9.780;do
1691.73;-9.830;do
1693.42;-9.880;do
1697.58;-9.930;do
1701.49;-9.980;do
1705.39;-10.030;do
1709.40;-10.050;do
1713.45;-10.060;do
1717.36;-10.170;do
1721.36;-10.290;do
1725.35;-10.440;do
1729.19;-10.460;do
1733.15;-10.450;do
1737.07;-10.420;do
1741.15;-10.270;do
1745.18;-9.640;do
1749.21;-8.830;do
1753.14;-7.760;do
1757.16;-6.530;do
1760.45;-5.320;do
1764.37;-3.820;do
1768.32;-2.550;do
1772.19;-1.520;do
1777.37;-0.620;do
1781.96;-0.150;do
1785.13;0.310;bo
1789.11;0.670;bo
1792.82;1.170;bo
1796.04;1.840;bo
1800.50;3.360;bo
1805.33;3.650;bo
1809.43;3.930;bo
1812.46;5.320;bo
1815.46;6.730;bo
1819.36;6.720;bo
1824.41;6.710;bo
1829.52;6.530;bo
1833.94;6.460;bo
1837.65;6.350;bo
