y_m;z_m;kind
0.00;1.680;bo
4.24;1.620;bo
8.92;1.790;bo
13.37;1.840;do
17.40;1.850;do
21.44;1.860;do
24.62;1.820;do
28.40;1.740;do
32.56;1.650;do
36.98;1.560;do
41.14;1.480;do
43.84;1.370;do
46.99;0.870;do
49.06;0.160;do
51.57;-0.060;do
56.02;-0.080;do
59.16;-0.110;do
63.08;-0.680;do
67.01;-1.150;do
71.00;-1.640;do
74.99;-2.240;do
78.93;-3.060;do
82.91;-3.160;do
86.82;-4.260;do
91.56;-5.110;do
95.63;-5.860;do
100.99;-7.050;do
105.02;-7.280;do
107.23;-7.290;do
110.61;-7.320;do
114.63;-7.380;do
118.62;-7.580;do
122.57;-7.700;do
126.56;-7.950;do
130.62;-8.050;do
134.57;-8.150;do
138.57;-8.460;do
142.61;-8.700;do
146.62;-8.990;do
150.63;-9.140;do
154.65;-9.220;do
157.57;-9.590;do
161.57;-9.650;do
165.70;-9.670;do
169.64;-9.690;do
173.55;-10.030;do
177.69;-10.050;do
181.66;-10.090;do
185.53;-10.150;do
189.50;-10.370;do
193.63;-10.390;do
197.56;-10.400;do
201.50;-10.480;do
205.58;-10.490;do
209.48;-10.540;do
213.58;-10.560;do
217.56;-10.490;do
221.53;-10.440;do
225.56;-10.280;do
229.56;-10.210;do
233.53;-10.170;do
237.56;-10.150;do
241.50;-10.140;do
245.48;-10.120;do
249.54;-10.100;do
253.53;-10.030;do
257.56;-10.010;do
261.55;-9.820;do
265.48;-9.800;do
269.44;-9.780;do
273.45;-9.760;do
277.43;-9.740;do
281.51;-9.720;do
285.41;-9.700;do
289.53;-9.680;do
293.51;-9.660;do
297.42;-9.640;do
301.50;-9.620;do
305.50;-9.600;do
309.43;-9.580;do
313.45;-9.560;do
317.45;-9.120;do
321.53;-7.950;do
325.53;-6.960;do
329.62;-5.910;do
333.64;-4.790;do
337.67;-3.730;do
341.75;-2.290;do
345.76;-1.700;do
349.82;-0.640;do
353.38;-0.070;do
355.94;0.970;do
357.56;1.140;do
359.82;2.000;do
364.14;2.060;do
368.08;2.150;do
371.87;2.140;do
376.68;2.120;do
381.00;2.130;bo
384.90;2.140;bo
389.17;2.160;bo
