y_m;z_m;kind
0.00;1.670;bo
2.91;1.780;bo
5.57;1.840;bo
10.22;1.870;bo
14.37;1.900;bo
18.65;1.880;bo
21.77;1.860;bo
24.99;1.730;bo
28.28;1.660;bo
32.08;1.490;do
34.50;0.950;do
38.47;0.210;do
42.96;-0.490;do
46.98;-1.410;do
51.05;-2.710;do
55.11;-3.420;do
59.09;-3.930;do
63.16;-4.490;do
67.16;-5.100;do
71.11;-5.660;do
75.20;-5.740;do
79.16;-5.820;do
83.24;-5.900;do
87.17;-5.980;do
91.18;-6.060;do
95.12;-6.140;do
99.06;-6.360;do
103.04;-6.400;do
107.05;-6.540;do
111.05;-6.670;do
115.04;-6.870;do
119.23;-7.430;do
123.26;-7.970;do
127.14;-8.120;do
131.04;-8.250;do
135.10;-8.380;do
139.06;-8.450;do
143.07;-8.470;do
147.08;-8.500;do
151.13;-8.620;do
155.11;-8.620;do
159.14;-8.680;do
163.09;-8.690;do
167.07;-8.700;do
171.13;-8.740;do
175.13;-8.870;do
179.26;-9.000;do
183.24;-9.060;do
187.21;-9.110;do
191.04;-9.190;do
195.28;-9.350;do
199.16;-9.420;do
203.13;-9.500;do
207.13;-9.580;do
211.19;-9.630;do
215.17;-9.750;do
219.19;-9.870;do
223.19;-9.880;do
227.18;-9.900;do
231.20;-10.120;do
235.39;-10.130;do
239.43;-10.140;do
243.42;-10.150;do
247.47;-10.160;do
251.45;-10.230;do
255.44;-10.240;do
259.39;-10.300;do
263.42;-10.350;do
267.49;-10.570;do
271.49;-10.650;do
275.43;-10.750;do
279.41;-10.770;do
283.40;-10.810;do
287.35;-10.900;do
291.33;-10.950;do
295.38;-11.040;do
299.34;-11.130;do
303.38;-11.180;do
307.37;-11.190;do
311.39;-11.220;do
315.40;-11.230;do
319.35;-11.240;do
323.42;-11.260;do
327.39;-11.300;do
331.42;-11.390;do
335.48;-11.450;do
339.48;-11.550;do
343.52;-11.560;do
347.53;-11.570;do
351.60;-11.640;do
355.38;-11.880;do
359.65;-11.900;do
363.41;-11.920;do
367.49;-11.920;do
371.34;-12.030;do
375.39;-12.340;do
379.46;-12.720;do
383.55;-12.820;do
387.34;-12.320;do
391.44;-12.420;do
395.44;-12.580;do
399.56;-12.680;do
403.55;-12.710;do
407.32;-12.730;do
411.40;-12.750;do
415.47;-12.820;do
419.46;-12.920;do
423.58;-13.000;do
427.59;-13.120;do
431.56;-13.280;do
435.62;-13.370;do
439.46;-13.420;do
443.44;-13.510;do
447.47;-13.540;do
451.50;-13.570;do
455.51;-13.600;do
459.52;-13.630;do
463.47;-13.660;do
467.53;-13.690;do
471.56;-13.720;do
475.46;-13.750;do
479.45;-13.780;do
483.42;-13.810;do
487.46;-13.840;do
491.45;-13.870;do
495.51;-13.900;do
499.51;-13.930;do
503.60;-13.960;do
507.62;-13.990;do
511.39;-14.020;do
515.50;-14.050;do
519.55;-14.080;do
523.62;-14.110;do
527.44;-14.290;do
531.51;-14.320;do
535.36;-14.350;do
539.41;-14.380;do
543.77;-14.410;do
547.60;-14.440;do
551.68;-14.470;do
555.78;-14.500;do
559.85;-14.530;do
563.70;-14.560;do
567.78;-14.590;do
571.66;-14.620;do
575.74;-14.630;do
579.83;-14.640;do
583.72;-14.650;do
587.64;-14.660;do
591.66;-14.670;do
595.79;-14.680;do
599.68;-14.690;do
603.81;-14.700;do
607.63;-14.710;do
611.75;-14.720;do
615.85;-14.730;do
619.66;-14.740;do
623.83;-14.750;do
627.64;-14.760;do
631.80;-14.770;do
635.64;-14.770;do
639.76;-14.770;do
643.63;-14.790;do
647.77;-14.840;do
651.62;-14.850;do
655.73;-14.920;do
659.65;-14.980;do
663.78;-15.060;do
667.86;-15.090;do
672.65;-15.120;do
676.49;-15.180;do
680.63;-15.200;do
684.76;-15.220;do
688.67;-15.240;do
692.58;-15.260;do
696.93;-15.280;do
700.85;-15.300;do
704.97;-15.320;do
708.77;-15.340;do
712.96;-15.420;do
716.82;-15.510;do
720.97;-15.640;do
724.84;-15.640;do
728.96;-15.730;do
732.67;-15.800;do
736.80;-16.120;do
740.66;-16.130;do
744.78;-16.150;do
748.70;-16.170;do
752.82;-16.190;do
756.65;-16.210;do
760.83;-16.230;do
764.65;-16.250;do
768.81;-16.270;do
772.66;-16.300;do
776.79;-16.360;do
780.67;-16.380;do
784.83;-16.420;do
788.70;-16.550;do
792.82;-16.620;do
796.64;-16.810;do
800.75;-17.020;do
804.62;-17.340;do
808.67;-17.400;do
812.71;-17.500;do
816.69;-17.550;do
820.62;-17.600;do
824.69;-17.650;do
828.66;-17.700;do
832.83;-17.750;do
835.63;-17.800;do
839.69;-17.850;do
843.46;-17.900;do
847.39;-17.920;do
851.26;-17.960;do
855.17;-17.900;do
859.09;-17.770;do
863.02;-17.280;do
867.08;-16.810;do
871.17;-16.360;do
875.14;-15.960;do
879.02;-15.540;do
883.13;-15.130;do
887.28;-13.860;do
891.45;-12.830;do
895.71;-11.080;do
900.19;-8.540;do
904.86;-5.050;do
907.86;-3.150;do
910.86;-1.310;do
913.26;0.970;do
914.41;2.170;do
918.32;2.510;do
922.33;2.860;bo
925.73;2.960;bo
929.86;3.010;bo
934.40;2.640;bo
936.08;2.880;bo
940.28;2.840;bo
943.12;2.970;bo
947.11;3.020;bo
