y_m;z_m;kind
0.00;1.050;bo
4.00;1.140;bo
8.00;1.150;bo
9.98;1.180;bo
14.21;1.170;bo
18.21;1.150;bo
21.80;1.090;bo
25.83;2.050;bo
27.58;2.210;bo
28.02;1.050;bo
30.97;0.060;bo
35.53;-0.100;bo
37.38;-0.350;bo
40.29;-1.040;bo
46.74;-2.890;bo
51.71;-4.810;do
56.70;-5.330;do
61.76;-6.030;do
66.71;-6.930;do
71.72;-7.410;do
76.73;-7.810;do
81.88;-8.260;do
86.73;-8.300;do
91.81;-8.240;do
96.70;-8.290;do
101.82;-8.540;do
106.82;-8.530;do
111.77;-8.440;do
116.79;-8.460;do
121.72;-8.600;do
126.74;-8.730;do
131.73;-8.790;do
136.86;-8.790;do
141.74;-8.780;do
146.81;-8.850;do
151.84;-8.850;do
156.81;-8.900;do
161.85;-9.130;do
166.82;-9.080;do
171.82;-9.050;do
176.73;-9.050;do
181.76;-9.200;do
186.84;-9.120;do
191.74;-9.200;do
196.72;-9.260;do
201.82;-9.300;do
206.87;-9.430;do
211.77;-9.440;do
216.80;-9.480;do
221.82;-9.520;do
226.79;-9.490;do
231.77;-9.380;do
236.79;-9.450;do
241.77;-9.430;do
246.83;-9.450;do
251.84;-9.570;do
256.79;-9.510;do
261.75;-9.510;do
266.70;-9.550;do
271.78;-9.650;do
276.74;-9.560;do
281.71;-9.560;do
286.79;-9.670;do
291.83;-9.610;do
296.72;-9.630;do
301.72;-9.640;do
306.77;-9.650;do
311.77;-9.670;do
316.74;-9.670;do
321.85;-9.640;do
326.75;-9.690;do
331.83;-9.730;do
336.75;-9.720;do
341.70;-9.690;do
346.84;-9.740;do
351.74;-9.780;do
356.74;-9.710;do
361.83;-9.730;do
366.78;-9.760;do
371.78;-9.710;do
376.83;-9.800;do
381.76;-9.800;do
386.74;-9.760;do
391.78;-9.800;do
396.71;-9.760;do
401.76;-9.870;do
406.76;-9.890;do
411.72;-9.870;do
416.78;-9.840;do
421.75;-9.880;do
426.78;-9.860;do
431.80;-9.940;do
436.86;-9.860;do
441.85;-9.870;do
