y_m;z_m;kind
0.00;1.490;bo
4.09;1.500;bo
7.19;1.510;do
11.69;1.520;do
16.19;1.540;do
18.60;2.370;do
20.39;2.400;do
22.73;1.470;do
25.86;-0.110;do
30.43;-1.560;do
34.34;-2.640;do
38.44;-4.210;do
42.37;-5.720;do
46.42;-6.430;do
50.33;-6.440;do
54.40;-6.500;do
58.35;-6.780;do
62.29;-6.940;do
66.36;-6.970;do
70.35;-7.010;do
74.32;-6.920;do
78.42;-6.890;do
82.43;-6.750;do
86.33;-6.740;do
90.35;-6.590;do
94.35;-6.550;do
98.32;-6.420;do
102.45;-5.940;do
106.26;-5.820;do
110.35;-5.610;do
114.27;-5.370;do
118.24;-5.340;do
122.27;-5.180;do
126.40;-5.150;do
130.30;-5.080;do
134.32;-4.960;do
138.32;-4.890;do
142.44;-4.820;do
146.40;-4.810;do
150.42;-4.800;do
154.44;-4.790;do
158.43;-4.710;do
162.40;-4.690;do
166.38;-4.680;do
170.41;-4.670;do
174.39;-4.660;do
178.42;-4.650;do
182.40;-4.640;do
186.41;-4.490;do
190.44;-2.800;do
194.42;-2.670;do
197.78;-2.530;do
202.38;-2.020;do
206.18;-1.430;do
207.86;-0.110;do
209.21;0.810;do
212.09;2.120;do
216.09;2.140;do
220.08;2.170;do
224.18;2.190;do
227.98;2.200;do
232.08;2.220;bo
235.89;2.210;bo
239.09;2.190;bo
