y_m;z_m;kind
0.00;1.810;bo
2.98;1.700;bo
6.27;1.690;bo
9.76;1.740;bo
12.76;1.890;bo
15.29;1.943;do
17.81;1.860;do
20.09;1.910;do
23.11;1.750;do
24.10;0.950;do
26.95;0.550;do
29.17;-0.210;do
31.16;-0.430;do
33.98;-0.650;do
36.89;-1.380;do
39.61;-2.140;do
44.52;-2.900;do
48.61;-3.660;do
52.69;-4.420;do
56.51;-5.180;do
60.63;-5.940;do
64.51;-6.700;do
68.68;-7.460;do
72.63;-8.220;do
76.62;-8.980;do
80.59;-9.740;do
84.61;-10.500;do
88.59;-11.260;do
92.59;-12.020;do
96.61;-12.780;do
100.76;-13.540;do
104.67;-14.300;do
108.80;-15.060;do
112.71;-15.820;do
116.56;-16.580;do
120.69;-17.340;do
124.59;-18.100;do
128.72;-18.860;do
132.82;-19.620;do
136.80;-20.380;do
140.63;-21.140;do
144.77;-21.900;do
148.83;-22.660;do
152.56;-23.420;do
156.61;-24.180;do
160.79;-24.940;do
164.78;-25.700;do
168.70;-26.460;do
172.67;-27.220;do
176.61;-27.980;do
181.60;-28.740;do
185.64;-29.500;do
189.82;-30.260;do
193.82;-31.020;do
197.74;-31.780;do
201.70;-32.540;do
205.65;-33.300;do
210.28;-33.350;do
214.33;-33.400;do
218.51;-33.450;do
222.50;-33.500;do
226.42;-33.550;do
230.39;-33.600;do
234.33;-33.550;do
238.17;-33.500;do
242.21;-33.450;do
246.39;-33.400;do
250.38;-33.350;do
254.31;-32.700;do
258.27;-31.990;do
262.21;-31.280;do
265.81;-30.570;do
269.85;-29.860;do
274.03;-29.150;do
278.02;-28.440;do
281.95;-27.730;do
285.91;-27.020;do
289.85;-26.310;do
294.25;-25.600;do
298.29;-24.890;do
302.47;-24.180;do
306.47;-23.470;do
310.39;-22.760;do
314.35;-22.050;do
318.30;-21.340;do
323.10;-20.630;do
327.15;-19.920;do
331.33;-19.210;do
335.32;-18.500;do
339.24;-17.790;do
343.20;-17.080;do
347.15;-16.370;do
352.67;-15.660;do
356.72;-14.950;do
360.76;-14.240;do
364.81;-13.530;do
368.74;-12.820;do
372.63;-12.110;do
376.65;-11.400;do
380.73;-10.690;do
384.62;-9.980;do
388.20;-9.270;do
392.06;-8.930;do
396.75;-8.560;do
400.86;-7.140;do
404.65;-6.430;do
408.79;-5.720;do
412.81;-5.010;do
416.78;-4.300;do
420.76;-3.590;do
424.71;-2.880;do
428.71;-2.170;do
433.42;-1.430;do
437.25;-0.060;do
441.76;0.570;do
445.18;1.320;do
447.53;1.770;do
450.02;1.760;do
454.52;1.740;do
459.12;1.720;do
463.62;1.670;bo
467.92;1.660;bo
472.42;1.640;bo
476.62;1.650;bo
