y_m;z_m;kind
0.00;4.330;bo
4.00;4.350;bo
8.00;4.340;bo
9.99;4.150;bo
12.26;3.750;bo
15.13;2.550;do
16.68;2.130;do
19.51;1.890;do
23.04;1.720;do
25.37;1.680;do
27.77;1.430;do
31.67;1.070;do
35.25;0.860;do
39.52;0.720;do
42.49;0.590;do
45.98;0.350;do
49.72;-0.030;do
53.08;-0.350;do
56.49;-0.760;do
60.42;-1.410;do
64.46;-2.410;do
68.59;-4.000;do
72.70;-5.920;do
76.87;-7.590;do
81.07;-9.870;do
85.19;-11.360;do
89.23;-12.210;do
93.27;-14.040;do
97.38;-15.120;do
101.51;-15.470;do
105.53;-15.970;do
109.40;-16.010;do
113.53;-16.050;do
117.32;-16.090;do
121.63;-16.130;do
125.31;-16.150;do
129.56;-16.170;do
133.54;-16.190;do
137.46;-16.210;do
141.34;-16.230;do
145.45;-16.250;do
149.29;-16.270;do
153.21;-16.290;do
157.24;-16.310;do
161.27;-16.330;do
165.28;-16.350;do
169.20;-16.370;do
173.18;-16.390;do
177.21;-16.410;do
181.27;-16.430;do
185.20;-16.450;do
189.24;-16.470;do
193.21;-16.490;do
197.26;-16.510;do
201.34;-16.530;do
205.19;-16.620;do
209.22;-16.720;do
213.23;-16.760;do
217.10;-16.760;do
221.25;-16.840;do
225.17;-17.060;do
229.21;-17.180;do
233.12;-17.280;do
237.10;-17.400;do
241.19;-17.570;do
245.28;-17.630;do
249.09;-17.680;do
253.14;-17.700;do
257.10;-17.710;do
261.06;-17.770;do
265.21;-17.850;do
269.15;-17.910;do
273.09;-18.070;do
277.10;-18.190;do
281.20;-18.200;do
285.04;-18.240;do
289.08;-18.310;do
293.09;-18.380;do
297.35;-18.510;do
301.91;-18.580;do
306.06;-17.980;do
310.00;-17.460;do
313.99;-17.020;do
317.94;-16.600;do
321.84;-16.290;do
325.81;-15.870;do
329.85;-14.980;do
334.11;-13.540;do
338.43;-11.850;do
342.62;-10.690;do
346.79;-9.360;do
351.04;-8.080;do
355.25;-6.620;do
359.48;-5.300;do
363.73;-3.630;do
367.39;-2.110;do
370.33;-0.970;do
373.16;0.420;do
375.71;1.420;do
377.51;2.290;do
379.39;3.120;do
382.03;3.210;do
386.78;3.260;do
390.78;3.330;do
394.53;3.350;do
398.70;3.410;bo
401.83;3.430;bo
405.13;3.390;bo
409.36;3.400;bo
