y_m;z_m;kind
0.00;1.510;bo
5.20;1.490;bo
8.77;1.550;bo
11.04;1.560;bo
13.91;1.533;bo
17.06;1.520;bo
21.10;1.510;bo
24.49;1.400;bo
26.50;1.250;bo
27.14;0.830;bo
30.82;0.210;bo
33.59;-0.410;bo
38.65;-0.740;bo
43.70;-1.030;bo
48.75;-1.420;do
52.64;-2.580;do
56.01;-3.680;do
59.22;-4.870;do
62.77;-6.160;do
66.58;-7.820;do
70.36;-10.550;do
74.39;-11.650;do
78.68;-12.380;do
83.03;-12.870;do
87.58;-13.040;do
92.45;-12.930;do
97.40;-13.640;do
102.38;-13.850;do
107.40;-13.750;do
112.26;-13.570;do
117.16;-13.650;do
121.96;-13.990;do
126.84;-14.040;do
131.64;-14.080;do
136.38;-14.020;do
141.13;-14.000;do
146.01;-14.160;do
150.81;-14.150;do
155.51;-14.210;do
160.38;-14.230;do
165.12;-14.280;do
169.84;-14.200;do
174.67;-14.120;do
179.41;-14.230;do
184.04;-14.290;do
188.80;-14.320;do
193.47;-14.360;do
198.19;-14.400;do
202.80;-14.520;do
207.51;-14.570;do
212.20;-14.570;do
216.78;-14.640;do
221.58;-14.410;do
226.30;-14.280;do
231.14;-14.360;do
236.83;-14.330;do
240.83;-14.310;do
245.77;-14.400;do
250.60;-14.310;do
255.42;-14.350;do
260.18;-14.360;do
264.95;-14.500;do
269.69;-14.510;do
274.54;-14.410;do
279.31;-14.360;do
283.99;-14.260;do
288.84;-14.230;do
293.61;-14.180;do
298.45;-14.180;do
303.30;-14.140;do
308.16;-14.000;do
312.92;-14.060;do
317.99;-13.990;do
322.62;-13.940;do
327.38;-13.920;do
332.25;-13.850;do
337.12;-13.720;do
341.99;-13.700;do
346.86;-13.390;do
351.71;-13.270;do
356.61;-13.290;do
361.47;-13.290;do
366.44;-13.220;do
371.34;-13.210;do
376.35;-13.210;do
381.27;-13.200;do
386.17;-13.180;do
391.12;-13.200;do
395.99;-13.210;do
400.88;-13.250;do
405.52;-13.320;do
410.70;-13.250;do
415.59;-12.840;do
420.52;-13.200;do
425.37;-13.160;do
430.28;-13.190;do
435.13;-13.210;do
440.12;-12.740;do
444.96;-13.280;do
449.91;-13.240;do
454.82;-13.010;do
459.71;-13.260;do
464.69;-13.300;do
469.70;-13.270;do
474.66;-13.250;do
479.54;-13.280;do
484.36;-13.290;do
489.17;-13.270;do
494.08;-13.280;do
498.85;-13.240;do
503.77;-13.250;do
508.62;-13.310;do
513.57;-13.290;do
518.41;-13.280;do
523.36;-13.290;do
528.19;-13.280;do
533.56;-13.360;do
538.10;-13.420;do
543.06;-13.330;do
548.11;-13.380;do
553.16;-13.320;do
558.29;-13.280;do
563.40;-13.290;do
568.63;-13.280;do
574.04;-13.420;do
579.42;-13.470;do
584.81;-13.390;do
590.27;-13.390;do
595.78;-13.390;do
601.19;-12.850;do
606.70;-13.410;do
612.19;-13.370;do
617.51;-13.410;do
623.01;-13.400;do
628.50;-13.390;do
633.96;-13.410;do
639.33;-13.410;do
644.84;-13.330;do
650.25;-13.340;do
655.61;-13.320;do
661.12;-13.310;do
666.58;-13.260;do
671.92;-13.270;do
677.36;-13.250;do
682.74;-13.220;do
688.10;-13.170;do
693.54;-13.090;do
698.88;-13.040;do
704.35;-13.000;do
709.63;-12.930;do
715.07;-12.910;do
720.36;-12.800;do
725.70;-12.770;do
731.00;-12.650;do
736.45;-12.520;do
741.84;-12.370;do
747.17;-12.440;do
752.72;-12.600;do
758.32;-12.740;do
764.06;-12.760;do
769.87;-12.740;do
775.81;-12.770;do
781.62;-12.720;do
787.48;-12.670;do
