y_m;z_m;kind
0.00;-0.880;bo
4.00;-0.880;bo
8.50;-0.880;bo
13.30;-0.580;bo
15.80;1.250;bo
18.70;2.505;do
20.70;2.570;do
25.50;2.810;do
28.60;0.630;do
31.60;-0.020;do
36.62;-0.450;do
41.63;-1.110;do
46.61;-1.690;do
51.65;-3.140;do
56.64;-3.250;do
61.68;-3.430;do
66.61;-3.630;do
71.65;-3.630;do
76.69;-4.170;do
81.69;-7.310;do
86.64;-8.330;do
91.61;-9.230;do
96.70;-10.030;do
101.73;-10.930;do
106.66;-12.060;do
111.61;-13.320;do
116.70;-13.910;do
121.71;-14.270;do
126.70;-14.400;do
131.69;-14.370;do
136.69;-14.630;do
141.66;-15.240;do
146.60;-15.300;do
151.66;-16.220;do
156.63;-16.550;do
161.60;-17.030;do
166.64;-17.650;do
171.60;-18.390;do
176.64;-18.910;do
181.67;-19.090;do
186.72;-19.250;do
191.69;-19.520;do
196.76;-20.260;do
201.69;-20.750;do
206.69;-21.080;do
211.73;-21.300;do
216.68;-21.470;do
221.67;-21.310;do
226.63;-21.790;do
230.93;-22.000;do
236.61;-22.110;do
241.68;-22.470;do
246.72;-22.790;do
251.67;-23.560;do
256.60;-23.770;do
261.67;-23.920;do
266.67;-24.010;do
271.68;-24.090;do
276.68;-24.240;do
281.68;-24.140;do
286.60;-24.070;do
291.67;-24.270;do
296.68;-24.510;do
301.64;-24.770;do
306.72;-25.100;do
311.63;-25.260;do
316.63;-26.080;do
321.66;-30.340;do
326.71;-31.950;do
331.67;-32.840;do
336.69;-33.250;do
341.68;-33.470;do
346.69;-34.020;do
351.67;-34.080;do
356.62;-34.150;do
361.72;-34.940;do
366.75;-34.930;do
371.74;-35.740;do
376.73;-35.200;do
381.66;-35.110;do
386.68;-35.190;do
391.61;-35.590;do
396.74;-35.470;do
401.76;-35.560;do
406.65;-34.610;do
411.62;-34.060;do
416.64;-32.160;do
421.65;-29.480;do
426.62;-28.360;do
431.62;-28.120;do
436.61;-27.450;do
441.60;-27.160;do
446.62;-24.600;do
451.60;-22.170;do
456.63;-21.040;do
461.64;-20.430;do
466.68;-19.900;do
471.66;-17.570;do
476.67;-15.640;do
481.62;-12.890;do
486.63;-9.610;do
491.62;-7.730;do
496.60;-6.280;do
501.60;-4.290;do
506.64;-1.990;do
506.64;-0.450;do
511.60;0.630;do
516.21;2.470;do
520.57;2.420;do
520.87;2.000;do
525.47;2.030;do
530.57;2.000;bo
531.07;2.363;bo
535.57;2.390;bo
539.07;2.400;bo
543.67;2.330;bo
