y_m;z_m;kind
0.00;1.620;bo
3.50;1.618;bo
7.50;1.900;bo
10.63;2.000;bo
14.14;2.110;bo
17.78;2.230;bo
20.82;2.260;bo
23.68;2.310;bo
26.59;2.390;bo
29.75;2.450;bo
29.95;2.770;bo
32.10;2.800;bo
33.77;1.750;bo
35.79;0.550;bo
39.96;-0.330;bo
43.89;-0.560;bo
47.97;-0.550;bo
51.91;-0.590;bo
55.95;-0.680;bo
59.95;-0.810;bo
63.98;-1.010;bo
67.95;-1.330;bo
71.96;-1.470;do
75.97;-2.400;do
79.98;-2.570;do
83.98;-4.210;do
87.89;-4.390;do
91.95;-4.620;do
95.91;-5.230;do
99.92;-5.690;do
103.97;-6.050;do
107.95;-6.370;do
111.95;-6.440;do
115.91;-6.390;do
119.97;-6.220;do
123.94;-6.480;do
127.96;-6.420;do
131.92;-6.530;do
135.96;-6.500;do
139.92;-6.530;do
143.98;-6.600;do
147.91;-6.580;do
151.98;-6.410;do
155.96;-6.640;do
159.96;-6.710;do
163.94;-6.770;do
167.98;-6.830;do
171.94;-6.880;do
175.97;-6.880;do
179.96;-6.870;do
183.97;-6.920;do
187.91;-6.950;do
191.97;-7.000;do
195.50;-7.040;do
199.94;-7.580;do
203.98;-7.070;do
207.90;-7.140;do
211.92;-7.190;do
215.49;-7.160;do
219.47;-7.230;do
223.87;-7.280;do
227.96;-7.350;do
231.86;-7.310;do
235.95;-7.430;do
239.89;-7.550;do
243.96;-7.590;do
247.95;-7.630;do
251.96;-7.690;do
255.89;-7.790;do
259.90;-7.760;do
263.91;-7.790;do
267.94;-7.770;do
271.59;-7.810;do
275.74;-7.830;do
279.90;-7.830;do
283.91;-7.930;do
287.93;-8.000;do
291.93;-7.960;do
295.96;-8.000;do
299.51;-7.990;do
303.94;-8.010;do
307.95;-8.000;do
311.94;-8.080;do
315.96;-8.020;do
319.94;-8.120;do
323.91;-8.010;do
327.97;-8.010;do
331.93;-8.100;do
335.93;-8.230;do
339.93;-8.170;do
343.95;-8.130;do
347.93;-8.140;do
351.97;-8.230;do
355.89;-8.140;do
359.66;-8.220;do
363.96;-8.220;do
367.50;-8.270;do
371.83;-8.250;do
375.95;-8.330;do
379.89;-8.320;do
383.97;-8.310;do
387.97;-8.380;do
391.97;-8.420;do
395.56;-8.460;do
399.98;-8.600;do
403.95;-8.470;do
407.91;-8.530;do
411.96;-8.560;do
415.94;-8.590;do
419.91;-8.650;do
423.84;-8.690;do
427.79;-8.650;do
431.86;-8.620;do
435.94;-8.760;do
439.91;-8.800;do
443.90;-8.880;do
447.47;-8.950;do
451.94;-9.010;do
455.95;-9.070;do
459.93;-9.180;do
463.96;-9.220;do
467.63;-9.200;do
471.96;-9.300;do
475.92;-9.300;do
479.89;-9.450;do
483.96;-9.550;do
487.96;-9.520;do
491.95;-9.480;do
495.94;-9.590;do
499.98;-9.640;do
503.98;-9.650;do
507.98;-9.630;do
511.91;-9.730;do
515.89;-9.760;do
519.98;-9.790;do
523.98;-9.830;do
527.94;-9.930;do
531.97;-9.920;do
535.94;-9.920;do
539.92;-10.000;do
543.95;-10.010;do
547.95;-10.040;do
551.94;-10.080;do
555.88;-9.990;do
559.89;-10.360;do
563.97;-10.010;do
567.91;-10.280;do
571.94;-10.080;do
575.96;-10.100;do
579.91;-10.070;do
583.95;-10.060;do
587.86;-10.150;do
591.90;-10.170;do
595.94;-10.170;do
599.92;-10.190;do
603.97;-10.250;do
607.91;-10.220;do
611.95;-10.220;do
615.93;-10.220;do
619.85;-10.340;do
623.90;-10.360;do
627.97;-10.280;do
631.91;-10.200;do
635.96;-10.220;do
639.90;-10.210;do
643.65;-10.280;do
647.97;-10.230;do
651.88;-10.140;do
655.91;-10.130;do
659.94;-10.350;do
663.95;-10.580;do
667.92;-10.710;do
671.89;-10.950;do
675.94;-11.150;do
679.94;-11.350;do
683.86;-11.750;do
687.97;-11.860;do
691.93;-11.950;do
695.89;-11.880;do
699.90;-11.870;do
703.84;-12.450;do
707.77;-12.260;do
711.90;-12.350;do
715.93;-12.530;do
719.94;-12.740;do
723.95;-12.980;do
727.96;-13.110;do
731.88;-13.380;do
735.97;-13.370;do
739.95;-13.610;do
743.95;-13.610;do
747.96;-13.640;do
751.93;-13.770;do
755.95;-13.870;do
759.96;-13.870;do
763.95;-13.890;do
767.89;-14.230;do
771.89;-14.580;do
775.94;-14.530;do
779.94;-14.540;do
783.97;-14.750;do
787.98;-14.970;do
791.82;-15.120;do
795.97;-15.150;do
799.95;-15.430;do
803.91;-15.420;do
807.92;-15.400;do
811.94;-15.580;do
815.90;-15.790;do
819.96;-15.550;do
823.87;-15.500;do
827.97;-15.640;do
831.93;-15.740;do
835.94;-15.200;do
839.56;-15.200;do
843.94;-15.390;do
847.98;-15.410;do
851.96;-15.190;do
855.96;-14.840;do
859.97;-14.390;do
863.96;-14.070;do
867.94;-14.220;do
871.54;-14.090;do
875.97;-14.060;do
879.93;-14.040;do
883.91;-14.010;do
887.91;-14.000;do
891.95;-14.000;do
895.90;-13.900;do
899.89;-13.860;do
903.93;-13.820;do
907.90;-13.770;do
911.93;-13.770;do
915.88;-13.700;do
919.80;-13.520;do
923.90;-13.810;do
927.96;-13.820;do
931.95;-13.800;do
935.90;-13.700;do
939.92;-13.710;do
943.85;-13.660;do
947.98;-13.630;do
951.91;-13.600;do
