y_m;z_m;kind
0.00;-1.340;bo
5.23;-1.580;bo
10.23;-1.470;bo
15.23;-0.350;bo
20.23;0.350;do
21.55;1.030;do
24.40;1.910;do
26.24;2.902;do
27.55;2.900;do
29.07;2.280;do
30.08;1.290;do
31.06;0.510;do
35.56;-0.090;do
38.19;-1.030;do
43.11;-1.880;do
48.23;-2.490;do
53.29;-3.340;do
58.33;-4.970;do
63.28;-5.890;do
68.30;-6.690;do
73.36;-7.430;do
78.34;-8.250;do
83.31;-8.770;do
88.31;-9.090;do
93.30;-9.330;do
98.33;-10.330;do
103.35;-10.430;do
108.26;-10.430;do
113.31;-10.530;do
118.28;-10.630;do
123.32;-10.830;do
128.05;-10.930;do
133.30;-11.030;do
138.29;-11.630;do
143.33;-11.930;do
148.28;-12.030;do
153.27;-12.130;do
158.07;-12.130;do
163.20;-12.130;do
168.15;-12.230;do
173.16;-12.330;do
178.22;-12.230;do
183.23;-12.230;do
188.34;-12.230;do
193.32;-12.230;do
198.32;-12.130;do
203.31;-12.230;do
208.30;-12.330;do
213.28;-12.330;do
218.26;-12.430;do
223.27;-12.330;do
228.33;-12.330;do
233.34;-12.330;do
238.30;-12.430;do
243.32;-12.430;do
248.34;-12.530;do
253.35;-12.530;do
258.22;-12.530;do
263.26;-12.630;do
268.29;-12.730;do
273.30;-12.730;do
278.31;-12.730;do
283.35;-12.830;do
288.25;-12.830;do
293.24;-12.930;do
298.28;-13.030;do
303.28;-13.030;do
308.31;-13.230;do
313.23;-13.230;do
318.35;-13.330;do
323.35;-13.430;do
328.24;-13.530;do
333.33;-13.630;do
338.25;-13.630;do
343.30;-13.730;do
348.29;-13.630;do
353.35;-13.730;do
358.24;-13.830;do
363.25;-13.730;do
368.35;-13.530;do
373.30;-13.530;do
378.31;-13.630;do
383.28;-13.530;do
388.27;-13.530;do
393.27;-13.630;do
398.27;-13.430;do
403.35;-13.730;do
408.31;-13.630;do
413.24;-13.630;do
418.28;-13.530;do
423.29;-13.430;do
428.35;-13.330;do
433.31;-12.730;do
438.29;-12.030;do
443.32;-11.030;do
448.30;-9.930;do
453.29;-8.430;do
458.33;-6.220;do
463.33;-3.740;do
468.35;-1.950;do
473.31;-1.230;do
478.32;-0.460;do
483.33;0.030;do
488.36;0.220;do
491.37;0.510;do
495.44;0.970;do
499.86;1.450;do
503.96;1.730;do
509.53;2.050;do
513.53;2.080;do
517.53;2.110;bo
521.54;2.150;bo
525.53;2.170;bo
529.53;2.220;bo
