y_m;z_m;kind
0.00;1.990;bo
4.00;2.130;bo
9.00;2.110;bo
14.00;2.020;bo
17.00;2.190;bo
21.53;2.203;bo
23.88;2.270;bo
25.29;1.320;bo
30.65;0.670;bo
35.59;0.230;do
40.37;0.330;do
44.78;0.330;do
49.62;-0.420;do
53.51;-1.100;do
57.49;-1.180;do
62.24;-1.850;do
67.48;-3.850;do
72.46;-5.990;do
77.47;-7.310;do
82.43;-7.760;do
87.39;-8.010;do
92.42;-8.230;do
97.47;-8.160;do
102.49;-7.920;do
107.47;-8.030;do
112.48;-8.110;do
117.48;-8.000;do
122.46;-8.000;do
127.42;-8.130;do
132.50;-8.190;do
137.37;-8.280;do
142.46;-8.410;do
147.42;-8.460;do
152.40;-8.430;do
157.46;-8.410;do
162.50;-8.770;do
167.50;-8.910;do
172.47;-8.870;do
177.48;-8.910;do
182.44;-8.900;do
187.45;-8.810;do
192.45;-8.700;do
197.46;-8.730;do
202.45;-8.730;do
207.39;-8.710;do
212.47;-8.870;do
217.42;-8.990;do
222.46;-9.120;do
227.44;-9.080;do
232.42;-9.170;do
237.40;-9.010;do
242.39;-9.070;do
247.47;-9.260;do
252.48;-9.530;do
257.43;-9.630;do
262.35;-9.560;do
267.43;-9.340;do
272.39;-9.250;do
277.48;-9.320;do
282.44;-9.310;do
287.49;-10.080;do
292.40;-10.890;do
297.47;-11.530;do
302.47;-11.730;do
307.46;-11.820;do
312.46;-11.910;do
317.47;-11.830;do
322.45;-11.780;do
327.41;-11.690;do
332.48;-11.610;do
337.39;-11.680;do
342.45;-11.600;do
347.41;-11.540;do
352.50;-11.530;do
357.42;-11.440;do
362.51;-11.230;do
367.49;-11.080;do
372.45;-11.420;do
377.46;-11.410;do
382.51;-11.410;do
387.49;-11.380;do
392.48;-11.460;do
397.49;-11.320;do
402.45;-11.470;do
407.50;-11.480;do
412.45;-11.500;do
417.42;-11.510;do
422.43;-11.460;do
427.43;-11.230;do
432.49;-11.210;do
437.48;-11.330;do
442.47;-11.630;do
447.49;-11.690;do
452.46;-11.840;do
457.47;-11.820;do
462.45;-11.520;do
467.50;-11.670;do
472.44;-12.130;do
477.43;-12.070;do
482.42;-12.190;do
487.42;-12.090;do
492.40;-12.140;do
497.45;-12.220;do
502.48;-12.520;do
507.44;-12.560;do
512.51;-12.600;do
517.44;-12.550;do
522.48;-12.620;do
527.49;-12.890;do
532.49;-12.870;do
537.41;-12.930;do
542.44;-12.880;do
547.51;-12.950;do
552.49;-12.900;do
557.48;-12.910;do
562.44;-12.910;do
567.46;-12.930;do
572.40;-12.830;do
577.50;-12.780;do
582.47;-12.850;do
587.48;-12.520;do
592.39;-12.670;do
597.47;-12.570;do
602.43;-12.240;do
607.50;-12.090;do
612.42;-12.060;do
617.50;-12.260;do
622.38;-12.430;do
627.44;-12.460;do
632.45;-12.220;do
637.41;-12.220;do
642.48;-12.250;do
647.42;-12.270;do
652.51;-12.240;do
657.49;-12.380;do
662.44;-12.270;do
667.46;-12.240;do
672.44;-12.290;do
677.42;-12.340;do
682.43;-12.380;do
687.49;-12.320;do
692.46;-12.260;do
697.41;-12.270;do
702.47;-12.310;do
707.43;-12.340;do
712.43;-12.230;do
717.44;-12.180;do
722.48;-12.120;do
727.41;-12.210;do
732.41;-12.050;do
737.45;-12.090;do
742.43;-12.100;do
747.48;-12.090;do
752.43;-11.970;do
757.38;-11.970;do
762.39;-11.990;do
767.49;-11.850;do
772.48;-11.900;do
777.49;-12.040;do
782.42;-11.890;do
787.37;-11.800;do
792.48;-11.780;do
797.41;-11.820;do
802.46;-11.860;do
807.44;-11.880;do
812.47;-11.760;do
817.47;-11.600;do
822.40;-11.530;do
827.48;-11.480;do
832.50;-11.350;do
837.48;-11.300;do
842.48;-11.240;do
847.44;-11.100;do
852.46;-11.030;do
857.46;-10.860;do
862.42;-10.820;do
867.41;-10.750;do
872.51;-10.660;do
877.42;-10.570;do
882.49;-10.330;do
887.44;-10.270;do
892.51;-10.140;do
897.49;-9.990;do
902.44;-9.720;do
907.51;-9.520;do
912.40;-9.540;do
917.37;-9.420;do
922.51;-9.270;do
927.43;-9.320;do
932.43;-9.070;do
937.41;-8.790;do
942.49;-8.610;do
947.47;-8.510;do
952.41;-8.330;do
957.51;-7.950;do
962.40;-7.660;do
967.47;-6.880;do
972.39;-6.750;do
977.46;-6.570;do
982.42;-6.390;do
987.42;-6.260;do
992.45;-6.060;do
997.47;-5.900;do
1002.44;-5.660;do
1007.46;-5.640;do
1012.45;-5.470;do
1017.38;-5.270;do
1022.47;-5.080;do
1027.49;-4.960;do
1032.50;-4.750;do
1037.49;-4.620;do
1042.50;-4.400;do
1047.46;-4.200;do
1052.38;-4.100;do
1057.44;-3.930;do
1062.46;-3.710;do
1067.49;-3.440;do
1072.41;-3.410;do
1077.41;-3.040;do
1082.48;-3.010;do
1087.45;-2.650;do
1092.47;-2.510;do
1097.49;-2.140;do
1102.47;-1.680;do
1107.36;-1.330;do
1112.32;-1.110;do
1115.67;-0.910;do
1118.76;-0.360;do
1122.62;-0.440;do
1128.23;-0.180;do
1133.23;0.220;do
1138.23;0.680;bo
1141.23;1.340;bo
1143.23;1.990;bo
1147.23;2.030;bo
1151.23;2.010;bo
1156.23;1.890;bo
1161.23;1.880;bo
1166.23;1.850;bo
1169.23;1.840;bo
