tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
VamNao;2011-10-01 08:00:00;28800.0;47;1510;-21.7944;4.973;7463.502;0.07012;0.8827;26.767;7463.502
ChauDoc;2011-10-01 09:00:00;32400.0;3;62;-18.895;6.004;8250.204;0.10065;1.2839;24.899;8250.204
CanTho;2011-10-01 09:00:00;32400.0;6;269;-26.9112;2.749;18898.859;0.07257;0.9929;29.66;18898.859
TanChau;2011-10-01 09:00:00;32400.0;29;1126;-32.2556;5.315;25370.721;0.0924;1.4078;37.571;25370.721
MyThuan;2011-10-01 09:00:00;32400.0;32;1305;-25.7667;2.049;20908.814;0.09055;1.2433;27.815;20908.814
VamNao;2011-10-01 09:00:00;32400.0;47;1510;-21.7944;4.917;7502.794;0.07086;0.8904;26.711;7502.794
ChauDoc;2011-10-01 10:00:00;36000.0;3;62;-18.895;5.97;8308.117;0.10166;1.2955;24.865;8308.117
CanTho;2011-10-01 10:00:00;36000.0;6;269;-26.9112;2.538;19391.01;0.07554;1.0299;29.449;19391.01
TanChau;2011-10-01 10:00:00;36000.0;29;1126;-32.2556;5.28;25671.846;0.0937;1.4266;37.535;25671.846
MyThuan;2011-10-01 10:00:00;36000.0;32;1305;-25.7667;1.822;21395.283;0.094;1.2873;27.588;21395.283
VamNao;2011-10-01 10:00:00;36000.0;47;1510;-21.7944;4.861;7745.156;0.07353;0.9224;26.656;7745.156
ChauDoc;2011-10-01 11:00:00;39600.0;3;62;-18.895;5.935;8359.004;0.10261;1.3063;24.83;8359.004
CanTho;2011-10-01 11:00:00;39600.0;6;269;-26.9112;2.347;19578.27;0.07728;1.0503;29.258;19578.27
TanChau;2011-10-01 11:00:00;39600.0;29;1126;-32.2556;5.236;26067.678;0.0954;1.4513;37.492;26067.678
MyThuan;2011-10-01 11:00:00;39600.0;32;1305;-25.7667;1.597;21700.57;0.09673;1.321;27.364;21700.57
VamNao;2011-10-01 11:00:00;39600.0;47;1510;-21.7944;4.794;7930.005;0.07576;0.9484;26.588;7930.005
ChauDoc;2011-10-01 12:00:00;43200.0;3;62;-18.895;5.889;8401.661;0.10357;1.3166;24.784;8401.661
CanTho;2011-10-01 12:00:00;43200.0;6;269;-26.9112;2.173;19645.252;0.07849;1.0636;29.084;19645.252
TanChau;2011-10-01 12:00:00;43200.0;29;1126;-32.2556;5.161;25935.854;0.09535;1.4485;37.416;25935.854
MyThuan;2011-10-01 12:00:00;43200.0;32;1305;-25.7667;1.386;21809.449;0.09856;1.3425;27.153;21809.449
VamNao;2011-10-01 12:00:00;43200.0;47;1510;-21.7944;4.718;8103.713;0.07797;0.9738;26.513;8103.713
ChauDoc;2011-10-01 13:00:00;46800.0;3;62;-18.895;5.827;8400.059;0.10414;1.3213;24.722;8400.059
CanTho;2011-10-01 13:00:00;46800.0;6;269;-26.9112;2.019;19613.604;0.07922;1.0707;28.93;19613.604
