shp_name;base;suffix;role;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;co_z
Sat Lo;Sat Lo;;dac_biet;559431.1;1164316.9;Tien;65045.8;239.7;no
ST13;ST13;;chinh;561663.4;1160480.9;Tien;69411.2;56.4;yes
st12P;st12;P;nhanh_phu;559068.3;1164152.6;Tien;64790.3;65.8;yes
ST12P;ST12;P;nhanh_phu;553574.5;1162426.9;Tien_4;1940.4;140.9;yes
ST12;ST12;;chinh;555155.4;1164284.4;Tien;60766.3;5.5;yes
ST11;ST11;;chinh;551770.0;1164873.5;Tien;57300.6;87.2;yes
ST10;ST10;;chinh;548184.0;1167424.1;Tien;52836.5;20.1;yes
ST9;ST9;;chinh;545516.9;1171973.5;Tien;47553.6;21.5;yes
ST4;ST4;;chinh;527079.5;1194297.8;Tien;14581.0;21.1;yes
ST7;ST7;;chinh;541286.9;1181897.7;Tien;36744.7;27.2;yes
ST5P;ST5;P;nhanh_phu;533320.9;1196304.2;Tien_3;4674.3;29.9;yes
ST5;ST5;;chinh;533866.6;1191661.9;Tien;22080.9;47.9;yes
ST6;ST6;;chinh;538957.2;1188946.4;Tien;29064.8;97.6;yes
ST3;ST3;;chinh;523936.6;1196977.5;Tien;10062.4;153.5;yes
ST2;ST2;;chinh;522326.8;1201432.5;Tien;5282.6;9.9;yes
ST2P;ST2;P;nhanh_phu;520647.1;1201213.0;Tien_1;3415.8;44.9;yes
ST1;ST1;;chinh;520638.8;1205981.7;Tien;288.9;136.8;yes
HL16;HL16;;chinh;678826.9;1101366.5;Ham Luong;72019.2;131.0;yes
HL15;HL15;;chinh;675253.0;1102766.6;Ham Luong;68180.6;13.2;yes
HL14;HL14;;chinh;671359.3;1105152.3;Ham Luong;63615.1;93.4;yes
HL13;HL13;;chinh;666721.2;1105914.7;Ham Luong;58601.7;117.9;yes
HL13P;HL13;P;nhanh_phu;667418.3;1108114.0;HamLuong_6;3085.2;120.2;yes
HL12;HL12;;chinh;663383.3;1108509.6;Ham Luong;54220.6;105.2;yes
HL11;HL11;;chinh;660375.7;1110933.6;Ham Luong;50286.2;7.3;yes
HL10;HL10;;chinh;657222.9;1114158.6;Ham Luong;45684.2;14.9;yes
HL10P;HL10;P;nhanh_phu;658327.5;1115357.3;HamLuong_5;6067.7;19.7;yes
HL9;HL9;;chinh;653787.4;1117855.7;Ham Luong;40595.0;19.5;yes
HL9P1;HL9;P1;nhanh_phu;654619.5;1118405.1;HamLuong_4;11710.1;48.1;yes
HL9P2;HL9;P2;nhanh_phu;655296.2;1118599.6;HamLuong_5;1511.3;17.3;yes
HL8;HL8;;chinh;651006.2;1121556.9;Ham Luong;35928.8;2.5;yes
HL8P;HL8;P;nhanh_phu;652368.1;1122472.6;HamLuong_4;6994.4;34.0;yes
HL7;HL7;;chinh;648823.0;1126330.3;Ham Luong;30660.7;21.2;yes
HL7P1;HL7;P1;nhanh_phu;649592.8;1126426.7;HamLuong_3;946.5;10.6;yes
HL7P2;HL7;P2;nhanh_phu;650361.4;1126574.4;HamLuong_4;2289.1;36.1;yes
HL6;HL6;;chinh;646437.0;1131329.0;Ham Luong;24857.3;8.1;yes
HL2P1;HL2;P1;nhanh_phu;630821.9;1133098.2;HamLuong_1;914.0;7.6;yes
HL2P2;HL2;P2;nhanh_phu;630673.1;1132431.7;HamLuong_2;2424.9;35.9;yes
HL3;HL3;;chinh;635055.5;1132798.6;Ham Luong;11905.2;70.7;yes
HL4;HL4;;chinh;639584.8;1134598.6;Ham Luong;16820.2;80.9;yes
HL5;HL5;;chinh;644260.0;1133305.6;Ham Luong;21885.1;22.0;yes
HL2;HL2;;chinh;630749.5;1133829.0;Ham Luong;6757.5;26.2;yes
HL1;HL1;;chinh;626127.1;1135885.8;Ham Luong;1426.1;13.8;yes
Sông Bình Ghi;Sông Bình Ghi;;dac_biet;508677.8;1209465.6;SongBinhDi;1645.0;150.5;no
Campuchia;Campuchia;;dac_biet;507946.1;1211797.7;BASSAC;0.0;1231.2;no
Sông Bình Ghi;Sông Bình Ghi;;dac_biet;508677.8;1209465.6;SongBinhDi;1645.0;150.5;no
SH3;SH3;;chinh;508681.6;1199643.7;BASSAC;19954.4;12.0;yes
SH38;SH38;;chinh;624148.2;1075647.4;CuaDinhAn;8069.0;54.5;yes
Sat lo;Sat lo;;dac_biet;618495.5;1079169.1;CuaTranDe;1301.1;589.0;no
Sat Lo;Sat Lo;;dac_biet;633948.0;1064350.6;CuaDinhAn;22916.6;1343.2;no
SH42P;SH42;P;nhanh_phu;631975.9;1055099.0;CuaTranDe;29553.3;126.1;yes
SH43P;SH43;P;nhanh_phu;633790.5;1051054.3;CuaTranDe;33990.9;51.4;yes
SH35;SH35;;chinh;610335.4;1089031.4;Hau_7;26170.0;20.0;yes
SH36;SH36;;chinh;613716.2;1084875.7;BASSAC;186668.9;107.4;yes
SH36A;SH36;A;nhanh_AB;617006.2;1081456.7;BASSAC;191523.2;82.8;yes
SH37;SH37;;chinh;620454.6;1079252.8;CuaDinhAn;2871.9;97.0;yes
SH37P;SH37;P;nhanh_phu;618650.3;1077448.0;CuaTranDe;3245.4;158.7;yes
SH38P;SH38;P;nhanh_phu;620558.7;1072855.6;CuaTranDe;8222.1;46.9;yes
SH36AP;SH36;AP;khac;615782.0;1080096.6;Hau_11;7166.3;123.5;yes
SH34P3;SH34;P3;nhanh_phu;608700.1;1094065.1;Hau_8;7425.4;6.0;yes
SH34P2;SH34;P2;nhanh_phu;607310.9;1092919.6;Hau_7;21166.1;29.0;yes
SH39P;SH39;P;nhanh_phu;622938.4;1067790.5;CuaTranDe;13833.4;54.5;yes
SH39;SH39;;chinh;627312.0;1072167.5;CuaDinhAn;12799.6;99.7;yes
SH34;SH34;;chinh;605493.3;1091325.4;BASSAC;176015.3;134.0;yes
SH40;SH40;;chinh;630962.6;1068645.2;CuaDinhAn;17865.3;36.8;yes
SH41;SH41;;chinh;634546.1;1065671.3;CuaDinhAn;22520.6;51.5;yes
SH41P;SH41;P;nhanh_phu;629365.0;1059691.7;CuaTranDe;24226.3;121.6;yes
Sat Lo;Sat Lo;;dac_biet;630646.4;1059632.0;CuaTranDe;25053.3;858.9;no
SH42;SH42;;chinh;638064.6;1062640.8;CuaDinhAn;27150.6;190.6;yes
SH43;SH43;;chinh;642104.9;1060214.6;CuaDinhAn;31862.3;110.2;yes
Sat Lo;Sat Lo;;dac_biet;637696.1;1061361.2;CuaDinhAn;27516.9;1470.8;no
SH40P;SH40;P;nhanh_phu;626212.3;1063836.1;CuaTranDe;19013.4;4.1;yes
34P1;34P1;;dac_biet;606154.9;1092054.1;Hau_10;1820.2;73.3;no
SH30;SH30;;chinh;591069.9;1105337.8;BASSAC;155578.2;148.9;yes
SH31P;SH31;P;nhanh_phu;594926.2;1104571.0;Hau_7;3444.9;20.4;yes
SH31;SH31;;chinh;593492.5;1102681.0;BASSAC;159229.4;28.1;yes
SH29p;SH29;p;nhanh_phu;588152.6;1108149.7;Hau_6;2699.1;25.8;yes
SH32P;SH32;P;nhanh_phu;599549.3;1102279.6;Hau_7;8726.1;70.0;yes
SH32;SH32;;chinh;597217.5;1099440.2;BASSAC;164177.2;12.3;yes
SH33P2;SH33;P2;nhanh_phu;603928.2;1097680.1;Hau_7;15218.9;30.7;yes
SH33P1;SH33;P1;nhanh_phu;602751.2;1096321.8;Hau_9;3487.5;53.7;yes
SH33P3;SH33;P3;nhanh_phu;604646.5;1098157.4;Hau_8;1617.8;7.0;yes
SH29;SH29;;chinh;589200.0;1108925.5;BASSAC;151477.2;55.3;yes
SH11;SH11;;chinh;525595.5;1170449.2;BASSAC;59114.9;4.7;yes
SH4;SH4;;chinh;510213.1;1195888.2;BASSAC;24139.6;13.2;yes
SH33;SH33;;chinh;601691.4;1095278.7;BASSAC;170488.8;50.9;yes
SH1;SH1;;chinh;510601.9;1207017.6;BASSAC;9638.5;10.7;yes
SH2;SH2;;chinh;509177.7;1203596.1;BASSAC;14062.9;1.8;yes
SH5;SH5;;chinh;513403.1;1192013.0;BASSAC;29223.9;6.3;yes
SH5p;SH5;p;nhanh_phu;512060.7;1190857.9;Hau_1;4565.9;10.6;yes
Sat Lo;Sat Lo;;dac_biet;514343.8;1185747.4;BASSAC;36082.4;159.8;no
SH7;SH7;;chinh;515484.6;1183434.0;BASSAC;39933.1;3.7;yes
SH9;SH9;;chinh;523299.1;1179269.3;BASSAC;49429.4;48.6;yes
SH10;SH10;;chinh;523230.0;1174422.8;BASSAC;54399.8;5.0;yes
SH18;SH18;;chinh;549501.9;1147945.3;BASSAC;94309.1;14.4;yes
SH19;SH19;;chinh;552241.8;1143605.2;BASSAC;99484.5;24.4;yes
SH15P;SH15;P;nhanh_phu;538420.3;1156225.3;Hau_2;3607.8;5.3;yes
SH14;SH14;;chinh;536201.4;1163385.6;BASSAC;73019.0;17.2;yes
SH17P;SH17;P;nhanh_phu;549853.6;1152292.4;Hau_3;5907.8;38.9;yes
Sat Lo;Sat Lo;;dac_biet;545103.9;1151631.2;BASSAC;88547.2;338.6;no
SH17;SH17;;chinh;545680.8;1151322.5;BASSAC;89062.4;26.6;yes
SH16;SH16;;chinh;542927.7;1154968.2;BASSAC;84136.1;4.9;yes
SH15;SH15;;chinh;539910.6;1157641.5;BASSAC;80045.1;62.3;yes
Sat Lo;Sat Lo;;dac_biet;536549.2;1163904.8;BASSAC;72613.5;492.6;no
SH12;SH12;;chinh;530045.8;1166971.6;BASSAC;64820.7;38.7;yes
SH13;SH13;;chinh;534571.7;1166216.4;BASSAC;69573.8;117.2;yes
SH8;SH8;;chinh;520686.8;1182240.1;BASSAC;45300.9;8.0;yes
SH6;SH6;;chinh;514261.4;1186101.8;BASSAC;35767.3;22.2;yes
SH1b;SH1;b;nhanh_AB;512838.5;1211205.9;BASSAC;4583.4;3.1;yes
SH24;SH24;;chinh;569236.9;1125267.6;BASSAC;125128.2;39.7;yes
SH26;SH26;;chinh;576557.7;1119164.1;BASSAC;134726.4;39.0;yes
Sat Lo;Sat Lo;;dac_biet;586485.7;1113260.3;BASSAC;146436.0;555.4;no
SH28;SH28;;chinh;586190.8;1112707.3;BASSAC;146631.6;40.0;yes
SH27;SH27;;chinh;582175.6;1115562.7;BASSAC;141521.2;60.5;yes
SH27P;SH27;P;nhanh_phu;581662.5;1114617.5;Hau_5;1759.9;9.8;yes
