survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
CC18P;CoChien;SongCoChien;81700.0;663064.9114324265;1090025.1283164404;CuaCungHau;21931.4;34.0;493;2482.7;-9.46;1.53;1.2;17206.8;SongCoChien_CC18P.csv
CC19;CoChien;SongCoChien;86060.0;669921.0838219826;1089692.525357588;CuaCoChien;27261.7;55.0;361;1752.1;-12.43;1.88;1.95;18286.9;SongCoChien_CC19.csv
CC19P;CoChien;SongCoChien;86060.0;665854.4208502304;1086604.9653660578;CuaCungHau;26410.9;268.7;531;2597.5;-9.29;1.42;3.35;17706.5;SongCoChien_CC19P.csv
HL1;HamLuong;SongHamLuong;0.0;626127.126285017;1135885.7675012776;Ham Luong;1426.1;13.8;289;887.4;-13.89;1.39;3.06;8723.6;SongHamLuong_HL1.csv
HL2;HamLuong;SongHamLuong;5650.0;630749.5008694445;1133828.9835980013;Ham Luong;6757.5;26.2;119;365.3;-14.91;0.24;0.25;3529.7;SongHamLuong_HL2.csv
HL3;HamLuong;SongHamLuong;10350.0;635055.4556803438;1132798.5610480404;Ham Luong;11905.2;70.7;178;553.8;-23.58;2.17;1.71;7879.3;SongHamLuong_HL3.csv
HL4;HamLuong;SongHamLuong;15250.0;639584.7850519263;1134598.5625772204;Ham Luong;16820.2;80.9;371;1128.2;-11.91;1.65;1.83;11327.7;SongHamLuong_HL4.csv
HL5;HamLuong;SongHamLuong;20150.0;644260.0256109444;1133305.593070188;Ham Luong;21885.1;22.0;273;833.0;-15.92;1.73;1.37;9830.0;SongHamLuong_HL5.csv
HL6;HamLuong;SongHamLuong;22750.0;646437.0231098091;1131329.0219801986;Ham Luong;24857.3;8.1;236;714.2;-15.73;1.8;1.28;9149.1;SongHamLuong_HL6.csv
HL7;HamLuong;SongHamLuong;28650.0;648822.9770886198;1126330.2838867954;Ham Luong;30660.7;21.2;169;804.6;-12.06;-0.36;1.86;8761.9;SongHamLuong_HL7.csv
HL8P;HamLuong;SongHamLuong;34000.0;652368.137980825;1122472.6370582064;HamLuong_4;6994.4;34.0;138;658.3;-11.96;2.2;2.1;5155.1;SongHamLuong_HL8P.csv
HL8;HamLuong;SongHamLuong;34000.0;651006.2335896373;1121556.948932506;Ham Luong;35928.8;2.5;174;837.9;-15.41;2.17;1.77;10116.6;SongHamLuong_HL8.csv
HL9;HamLuong;SongHamLuong;38200.0;653787.3918495975;1117855.7160679472;Ham Luong;40595.0;19.5;196;941.9;-22.01;1.74;2.21;11921.0;SongHamLuong_HL9.csv
HL10P;HamLuong;SongHamLuong;44000.0;658327.4602193515;1115357.3108941265;HamLuong_5;6067.7;19.7;97;424.8;-12.57;1.62;0.55;3267.9;SongHamLuong_HL10P.csv
HL10;HamLuong;SongHamLuong;44000.0;657222.8895198042;1114158.568711972;Ham Luong;45684.2;14.9;289;1378.4;-11.32;1.92;1.86;14719.0;SongHamLuong_HL10.csv
HL11;HamLuong;SongHamLuong;48600.0;660375.6763312018;1110933.646541834;Ham Luong;50286.2;7.3;332;1603.4;-11.55;1.05;0.23;17565.3;SongHamLuong_HL11.csv
HL12;HamLuong;SongHamLuong;52500.0;663383.329382761;1108509.6177897218;Ham Luong;54220.6;105.2;541;2649.9;-9.03;0.81;2.11;22012.3;SongHamLuong_HL12.csv
HL13P;HamLuong;SongHamLuong;56650.0;667418.2865164959;1108114.0395401185;HamLuong_6;3085.2;120.2;217;1038.3;-10.43;2.23;0.25;7024.2;SongHamLuong_HL13P.csv
HL13;HamLuong;SongHamLuong;56650.0;666721.1704990263;1105914.7135769834;Ham Luong;58601.7;117.9;257;1233.7;-14.28;1.93;0.72;13534.2;SongHamLuong_HL13.csv
HL14;HamLuong;SongHamLuong;60850.0;671359.2556761778;1105152.2974937754;Ham Luong;63615.1;93.4;417;2039.6;-12.19;0.4;1.57;20118.3;SongHamLuong_HL14.csv
HL15;HamLuong;SongHamLuong;65300.0;675253.0149440952;1102766.5915294709;Ham Luong;68180.6;13.2;536;2594.3;-10.05;2.1;0.5;20941.9;SongHamLuong_HL15.csv
HL16;HamLuong;SongHamLuong;69100.0;678826.859371063;1101366.4911202802;Ham Luong;72019.2;131.0;567;2790.8;-10.81;1.85;1.92;23142.5;SongHamLuong_HL16.csv
