tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
VamNao;2011-10-01 08:00:00;28800.0;15;1318;-21.7944;4.617;5648.572;0.05487;0.6831;26.411;5648.572
ChauDoc;2011-10-01 09:00:00;32400.0;1;74;-18.895;5.215;8486.476;0.11138;1.3866;24.11;8486.476
CanTho;2011-10-01 09:00:00;32400.0;2;279;-26.9112;2.978;20400.188;0.07714;1.0593;29.889;20400.188
TanChau;2011-10-01 09:00:00;32400.0;11;979;-32.2556;4.994;25773.811;0.09572;1.4497;37.25;25773.811
MyThuan;2011-10-01 09:00:00;32400.0;12;1171;-25.7667;1.884;25840.816;0.11308;1.5497;27.651;25840.816
VamNao;2011-10-01 09:00:00;32400.0;15;1318;-21.7944;4.435;6032.194;0.05962;0.738;26.23;6032.194
ChauDoc;2011-10-01 10:00:00;36000.0;1;74;-18.895;5.071;8496.44;0.11298;1.4009;23.966;8496.44
CanTho;2011-10-01 10:00:00;36000.0;2;279;-26.9112;2.664;20654.535;0.07978;1.0899;29.575;20654.535
TanChau;2011-10-01 10:00:00;36000.0;11;979;-32.2556;4.862;26144.35;0.09789;1.4789;37.118;26144.35
MyThuan;2011-10-01 10:00:00;36000.0;12;1171;-25.7667;1.568;26116.254;0.11663;1.5923;27.335;26116.254
VamNao;2011-10-01 10:00:00;36000.0;15;1318;-21.7944;4.268;6561.276;0.06591;0.8114;26.062;6561.276
ChauDoc;2011-10-01 11:00:00;39600.0;1;74;-18.895;4.938;8522.452;0.11446;1.4169;23.833;8522.452
CanTho;2011-10-01 11:00:00;39600.0;2;279;-26.9112;2.4;20592.637;0.08099;1.1016;29.312;20592.637
TanChau;2011-10-01 11:00:00;39600.0;11;979;-32.2556;4.722;26493.818;0.10006;1.5078;36.977;26493.818
MyThuan;2011-10-01 11:00:00;39600.0;12;1171;-25.7667;1.262;26117.451;0.11899;1.6184;27.029;26117.451
VamNao;2011-10-01 11:00:00;39600.0;15;1318;-21.7944;4.089;6860.551;0.06988;0.8579;25.884;6860.551
ChauDoc;2011-10-01 12:00:00;43200.0;1;74;-18.895;4.793;8558.143;0.11621;1.4358;23.688;8558.143
CanTho;2011-10-01 12:00:00;43200.0;2;279;-26.9112;2.17;20434.434;0.08166;1.1065;29.082;20434.434
TanChau;2011-10-01 12:00:00;43200.0;11;979;-32.2556;4.541;26446.189;0.10102;1.5169;36.797;26446.189
MyThuan;2011-10-01 12:00:00;43200.0;12;1171;-25.7667;0.983;25852.139;0.11999;1.6263;26.749;25852.139
VamNao;2011-10-01 12:00:00;43200.0;15;1318;-21.7944;3.908;7082.188;0.07302;0.8955;25.702;7082.188
ChauDoc;2011-10-01 13:00:00;46800.0;1;74;-18.895;4.638;8538.998;0.11735;1.4468;23.533;8538.998
CanTho;2011-10-01 13:00:00;46800.0;2;279;-26.9112;1.967;20165.717;0.08175;1.1039;28.878;20165.717
TanChau;2011-10-01 13:00:00;46800.0;11;979;-32.2556;4.348;26143.803;0.10108;1.5123;36.603;26143.803
MyThuan;2011-10-01 13:00:00;46800.0;12;1171;-25.7667;0.737;25436.928;0.12004;1.6218;26.504;25436.928
VamNao;2011-10-01 13:00:00;46800.0;15;1318;-21.7944;3.713;6970.798;0.07283;0.8921;25.508;6970.798
ChauDoc;2011-10-01 14:00:00;50400.0;1;74;-18.895;4.476;8519.519;0.11857;1.4584;23.371;8519.519
CanTho;2011-10-01 14:00:00;50400.0;2;279;-26.9112;1.785;19809.525;0.08135;1.0951;28.696;19809.525
TanChau;2011-10-01 14:00:00;50400.0;11;979;-32.2556;4.16;25863.943;0.1012;1.5086;36.415;25863.943
MyThuan;2011-10-01 14:00:00;50400.0;12;1171;-25.7667;0.518;24869.674;0.11914;1.605;26.285;24869.674
VamNao;2011-10-01 14:00:00;50400.0;15;1318;-21.7944;3.523;6837.185;0.07238;0.8856;25.317;6837.185
ChauDoc;2011-10-01 15:00:00;54000.0;1;74;-18.895;4.314;8468.026;0.11937;1.4649;23.209;8468.026
CanTho;2011-10-01 15:00:00;54000.0;2;279;-26.9112;1.618;19323.594;0.08032;1.0779;28.53;19323.594
TanChau;2011-10-01 15:00:00;54000.0;11;979;-32.2556;3.974;25532.688;0.10109;1.5017;36.23;25532.688
MyThuan;2011-10-01 15:00:00;54000.0;12;1171;-25.7667;0.347;24035.377;0.11652;1.5661;26.114;24035.377
VamNao;2011-10-01 15:00:00;54000.0;15;1318;-21.7944;3.337;6680.936;0.07165;0.8756;25.132;6680.936
ChauDoc;2011-10-01 16:00:00;57600.0;1;74;-18.895;4.156;8409.406;0.12004;1.4699;23.051;8409.406
CanTho;2011-10-01 16:00:00;57600.0;2;279;-26.9112;1.523;18280.848;0.07651;1.0251;28.435;18280.848
TanChau;2011-10-01 16:00:00;57600.0;11;979;-32.2556;3.802;25247.957;0.10108;1.4964;36.058;25247.957
MyThuan;2011-10-01 16:00:00;57600.0;12;1171;-25.7667;0.382;21599.877;0.10446;1.4046;26.149;21599.877
VamNao;2011-10-01 16:00:00;57600.0;15;1318;-21.7944;3.16;6533.27;0.07095;0.8661;24.954;6533.27
ChauDoc;2011-10-01 17:00:00;61200.0;1;74;-18.895;4.009;8362.52;0.12079;1.4759;22.904;8362.52
CanTho;2011-10-01 17:00:00;61200.0;2;279;-26.9112;1.826;13725.359;0.0562;0.7571;28.737;13725.359
TanChau;2011-10-01 17:00:00;61200.0;11;979;-32.2556;3.643;24999.631;0.10109;1.4923;35.898;24999.631
MyThuan;2011-10-01 17:00:00;61200.0;12;1171;-25.7667;1.163;12674.751;0.05813;0.7896;26.93;12674.751
VamNao;2011-10-01 17:00:00;61200.0;15;1318;-21.7944;2.997;6419.708;0.07053;0.8601;24.792;6419.708
ChauDoc;2011-10-01 18:00:00;64800.0;1;74;-18.895;3.877;8313.074;0.12138;1.4802;22.772;8313.074
CanTho;2011-10-01 18:00:00;64800.0;2;279;-26.9112;2.285;9290.987;0.03683;0.5001;29.196;9290.987
TanChau;2011-10-01 18:00:00;64800.0;11;979;-32.2556;3.512;24791.859;0.10107;1.4886;35.768;24791.859
MyThuan;2011-10-01 18:00:00;64800.0;12;1171;-25.7667;1.845;8374.865;0.03674;0.5033;27.612;8374.865
VamNao;2011-10-01 18:00:00;64800.0;15;1318;-21.7944;2.873;6249.954;0.06929;0.8442;24.667;6249.954
ChauDoc;2011-10-01 19:00:00;68400.0;1;74;-18.895;3.782;8214.759;0.12088;1.472;22.677;8214.759
CanTho;2011-10-01 19:00:00;68400.0;2;279;-26.9112;2.337;10598.812;0.04187;0.5689;29.248;10598.812
TanChau;2011-10-01 19:00:00;68400.0;11;979;-32.2556;3.481;24060.732;0.09828;1.4468;35.736;24060.732
MyThuan;2011-10-01 19:00:00;68400.0;12;1171;-25.7667;2.075;12201.6;0.05276;0.7246;27.842;12201.6
VamNao;2011-10-01 19:00:00;68400.0;15;1318;-21.7944;2.96;5764.05;0.0635;0.7741;24.755;5764.05
ChauDoc;2011-10-01 20:00:00;72000.0;1;74;-18.895;3.878;7925.226;0.1157;1.411;22.773;7925.226
CanTho;2011-10-01 20:00:00;72000.0;2;279;-26.9112;2.302;12290.457;0.04867;0.6609;29.213;12290.457
TanChau;2011-10-01 20:00:00;72000.0;11;979;-32.2556;3.707;22656.693;0.09126;1.3486;35.962;22656.693
MyThuan;2011-10-01 20:00:00;72000.0;12;1171;-25.7667;2.019;15664.799;0.06797;0.9329;27.786;15664.799
VamNao;2011-10-01 20:00:00;72000.0;15;1318;-21.7944;3.246;5613.676;0.06059;0.7401;25.04;5613.676
ChauDoc;2011-10-01 21:00:00;75600.0;1;74;-18.895;4.116;7841.447;0.11229;1.3742;23.011;7841.447
CanTho;2011-10-01 21:00:00;75600.0;2;279;-26.9112;2.243;13353.758;0.0531;0.7203;29.154;13353.758
TanChau;2011-10-01 21:00:00;75600.0;11;979;-32.2556;3.982;23466.578;0.09287;1.3796;36.238;23466.578
MyThuan;2011-10-01 21:00:00;75600.0;12;1171;-25.7667;1.744;18424.768;0.08135;1.113;27.511;18424.768
VamNao;2011-10-01 21:00:00;75600.0;15;1318;-21.7944;3.368;6260.891;0.067;0.819;25.162;6260.891
ChauDoc;2011-10-01 22:00:00;79200.0;1;74;-18.895;4.204;7962.135;0.11322;1.3873;23.099;7962.135
CanTho;2011-10-01 22:00:00;79200.0;2;279;-26.9112;2.106;15309.188;0.06146;0.8318;29.017;15309.188
TanChau;2011-10-01 22:00:00;79200.0;11;979;-32.2556;4.06;24379.932;0.096;1.4284;36.315;24379.932
MyThuan;2011-10-01 22:00:00;79200.0;12;1171;-25.7667;1.475;20201.73;0.09076;1.2377;27.242;20201.73
VamNao;2011-10-01 22:00:00;79200.0;15;1318;-21.7944;3.45;6860.925;0.073;0.8927;25.245;6860.925
ChauDoc;2011-10-01 23:00:00;82800.0;1;74;-18.895;4.257;8036.418;0.1138;1.3954;23.152;8036.418
CanTho;2011-10-01 23:00:00;82800.0;2;279;-26.9112;1.993;16617.098;0.06724;0.9084;28.904;16617.098
TanChau;2011-10-01 23:00:00;82800.0;11;979;-32.2556;4.067;24904.939;0.09803;1.4587;36.322;24904.939
MyThuan;2011-10-01 23:00:00;82800.0;12;1171;-25.7667;1.24;21398.336;0.09764;1.3276;27.007;21398.336
VamNao;2011-10-01 23:00:00;82800.0;15;1318;-21.7944;3.444;6830.762;0.07271;0.8891;25.239;6830.762
ChauDoc;2011-10-02 00:00:00;86400.0;1;74;-18.895;4.255;8172.676;0.11574;1.4193;23.15;8172.676
CanTho;2011-10-02 00:00:00;86400.0;2;279;-26.9112;1.873;17323.17;0.0707;0.9531;28.784;17323.17
TanChau;2011-10-02 00:00:00;86400.0;11;979;-32.2556;4.038;25377.23;0.10007;1.4883;36.293;25377.23
MyThuan;2011-10-02 00:00:00;86400.0;12;1171;-25.7667;1.023;21972.191;0.10171;1.3792;26.789;21972.191
VamNao;2011-10-02 00:00:00;86400.0;15;1318;-21.7944;3.384;6882.349;0.07357;0.8993;25.178;6882.349
ChauDoc;2011-10-02 01:00:00;90000.0;1;74;-18.895;4.208;8274.491;0.11763;1.4414;23.103;8274.491
CanTho;2011-10-02 01:00:00;90000.0;2;279;-26.9112;1.751;17539.043;0.07221;0.9714;28.662;17539.043
TanChau;2011-10-02 01:00:00;90000.0;11;979;-32.2556;3.977;25608.057;0.10137;1.5059;36.232;25608.057
MyThuan;2011-10-02 01:00:00;90000.0;12;1171;-25.7667;0.859;21915.297;0.10257;1.388;26.626;21915.297
VamNao;2011-10-02 01:00:00;90000.0;15;1318;-21.7944;3.311;6954.799;0.07472;0.913;25.106;6954.799
ChauDoc;2011-10-02 02:00:00;93600.0;1;74;-18.895;4.152;8327.377;0.11891;1.4559;23.047;8327.377
CanTho;2011-10-02 02:00:00;93600.0;2;279;-26.9112;1.66;17391.102;0.07207;0.9679;28.571;17391.102
TanChau;2011-10-02 02:00:00;93600.0;11;979;-32.2556;3.887;25568.908;0.10181;1.5097;36.142;25568.908
MyThuan;2011-10-02 02:00:00;93600.0;12;1171;-25.7667;0.778;21222.041;0.09987;1.35;26.545;21222.041
VamNao;2011-10-02 02:00:00;93600.0;15;1318;-21.7944;3.223;6939.724;0.07502;0.9162;25.017;6939.724
ChauDoc;2011-10-02 03:00:00;97200.0;1;74;-18.895;4.081;8344.438;0.11983;1.4657;22.976;8344.438
CanTho;2011-10-02 03:00:00;97200.0;2;279;-26.9112;1.669;16334.69;0.06765;0.9087;28.58;16334.69
TanChau;2011-10-02 03:00:00;97200.0;11;979;-32.2556;3.779;25308.199;0.10147;1.5015;36.035;25308.199
MyThuan;2011-10-02 03:00:00;97200.0;12;1171;-25.7667;0.885;19112.82;0.0893;1.2088;26.651;19112.82
VamNao;2011-10-02 03:00:00;97200.0;15;1318;-21.7944;3.125;6822.576;0.07427;0.9064;24.92;6822.576
ChauDoc;2011-10-02 04:00:00;100800.0;1;74;-18.895;3.997;8326.247;0.12038;1.4706;22.892;8326.247
CanTho;2011-10-02 04:00:00;100800.0;2;279;-26.9112;1.943;13070.471;0.05308;0.7164;28.855;13070.471
TanChau;2011-10-02 04:00:00;100800.0;11;979;-32.2556;3.69;25133.559;0.10134;1.4971;35.946;25133.559
MyThuan;2011-10-02 04:00:00;100800.0;12;1171;-25.7667;1.307;14713.155;0.06684;0.9096;27.073;14713.155
VamNao;2011-10-02 04:00:00;100800.0;15;1318;-21.7944;3.033;6669.774;0.07309;0.8915;24.827;6669.774
ChauDoc;2011-10-02 05:00:00;104400.0;1;74;-18.895;3.921;8289.413;0.1206;1.4716;22.816;8289.413
CanTho;2011-10-02 05:00:00;104400.0;2;279;-26.9112;2.289;10206.653;0.04045;0.5492;29.201;10206.653
TanChau;2011-10-02 05:00:00;104400.0;11;979;-32.2556;3.621;24876.65;0.10073;1.4864;35.876;24876.65
MyThuan;2011-10-02 05:00:00;104400.0;12;1171;-25.7667;1.733;12213.42;0.05397;0.7382;27.5;12213.42
VamNao;2011-10-02 05:00:00;104400.0;15;1318;-21.7944;2.992;6520.061;0.07166;0.8738;24.786;6520.061
ChauDoc;2011-10-02 06:00:00;108000.0;1;74;-18.895;3.895;8192.815;0.11945;1.457;22.79;8192.815
CanTho;2011-10-02 06:00:00;108000.0;2;279;-26.9112;2.45;10221.344;0.04006;0.5454;29.361;10221.344
TanChau;2011-10-02 06:00:00;108000.0;11;979;-32.2556;3.625;24237.875;0.09812;1.448;35.881;24237.875
MyThuan;2011-10-02 06:00:00;108000.0;12;1171;-25.7667;1.999;12781.329;0.05553;0.762;27.766;12781.329
VamNao;2011-10-02 06:00:00;108000.0;15;1318;-21.7944;3.091;6024.137;0.06574;0.8022;24.885;6024.137
ChauDoc;2011-10-02 07:00:00;111600.0;1;74;-18.895;3.995;8006.976;0.11579;1.4145;22.89;8006.976
CanTho;2011-10-02 07:00:00;111600.0;2;279;-26.9112;2.437;11984.622;0.04701;0.6399;29.348;11984.622
TanChau;2011-10-02 07:00:00;111600.0;11;979;-32.2556;3.77;23434.662;0.09401;1.3909;36.026;23434.662
MyThuan;2011-10-02 07:00:00;111600.0;12;1171;-25.7667;1.993;15336.808;0.06666;0.9146;27.759;15336.808
VamNao;2011-10-02 07:00:00;111600.0;15;1318;-21.7944;3.289;5606.249;0.06033;0.737;25.084;5606.249
ChauDoc;2011-10-02 08:00:00;115200.0;1;74;-18.895;4.167;7942.922;0.11328;1.3873;23.062;7942.922
CanTho;2011-10-02 08:00:00;115200.0;2;279;-26.9112;2.352;13616.942;0.05373;0.7303;29.263;13616.942
TanChau;2011-10-02 08:00:00;115200.0;11;979;-32.2556;3.978;23601.889;0.09342;1.3878;36.234;23601.889
MyThuan;2011-10-02 08:00:00;115200.0;12;1171;-25.7667;1.775;18367.756;0.08094;1.1078;27.542;18367.756
VamNao;2011-10-02 08:00:00;115200.0;15;1318;-21.7944;3.431;5764.959;0.06142;0.751;25.226;5764.959
ChauDoc;2011-10-02 09:00:00;118800.0;1;74;-18.895;4.27;8014.425;0.11337;1.3904;23.165;8014.425
CanTho;2011-10-02 09:00:00;118800.0;2;279;-26.9112;2.198;15385.508;0.06137;0.8319;29.109;15385.508
TanChau;2011-10-02 09:00:00;118800.0;11;979;-32.2556;4.108;24364.107;0.09564;1.4244;36.364;24364.107
MyThuan;2011-10-02 09:00:00;118800.0;12;1171;-25.7667;1.517;20395.48;0.09139;1.2469;27.283;20395.48
VamNao;2011-10-02 09:00:00;118800.0;15;1318;-21.7944;3.505;6384.35;0.06767;0.8278;25.3;6384.35
ChauDoc;2011-10-02 10:00:00;122400.0;1;74;-18.895;4.313;8093.339;0.11409;1.4001;23.208;8093.339
CanTho;2011-10-02 10:00:00;122400.0;2;279;-26.9112;2.043;16799.854;0.06774;0.9159;28.955;16799.854
TanChau;2011-10-02 10:00:00;122400.0;11;979;-32.2556;4.125;24975.873;0.09794;1.4591;36.38;24975.873
MyThuan;2011-10-02 10:00:00;122400.0;12;1171;-25.7667;1.244;21875.625;0.09978;1.3569;27.011;21875.625
VamNao;2011-10-02 10:00:00;122400.0;15;1318;-21.7944;3.505;6704.621;0.07106;0.8694;25.299;6704.621
ChauDoc;2011-10-02 11:00:00;126000.0;1;74;-18.895;4.307;8197.567;0.11561;1.4187;23.202;8197.567
CanTho;2011-10-02 11:00:00;126000.0;2;279;-26.9112;1.879;17801.084;0.07262;0.9791;28.79;17801.084
TanChau;2011-10-02 11:00:00;126000.0;11;979;-32.2556;4.084;25331.477;0.0996;1.4826;36.339;25331.477
MyThuan;2011-10-02 11:00:00;126000.0;12;1171;-25.7667;0.977;22820.002;0.10596;1.436;26.744;22820.002
VamNao;2011-10-02 11:00:00;126000.0;15;1318;-21.7944;3.441;6831.917;0.07273;0.8895;25.236;6831.917
ChauDoc;2011-10-02 12:00:00;129600.0;1;74;-18.895;4.253;8279.599;0.11728;1.438;23.148;8279.599
CanTho;2011-10-02 12:00:00;129600.0;2;279;-26.9112;1.719;18219.797;0.07518;1.0108;28.63;18219.797
TanChau;2011-10-02 12:00:00;129600.0;11;979;-32.2556;4.012;25563.906;0.10097;1.5009;36.268;25563.906
MyThuan;2011-10-02 12:00:00;129600.0;12;1171;-25.7667;0.728;23196.172;0.10954;1.4797;26.495;23196.172
VamNao;2011-10-02 12:00:00;129600.0;15;1318;-21.7944;3.352;6905.603;0.07398;0.9042;25.146;6905.603
ChauDoc;2011-10-02 13:00:00;133200.0;1;74;-18.895;4.179;8332.894;0.11873;1.4543;23.074;8332.894
CanTho;2011-10-02 13:00:00;133200.0;2;279;-26.9112;1.573;18286.006;0.07625;1.0226;28.484;18286.006
TanChau;2011-10-02 13:00:00;133200.0;11;979;-32.2556;3.899;25501.445;0.10146;1.5048;36.155;25501.445
MyThuan;2011-10-02 13:00:00;133200.0;12;1171;-25.7667;0.504;23212.293;0.11131;1.4992;26.271;23212.293
VamNao;2011-10-02 13:00:00;133200.0;15;1318;-21.7944;3.24;6925.102;0.07478;0.9133;25.035;6925.102
ChauDoc;2011-10-02 14:00:00;136800.0;1;74;-18.895;4.085;8340.332;0.11973;1.4646;22.98;8340.332
CanTho;2011-10-02 14:00:00;136800.0;2;279;-26.9112;1.438;18204.328;0.07666;1.0256;28.349;18204.328
TanChau;2011-10-02 14:00:00;136800.0;11;979;-32.2556;3.781;25395.6;0.10181;1.5066;36.036;25395.6
MyThuan;2011-10-02 14:00:00;136800.0;12;1171;-25.7667;0.308;23046.623;0.11203;1.505;26.074;23046.623
VamNao;2011-10-02 14:00:00;136800.0;15;1318;-21.7944;3.113;6794.892;0.07404;0.9035;24.907;6794.892
ChauDoc;2011-10-02 15:00:00;140400.0;1;74;-18.895;3.98;8337.431;0.12071;1.4743;22.875;8337.431
CanTho;2011-10-02 15:00:00;140400.0;2;279;-26.9112;1.312;18026.104;0.07662;1.0227;28.223;18026.104
TanChau;2011-10-02 15:00:00;140400.0;11;979;-32.2556;3.659;25283.557;0.10214;1.5082;35.914;25283.557
MyThuan;2011-10-02 15:00:00;140400.0;12;1171;-25.7667;0.141;22657.375;0.11153;1.4933;25.908;22657.375
VamNao;2011-10-02 15:00:00;140400.0;15;1318;-21.7944;2.988;6713.093;0.0738;0.8999;24.783;6713.093
ChauDoc;2011-10-02 16:00:00;144000.0;1;74;-18.895;3.876;8315.551;0.12142;1.4806;22.771;8315.551
CanTho;2011-10-02 16:00:00;144000.0;2;279;-26.9112;1.201;17682.145;0.07577;1.0094;28.113;17682.145
TanChau;2011-10-02 16:00:00;144000.0;11;979;-32.2556;3.532;25069.336;0.10208;1.5039;35.787;25069.336
MyThuan;2011-10-02 16:00:00;144000.0;12;1171;-25.7667;0.045;21810.689;0.10818;1.445;25.812;21810.689
VamNao;2011-10-02 16:00:00;144000.0;15;1318;-21.7944;2.863;6590.92;0.07312;0.8908;24.657;6590.92
ChauDoc;2011-10-02 17:00:00;147600.0;1;74;-18.895;3.773;8287.153;0.12204;1.4859;22.668;8287.153
CanTho;2011-10-02 17:00:00;147600.0;2;279;-26.9112;1.181;16576.449;0.07114;0.9473;28.093;16576.449
TanChau;2011-10-02 17:00:00;147600.0;11;979;-32.2556;3.404;24792.143;0.10176;1.4959;35.659;24792.143
MyThuan;2011-10-02 17:00:00;147600.0;12;1171;-25.7667;0.331;17692.887;0.08587;1.1539;26.097;17692.887
VamNao;2011-10-02 17:00:00;147600.0;15;1318;-21.7944;2.74;6465.58;0.07237;0.881;24.535;6465.58
ChauDoc;2011-10-02 18:00:00;151200.0;1;74;-18.895;3.668;8242.217;0.12243;1.4883;22.563;8242.217
CanTho;2011-10-02 18:00:00;151200.0;2;279;-26.9112;1.62;11437.658;0.04753;0.638;28.531;11437.658
TanChau;2011-10-02 18:00:00;151200.0;11;979;-32.2556;3.295;24618.377;0.10173;1.4927;35.551;24618.377
MyThuan;2011-10-02 18:00:00;151200.0;12;1171;-25.7667;1.122;10016.313;0.04606;0.6254;26.889;10016.313
VamNao;2011-10-02 18:00:00;151200.0;15;1318;-21.7944;2.625;6322.508;0.07138;0.8682;24.419;6322.508
ChauDoc;2011-10-02 19:00:00;154800.0;1;74;-18.895;3.572;8198.739;0.12276;1.4901;22.467;8198.739
CanTho;2011-10-02 19:00:00;154800.0;2;279;-26.9112;2.089;7738.245;0.0311;0.4208;29.0;7738.245
TanChau;2011-10-02 19:00:00;154800.0;11;979;-32.2556;3.209;24335.941;0.10112;1.4814;35.464;24335.941
MyThuan;2011-10-02 19:00:00;154800.0;12;1171;-25.7667;1.722;8212.89;0.03632;0.4967;27.488;8212.89
VamNao;2011-10-02 19:00:00;154800.0;15;1318;-21.7944;2.562;6217.275;0.07052;0.8573;24.356;6217.275
ChauDoc;2011-10-02 20:00:00;158400.0;1;74;-18.895;3.529;8090.223;0.12157;1.4748;22.424;8090.223
CanTho;2011-10-02 20:00:00;158400.0;2;279;-26.9112;2.109;9998.639;0.04013;0.5432;29.021;9998.639
TanChau;2011-10-02 20:00:00;158400.0;11;979;-32.2556;3.262;23265.57;0.09635;1.4129;35.517;23265.57
MyThuan;2011-10-02 20:00:00;158400.0;12;1171;-25.7667;1.978;11025.822;0.04796;0.658;27.745;11025.822
VamNao;2011-10-02 20:00:00;158400.0;15;1318;-21.7944;2.76;5819.866;0.06505;0.792;24.554;5819.866
