tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
MyThuan;2011-10-06 08:00:00;460800.0;12;1171;-25.7667;1.139;18330.371;0.0842;1.1434;26.906;18330.371
VamNao;2011-10-06 08:00:00;460800.0;15;1318;-21.7944;3.032;6388.88;0.07002;0.854;24.827;6388.88
ChauDoc;2011-10-06 09:00:00;464400.0;1;74;-18.895;3.894;8055.119;0.11745;1.4326;22.789;8055.119
CanTho;2011-10-06 09:00:00;464400.0;2;279;-26.9112;1.873;13979.097;0.05705;0.7691;28.784;13979.097
TanChau;2011-10-06 09:00:00;464400.0;11;979;-32.2556;3.6;23865.496;0.09676;1.4273;35.856;23865.496
MyThuan;2011-10-06 09:00:00;464400.0;12;1171;-25.7667;1.181;17502.922;0.08017;1.0893;26.948;17502.922
VamNao;2011-10-06 09:00:00;464400.0;15;1318;-21.7944;3.011;6307.026;0.06922;0.8442;24.806;6307.026
ChauDoc;2011-10-06 10:00:00;468000.0;1;74;-18.895;3.878;8050.946;0.11754;1.4334;22.773;8050.946
CanTho;2011-10-06 10:00:00;468000.0;2;279;-26.9112;1.934;13505.234;0.05488;0.7406;28.845;13505.234
TanChau;2011-10-06 10:00:00;468000.0;11;979;-32.2556;3.574;23786.23;0.0966;1.4243;35.829;23786.23
MyThuan;2011-10-06 10:00:00;468000.0;12;1171;-25.7667;1.243;16974.334;0.07744;1.053;27.009;16974.334
VamNao;2011-10-06 10:00:00;468000.0;15;1318;-21.7944;2.994;6140.708;0.06748;0.8229;24.789;6140.708
ChauDoc;2011-10-06 11:00:00;471600.0;1;74;-18.895;3.869;8039.792;0.11746;1.4323;22.764;8039.792
CanTho;2011-10-06 11:00:00;471600.0;2;279;-26.9112;1.962;13487.609;0.0547;0.7385;28.874;13487.609
TanChau;2011-10-06 11:00:00;471600.0;11;979;-32.2556;3.569;23671.242;0.09616;1.4177;35.824;23671.242
MyThuan;2011-10-06 11:00:00;471600.0;12;1171;-25.7667;1.308;16687.152;0.0758;1.0315;27.074;16687.152
VamNao;2011-10-06 11:00:00;471600.0;15;1318;-21.7944;3.005;5979.318;0.06566;0.8007;24.799;5979.318
ChauDoc;2011-10-06 12:00:00;475200.0;1;74;-18.895;3.88;8016.564;0.11701;1.427;22.775;8016.564
CanTho;2011-10-06 12:00:00;475200.0;2;279;-26.9112;1.927;14023.207;0.05701;0.7693;28.838;14023.207
TanChau;2011-10-06 12:00:00;475200.0;11;979;-32.2556;3.587;23585.389;0.0957;1.4114;35.843;23585.389
MyThuan;2011-10-06 12:00:00;475200.0;12;1171;-25.7667;1.29;17354.953;0.07893;1.0738;27.057;17354.953
VamNao;2011-10-06 12:00:00;475200.0;15;1318;-21.7944;3.029;5874.148;0.06439;0.7854;24.823;5874.148
ChauDoc;2011-10-06 13:00:00;478800.0;1;74;-18.895;3.901;8004.475;0.11664;1.4229;22.796;8004.475
CanTho;2011-10-06 13:00:00;478800.0;2;279;-26.9112;1.873;14504.406;0.0592;0.798;28.784;14504.406
TanChau;2011-10-06 13:00:00;478800.0;11;979;-32.2556;3.617;23556.881;0.09541;1.4078;35.873;23556.881
MyThuan;2011-10-06 13:00:00;478800.0;12;1171;-25.7667;1.188;18538.492;0.08488;1.1534;26.954;18538.492
VamNao;2011-10-06 13:00:00;478800.0;15;1318;-21.7944;3.051;5921.635;0.06481;0.7905;24.846;5921.635
ChauDoc;2011-10-06 14:00:00;482400.0;1;74;-18.895;3.911;7998.009;0.11645;1.4208;22.806;7998.009
CanTho;2011-10-06 14:00:00;482400.0;2;279;-26.9112;1.776;15206.487;0.06249;0.841;28.688;15206.487
TanChau;2011-10-06 14:00:00;482400.0;11;979;-32.2556;3.639;23657.576;0.09569;1.4124;35.895;23657.576
MyThuan;2011-10-06 14:00:00;482400.0;12;1171;-25.7667;1.044;19461.84;0.08996;1.2202;26.811;19461.84
VamNao;2011-10-06 14:00:00;482400.0;15;1318;-21.7944;3.052;6108.917;0.06685;0.8155;24.846;6108.917
ChauDoc;2011-10-06 15:00:00;486000.0;1;74;-18.895;3.909;8023.668;0.11684;1.4255;22.804;8023.668
CanTho;2011-10-06 15:00:00;486000.0;2;279;-26.9112;1.659;15919.998;0.06597;0.8861;28.571;15919.998
TanChau;2011-10-06 15:00:00;486000.0;11;979;-32.2556;3.626;23826.322;0.09645;1.4233;35.881;23826.322
MyThuan;2011-10-06 15:00:00;486000.0;12;1171;-25.7667;0.874;20180.266;0.09435;1.277;26.641;20180.266
VamNao;2011-10-06 15:00:00;486000.0;15;1318;-21.7944;3.031;6213.826;0.0681;0.8306;24.825;6213.826
ChauDoc;2011-10-06 16:00:00;489600.0;1;74;-18.895;3.89;8051.469;0.11743;1.4323;22.785;8051.469
CanTho;2011-10-06 16:00:00;489600.0;2;279;-26.9112;1.542;16368.061;0.06841;0.9169;28.454;16368.061
TanChau;2011-10-06 16:00:00;489600.0;11;979;-32.2556;3.586;23911.928;0.09704;1.431;35.842;23911.928
MyThuan;2011-10-06 16:00:00;489600.0;12;1171;-25.7667;0.697;20683.945;0.09788;1.3217;26.463;20683.945
VamNao;2011-10-06 16:00:00;489600.0;15;1318;-21.7944;2.98;6262.928;0.06889;0.84;24.775;6262.928
ChauDoc;2011-10-06 17:00:00;493200.0;1;74;-18.895;3.844;8074.603;0.11821;1.4408;22.74;8074.603
CanTho;2011-10-06 17:00:00;493200.0;2;279;-26.9112;1.427;16604.678;0.06998;0.9361;28.338;16604.678
TanChau;2011-10-06 17:00:00;493200.0;11;979;-32.2556;3.528;23988.848;0.0977;1.4393;35.784;23988.848
MyThuan;2011-10-06 17:00:00;493200.0;12;1171;-25.7667;0.525;20941.75;0.10028;1.351;26.292;20941.75
VamNao;2011-10-06 17:00:00;493200.0;15;1318;-21.7944;2.909;6304.691;0.06971;0.8496;24.703;6304.691
ChauDoc;2011-10-06 18:00:00;496800.0;1;74;-18.895;3.785;8096.154;0.1191;1.4505;22.68;8096.154
CanTho;2011-10-06 18:00:00;496800.0;2;279;-26.9112;1.317;16673.424;0.07084;0.9457;28.228;16673.424
TanChau;2011-10-06 18:00:00;496800.0;11;979;-32.2556;3.456;24040.436;0.09835;1.4471;35.712;24040.436
MyThuan;2011-10-06 18:00:00;496800.0;12;1171;-25.7667;0.372;20922.227;0.10125;1.3613;26.139;20922.227
VamNao;2011-10-06 18:00:00;496800.0;15;1318;-21.7944;2.827;6319.7;0.07029;0.8562;24.621;6319.7
ChauDoc;2011-10-06 19:00:00;500400.0;1;74;-18.895;3.715;8090.588;0.11971;1.4563;22.61;8090.588
CanTho;2011-10-06 19:00:00;500400.0;2;279;-26.9112;1.221;16564.004;0.07088;0.9445;28.132;16564.004
TanChau;2011-10-06 19:00:00;500400.0;11;979;-32.2556;3.377;24057.918;0.09891;1.4534;35.632;24057.918
MyThuan;2011-10-06 19:00:00;500400.0;12;1171;-25.7667;0.261;20550.219;0.10022;1.3455;26.028;20550.219
VamNao;2011-10-06 19:00:00;500400.0;15;1318;-21.7944;2.739;6302.062;0.07055;0.8588;24.534;6302.062
ChauDoc;2011-10-06 20:00:00;504000.0;1;74;-18.895;3.643;8086.619;0.12037;1.4628;22.538;8086.619
CanTho;2011-10-06 20:00:00;504000.0;2;279;-26.9112;1.152;16234.007;0.06982;0.9293;28.063;16234.007
TanChau;2011-10-06 20:00:00;504000.0;11;979;-32.2556;3.285;23947.234;0.09902;1.4527;35.541;23947.234
MyThuan;2011-10-06 20:00:00;504000.0;12;1171;-25.7667;0.228;19659.148;0.09611;1.2896;25.995;19659.148
VamNao;2011-10-06 20:00:00;504000.0;15;1318;-21.7944;2.65;6270.323;0.07066;0.8596;24.444;6270.323
ChauDoc;2011-10-06 21:00:00;507600.0;1;74;-18.895;3.569;8072.091;0.1209;1.4675;22.464;8072.091
CanTho;2011-10-06 21:00:00;507600.0;2;279;-26.9112;1.188;15007.979;0.06438;0.8573;28.1;15007.979
TanChau;2011-10-06 21:00:00;507600.0;11;979;-32.2556;3.2;23835.0;0.09909;1.4515;35.456;23835.0
MyThuan;2011-10-06 21:00:00;507600.0;12;1171;-25.7667;0.388;17356.949;0.08391;1.1284;26.154;17356.949
VamNao;2011-10-06 21:00:00;507600.0;15;1318;-21.7944;2.561;6176.613;0.07006;0.8518;24.355;6176.613
ChauDoc;2011-10-06 22:00:00;511200.0;1;74;-18.895;3.496;8051.752;0.12133;1.4711;22.391;8051.752
CanTho;2011-10-06 22:00:00;511200.0;2;279;-26.9112;1.394;12631.343;0.05337;0.7134;28.305;12631.343
TanChau;2011-10-06 22:00:00;511200.0;11;979;-32.2556;3.132;23772.426;0.09926;1.4522;35.388;23772.426
MyThuan;2011-10-06 22:00:00;511200.0;12;1171;-25.7667;0.777;13746.229;0.0647;0.8745;26.543;13746.229
VamNao;2011-10-06 22:00:00;511200.0;15;1318;-21.7944;2.489;6129.903;0.0699;0.8494;24.284;6129.903
ChauDoc;2011-10-06 23:00:00;514800.0;1;74;-18.895;3.438;8011.648;0.12132;1.4697;22.333;8011.648
CanTho;2011-10-06 23:00:00;514800.0;2;279;-26.9112;1.675;10341.312;0.04281;0.5751;28.587;10341.312
TanChau;2011-10-06 23:00:00;514800.0;11;979;-32.2556;3.079;23500.037;0.09845;1.4391;35.334;23500.037
MyThuan;2011-10-06 23:00:00;514800.0;12;1171;-25.7667;1.242;10981.714;0.0501;0.6812;27.009;10981.714
VamNao;2011-10-06 23:00:00;514800.0;15;1318;-21.7944;2.469;6008.254;0.06862;0.8337;24.264;6008.254
ChauDoc;2011-10-07 00:00:00;518400.0;1;74;-18.895;3.426;7932.626;0.12025;1.4564;22.321;7932.626
CanTho;2011-10-07 00:00:00;518400.0;2;279;-26.9112;1.897;9448.733;0.0385;0.5192;28.808;9448.733
TanChau;2011-10-07 00:00:00;518400.0;11;979;-32.2556;3.102;22966.428;0.09607;1.4049;35.358;22966.428
MyThuan;2011-10-07 00:00:00;518400.0;12;1171;-25.7667;1.64;10056.841;0.0447;0.6108;27.407;10056.841
VamNao;2011-10-07 00:00:00;518400.0;15;1318;-21.7944;2.551;5728.354;0.06502;0.7905;24.345;5728.354
ChauDoc;2011-10-07 01:00:00;522000.0;1;74;-18.895;3.502;7814.888;0.11771;1.4273;22.397;7814.888
CanTho;2011-10-07 01:00:00;522000.0;2;279;-26.9112;2.017;9834.19;0.03973;0.5369;28.928;9834.19
TanChau;2011-10-07 01:00:00;522000.0;11;979;-32.2556;3.243;22466.197;0.09314;1.3655;35.499;22466.197
MyThuan;2011-10-07 01:00:00;522000.0;12;1171;-25.7667;1.813;11527.717;0.05068;0.6939;27.58;11527.717
VamNao;2011-10-07 01:00:00;522000.0;15;1318;-21.7944;2.73;5556.193;0.06224;0.7576;24.524;5556.193
ChauDoc;2011-10-07 02:00:00;525600.0;1;74;-18.895;3.657;7737.019;0.11503;1.3981;22.552;7737.019
CanTho;2011-10-07 02:00:00;525600.0;2;279;-26.9112;2.115;10260.742;0.04116;0.5572;29.027;10260.742
TanChau;2011-10-07 02:00:00;525600.0;11;979;-32.2556;3.459;22298.34;0.09121;1.3421;35.715;22298.34
MyThuan;2011-10-07 02:00:00;525600.0;12;1171;-25.7667;1.797;13909.087;0.06121;0.8379;27.564;13909.087
VamNao;2011-10-07 02:00:00;525600.0;15;1318;-21.7944;2.931;5783.514;0.06385;0.7782;24.726;5783.514
ChauDoc;2011-10-07 03:00:00;529200.0;1;74;-18.895;3.82;7723.29;0.11329;1.3804;22.715;7723.29
CanTho;2011-10-07 03:00:00;529200.0;2;279;-26.9112;2.134;11582.072;0.0464;0.6284;29.045;11582.072
TanChau;2011-10-07 03:00:00;529200.0;11;979;-32.2556;3.658;22751.07;0.09191;1.3571;35.914;22751.07
MyThuan;2011-10-07 03:00:00;529200.0;12;1171;-25.7667;1.689;15956.421;0.0707;0.9667;27.456;15956.421
VamNao;2011-10-07 03:00:00;529200.0;15;1318;-21.7944;3.096;6181.394;0.06743;0.8228;24.891;6181.394
ChauDoc;2011-10-07 04:00:00;532800.0;1;74;-18.895;3.954;7754.167;0.11251;1.3736;22.849;7754.167
CanTho;2011-10-07 04:00:00;532800.0;2;279;-26.9112;2.089;13421.212;0.05394;0.7299;29.0;13421.212
TanChau;2011-10-07 04:00:00;532800.0;11;979;-32.2556;3.77;23339.791;0.09364;1.3853;36.025;23339.791
MyThuan;2011-10-07 04:00:00;532800.0;12;1171;-25.7667;1.554;17472.805;0.0781;1.0661;27.321;17472.805
VamNao;2011-10-07 04:00:00;532800.0;15;1318;-21.7944;3.214;6264.587;0.06777;0.8275;25.009;6264.587
ChauDoc;2011-10-07 05:00:00;536400.0;1;74;-18.895;4.053;7853.03;0.11303;1.382;22.948;7853.03
CanTho;2011-10-07 05:00:00;536400.0;2;279;-26.9112;2.043;14565.356;0.05873;0.7941;28.954;14565.356
TanChau;2011-10-07 05:00:00;536400.0;11;979;-32.2556;3.815;23602.297;0.09442;1.3981;36.07;23602.297
MyThuan;2011-10-07 05:00:00;536400.0;12;1171;-25.7667;1.429;18495.41;0.08335;1.136;27.196;18495.41
VamNao;2011-10-07 05:00:00;536400.0;15;1318;-21.7944;3.254;6250.228;0.06742;0.8235;25.048;6250.228
ChauDoc;2011-10-07 06:00:00;540000.0;1;74;-18.895;4.081;7970.544;0.11446;1.4001;22.976;7970.544
CanTho;2011-10-07 06:00:00;540000.0;2;279;-26.9112;1.967;15364.579;0.06229;0.8411;28.878;15364.579
TanChau;2011-10-07 06:00:00;540000.0;11;979;-32.2556;3.825;23884.381;0.09548;1.4141;36.081;23884.381
MyThuan;2011-10-07 06:00:00;540000.0;12;1171;-25.7667;1.304;19312.195;0.08774;1.194;27.071;19312.195
VamNao;2011-10-07 06:00:00;540000.0;15;1318;-21.7944;3.241;6288.995;0.0679;0.8293;25.036;6288.995
ChauDoc;2011-10-07 07:00:00;543600.0;1;74;-18.895;4.07;8057.874;0.11582;1.4164;22.965;8057.874
CanTho;2011-10-07 07:00:00;543600.0;2;279;-26.9112;1.885;15835.077;0.06457;0.8706;28.796;15835.077
TanChau;2011-10-07 07:00:00;543600.0;11;979;-32.2556;3.809;24112.955;0.09649;1.4287;36.064;24112.955
MyThuan;2011-10-07 07:00:00;543600.0;12;1171;-25.7667;1.182;19778.242;0.09059;1.2309;26.948;19778.242
VamNao;2011-10-07 07:00:00;543600.0;15;1318;-21.7944;3.214;6375.623;0.06897;0.8422;25.009;6375.623
ChauDoc;2011-10-07 08:00:00;547200.0;1;74;-18.895;4.048;8101.364;0.11665;1.4262;22.943;8101.364
CanTho;2011-10-07 08:00:00;547200.0;2;279;-26.9112;1.818;15918.303;0.06522;0.8784;28.73;15918.303
TanChau;2011-10-07 08:00:00;547200.0;11;979;-32.2556;3.771;24205.971;0.09711;1.4367;36.026;24205.971
MyThuan;2011-10-07 08:00:00;547200.0;12;1171;-25.7667;1.086;19791.59;0.09123;1.2381;26.852;19791.59
VamNao;2011-10-07 08:00:00;547200.0;15;1318;-21.7944;3.168;6433.395;0.06983;0.8524;24.962;6433.395
ChauDoc;2011-10-07 09:00:00;550800.0;1;74;-18.895;4.01;8129.882;0.11743;1.4348;22.905;8129.882
CanTho;2011-10-07 09:00:00;550800.0;2;279;-26.9112;1.788;15611.407;0.0641;0.8628;28.7;15611.407
TanChau;2011-10-07 09:00:00;550800.0;11;979;-32.2556;3.719;24245.98;0.09759;1.4424;35.975;24245.98
MyThuan;2011-10-07 09:00:00;550800.0;12;1171;-25.7667;1.039;19370.059;0.08957;1.2148;26.806;19370.059
VamNao;2011-10-07 09:00:00;550800.0;15;1318;-21.7944;3.11;6435.023;0.07013;0.8558;24.905;6435.023
ChauDoc;2011-10-07 10:00:00;554400.0;1;74;-18.895;3.961;8134.932;0.11796;1.4403;22.856;8134.932
CanTho;2011-10-07 10:00:00;554400.0;2;279;-26.9112;1.856;14472.316;0.05913;0.797;28.767;14472.316
TanChau;2011-10-07 10:00:00;554400.0;11;979;-32.2556;3.658;24185.393;0.09771;1.4427;35.914;24185.393
MyThuan;2011-10-07 10:00:00;554400.0;12;1171;-25.7667;1.082;18274.395;0.08426;1.1434;26.849;18274.395
VamNao;2011-10-07 10:00:00;554400.0;15;1318;-21.7944;3.054;6390.085;0.06992;0.8529;24.848;6390.085
ChauDoc;2011-10-07 11:00:00;558000.0;1;74;-18.895;3.916;8130.179;0.11833;1.4438;22.811;8130.179
CanTho;2011-10-07 11:00:00;558000.0;2;279;-26.9112;1.965;13369.669;0.05421;0.7319;28.877;13369.669
TanChau;2011-10-07 11:00:00;558000.0;11;979;-32.2556;3.607;24092.561;0.09764;1.4405;35.862;24092.561
MyThuan;2011-10-07 11:00:00;558000.0;12;1171;-25.7667;1.191;17061.961;0.0781;1.0613;26.958;17061.961
VamNao;2011-10-07 11:00:00;558000.0;15;1318;-21.7944;3.009;6263.986;0.06876;0.8385;24.804;6263.986
ChauDoc;2011-10-07 12:00:00;561600.0;1;74;-18.895;3.885;8105.414;0.11826;1.4424;22.78;8105.414
CanTho;2011-10-07 12:00:00;561600.0;2;279;-26.9112;1.973;13648.651;0.05531;0.7469;28.885;13648.651
TanChau;2011-10-07 12:00:00;561600.0;11;979;-32.2556;3.567;23855.264;0.09692;1.4288;35.823;23855.264
MyThuan;2011-10-07 12:00:00;561600.0;12;1171;-25.7667;1.265;16836.445;0.07669;1.0431;27.032;16836.445
VamNao;2011-10-07 12:00:00;561600.0;15;1318;-21.7944;3.009;6004.408;0.06591;0.8038;24.804;6004.408
ChauDoc;2011-10-07 13:00:00;565200.0;1;74;-18.895;3.891;8048.075;0.11737;1.4316;22.786;8048.075
CanTho;2011-10-07 13:00:00;565200.0;2;279;-26.9112;1.95;14030.131;0.05695;0.7687;28.861;14030.131
TanChau;2011-10-07 13:00:00;565200.0;11;979;-32.2556;3.574;23553.322;0.09565;1.4103;35.83;23553.322
MyThuan;2011-10-07 13:00:00;565200.0;12;1171;-25.7667;1.276;17315.465;0.07882;1.0722;27.042;17315.465
VamNao;2011-10-07 13:00:00;565200.0;15;1318;-21.7944;3.035;5696.064;0.06241;0.7612;24.83;5696.064
ChauDoc;2011-10-07 14:00:00;568800.0;1;74;-18.895;3.909;8018.575;0.11677;1.4247;22.804;8018.575
CanTho;2011-10-07 14:00:00;568800.0;2;279;-26.9112;1.9;14378.798;0.05857;0.79;28.811;14378.798
TanChau;2011-10-07 14:00:00;568800.0;11;979;-32.2556;3.616;23521.781;0.09528;1.4058;35.871;23521.781
MyThuan;2011-10-07 14:00:00;568800.0;12;1171;-25.7667;1.213;18101.984;0.08274;1.1247;26.98;18101.984
VamNao;2011-10-07 14:00:00;568800.0;15;1318;-21.7944;3.047;5792.29;0.06341;0.7735;24.842;5792.29
ChauDoc;2011-10-07 15:00:00;572400.0;1;74;-18.895;3.91;8014.029;0.11669;1.4238;22.805;8014.029
CanTho;2011-10-07 15:00:00;572400.0;2;279;-26.9112;1.807;15014.215;0.06157;0.829;28.718;15014.215
TanChau;2011-10-07 15:00:00;572400.0;11;979;-32.2556;3.635;23674.469;0.09578;1.4137;35.89;23674.469
MyThuan;2011-10-07 15:00:00;572400.0;12;1171;-25.7667;1.088;19121.986;0.08813;1.196;26.855;19121.986
VamNao;2011-10-07 15:00:00;572400.0;15;1318;-21.7944;3.053;6011.423;0.06578;0.8024;24.847;6011.423
ChauDoc;2011-10-07 16:00:00;576000.0;1;74;-18.895;3.909;8014.306;0.1167;1.4239;22.804;8014.306
CanTho;2011-10-07 16:00:00;576000.0;2;279;-26.9112;1.697;15702.583;0.0649;0.8722;28.608;15702.583
TanChau;2011-10-07 16:00:00;576000.0;11;979;-32.2556;3.63;23763.381;0.09617;1.4193;35.885;23763.381
MyThuan;2011-10-07 16:00:00;576000.0;12;1171;-25.7667;0.927;19990.551;0.09313;1.2613;26.694;19990.551
VamNao;2011-10-07 16:00:00;576000.0;15;1318;-21.7944;3.039;6163.386;0.06751;0.8235;24.834;6163.386
ChauDoc;2011-10-07 17:00:00;579600.0;1;74;-18.895;3.896;8036.75;0.11716;1.4292;22.791;8036.75
CanTho;2011-10-07 17:00:00;579600.0;2;279;-26.9112;1.568;16338.297;0.06815;0.9139;28.48;16338.297
TanChau;2011-10-07 17:00:00;579600.0;11;979;-32.2556;3.6;23882.783;0.09683;1.4284;35.856;23882.783
MyThuan;2011-10-07 17:00:00;579600.0;12;1171;-25.7667;0.748;20605.855;0.09717;1.313;26.515;20605.855
VamNao;2011-10-07 17:00:00;579600.0;15;1318;-21.7944;2.996;6250.224;0.06868;0.8374;24.79;6250.224
ChauDoc;2011-10-07 18:00:00;583200.0;1;74;-18.895;3.861;8080.954;0.11814;1.4403;22.756;8080.954
CanTho;2011-10-07 18:00:00;583200.0;2;279;-26.9112;1.441;16690.242;0.07027;0.9401;28.352;16690.242
TanChau;2011-10-07 18:00:00;583200.0;11;979;-32.2556;3.547;23970.137;0.09751;1.437;35.803;23970.137
MyThuan;2011-10-07 18:00:00;583200.0;12;1171;-25.7667;0.569;20932.592;0.09993;1.3471;26.336;20932.592
VamNao;2011-10-07 18:00:00;583200.0;15;1318;-21.7944;2.932;6302.42;0.06957;0.848;24.726;6302.42
ChauDoc;2011-10-07 19:00:00;586800.0;1;74;-18.895;3.809;8111.505;0.11909;1.4508;22.704;8111.505
CanTho;2011-10-07 19:00:00;586800.0;2;279;-26.9112;1.327;16767.215;0.07119;0.9505;28.238;16767.215
TanChau;2011-10-07 19:00:00;586800.0;11;979;-32.2556;3.478;24031.053;0.09818;1.4451;35.734;24031.053
MyThuan;2011-10-07 19:00:00;586800.0;12;1171;-25.7667;0.406;21003.428;0.10141;1.364;26.172;21003.428
VamNao;2011-10-07 19:00:00;586800.0;15;1318;-21.7944;2.85;6331.877;0.07031;0.8565;24.644;6331.877
ChauDoc;2011-10-07 20:00:00;590400.0;1;74;-18.895;3.742;8128.657;0.12001;1.4605;22.637;8128.657
CanTho;2011-10-07 20:00:00;590400.0;2;279;-26.9112;1.228;16663.107;0.07127;0.9498;28.139;16663.107
TanChau;2011-10-07 20:00:00;590400.0;11;979;-32.2556;3.399;24064.812;0.0988;1.4524;35.654;24064.812
MyThuan;2011-10-07 20:00:00;590400.0;12;1171;-25.7667;0.274;20779.475;0.10125;1.3595;26.04;20779.475
VamNao;2011-10-07 20:00:00;590400.0;15;1318;-21.7944;2.761;6336.488;0.07082;0.8622;24.555;6336.488
ChauDoc;2011-10-07 21:00:00;594000.0;1;74;-18.895;3.666;8118.315;0.12061;1.4661;22.561;8118.315
CanTho;2011-10-07 21:00:00;594000.0;2;279;-26.9112;1.16;16307.97;0.0701;0.9331;28.071;16307.97
TanChau;2011-10-07 21:00:00;594000.0;11;979;-32.2556;3.316;24067.088;0.09933;1.458;35.571;24067.088
MyThuan;2011-10-07 21:00:00;594000.0;12;1171;-25.7667;0.217;19987.414;0.0978;1.3119;25.983;19987.414
VamNao;2011-10-07 21:00:00;594000.0;15;1318;-21.7944;2.671;6309.184;0.07099;0.8637;24.465;6309.184
ChauDoc;2011-10-07 22:00:00;597600.0;1;74;-18.895;3.593;8109.693;0.12122;1.4719;22.488;8109.693
CanTho;2011-10-07 22:00:00;597600.0;2;279;-26.9112;1.17;15344.31;0.06591;0.8775;28.081;15344.31
TanChau;2011-10-07 22:00:00;597600.0;11;979;-32.2556;3.235;24045.545;0.09974;1.462;35.491;24045.545
MyThuan;2011-10-07 22:00:00;597600.0;12;1171;-25.7667;0.356;17703.932;0.08577;1.153;26.122;17703.932
VamNao;2011-10-07 22:00:00;597600.0;15;1318;-21.7944;2.584;6265.483;0.07094;0.8627;24.379;6265.483
ChauDoc;2011-10-07 23:00:00;601200.0;1;74;-18.895;3.525;8095.947;0.1217;1.4763;22.42;8095.947
CanTho;2011-10-07 23:00:00;601200.0;2;279;-26.9112;1.385;12757.051;0.05393;0.7208;28.296;12757.051
TanChau;2011-10-07 23:00:00;601200.0;11;979;-32.2556;3.153;23879.979;0.09957;1.4574;35.409;23879.979
MyThuan;2011-10-07 23:00:00;601200.0;12;1171;-25.7667;0.803;13358.042;0.06276;0.8486;26.57;13358.042
VamNao;2011-10-07 23:00:00;601200.0;15;1318;-21.7944;2.513;6199.116;0.07057;0.8577;24.307;6199.116
ChauDoc;2011-10-08 00:00:00;604800.0;1;74;-18.895;3.466;8056.945;0.12172;1.4751;22.361;8056.945
CanTho;2011-10-08 00:00:00;604800.0;2;279;-26.9112;1.779;9331.662;0.03834;0.516;28.691;9331.662
TanChau;2011-10-08 00:00:00;604800.0;11;979;-32.2556;3.099;23636.248;0.09889;1.4461;35.355;23636.248
MyThuan;2011-10-08 00:00:00;604800.0;12;1171;-25.7667;1.316;10298.433;0.04675;0.6363;27.083;10298.433
VamNao;2011-10-08 00:00:00;604800.0;15;1318;-21.7944;2.477;6033.054;0.06886;0.8367;24.271;6033.054
ChauDoc;2011-10-08 01:00:00;608400.0;1;74;-18.895;3.44;7988.143;0.12094;1.4651;22.335;7988.143
CanTho;2011-10-08 01:00:00;608400.0;2;279;-26.9112;1.995;8879.043;0.03592;0.4853;28.906;8879.043
TanChau;2011-10-08 01:00:00;608400.0;11;979;-32.2556;3.125;23163.096;0.09675;1.4154;35.381;23163.096
MyThuan;2011-10-08 01:00:00;608400.0;12;1171;-25.7667;1.688;10121.966;0.04485;0.6133;27.455;10121.966
VamNao;2011-10-08 01:00:00;608400.0;15;1318;-21.7944;2.567;5799.902;0.06576;0.7995;24.362;5799.902
ChauDoc;2011-10-08 02:00:00;612000.0;1;74;-18.895;3.526;7820.607;0.11755;1.426;22.421;7820.607
CanTho;2011-10-08 02:00:00;612000.0;2;279;-26.9112;2.061;10123.161;0.04077;0.5514;28.972;10123.161
TanChau;2011-10-08 02:00:00;612000.0;11;979;-32.2556;3.285;22526.271;0.09315;1.3665;35.54;22526.271
MyThuan;2011-10-08 02:00:00;612000.0;12;1171;-25.7667;1.84;11890.772;0.05218;0.7147;27.607;11890.772
VamNao;2011-10-08 02:00:00;612000.0;15;1318;-21.7944;2.802;5421.874;0.06042;0.7358;24.596;5421.874
ChauDoc;2011-10-08 03:00:00;615600.0;1;74;-18.895;3.729;7720.245;0.1141;1.3883;22.624;7720.245
CanTho;2011-10-08 03:00:00;615600.0;2;279;-26.9112;2.127;10826.952;0.0434;0.5876;29.038;10826.952
TanChau;2011-10-08 03:00:00;615600.0;11;979;-32.2556;3.529;22345.131;0.091;1.3407;35.784;22345.131
MyThuan;2011-10-08 03:00:00;615600.0;12;1171;-25.7667;1.76;14715.372;0.06491;0.8882;27.527;14715.372
VamNao;2011-10-08 03:00:00;615600.0;15;1318;-21.7944;3.002;5653.809;0.0621;0.7572;24.796;5653.809
ChauDoc;2011-10-08 04:00:00;619200.0;1;74;-18.895;3.887;7768.367;0.11333;1.3822;22.782;7768.367
CanTho;2011-10-08 04:00:00;619200.0;2;279;-26.9112;2.102;12326.756;0.0495;0.6699;29.013;12326.756
TanChau;2011-10-08 04:00:00;619200.0;11;979;-32.2556;3.708;22818.834;0.0919;1.3582;35.963;22818.834
MyThuan;2011-10-08 04:00:00;619200.0;12;1171;-25.7667;1.612;16919.018;0.07535;1.0292;27.378;16919.018
VamNao;2011-10-08 04:00:00;619200.0;15;1318;-21.7944;3.144;6201.546;0.06742;0.8229;24.939;6201.546
ChauDoc;2011-10-08 05:00:00;622800.0;1;74;-18.895;3.996;7819.588;0.11307;1.3813;22.891;7819.588
CanTho;2011-10-08 05:00:00;622800.0;2;279;-26.9112;2.017;14295.952;0.05775;0.7805;28.928;14295.952
TanChau;2011-10-08 05:00:00;622800.0;11;979;-32.2556;3.79;23367.295;0.09363;1.3857;36.045;23367.295
MyThuan;2011-10-08 05:00:00;622800.0;12;1171;-25.7667;1.439;18497.953;0.0833;1.1355;27.206;18497.953
