ten_mike;so_doan;ch0;ch1;dai_km;US;DS;link;giu_ledger;ly_do;n_xsec_mike;topo_id;n_survey2020
Bay Hap;1;0.0;49569.0;49.57;Ganh Hao@9092;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Bay Thuoc;3;0.0;31000.0;31.0;"Quang Dai@9100; Bac Chan@15100; Phuoc Xuyen2@22394";"K12@8000; Nha Tho@13500; Ngang@13500";no;GIU;co_mat_cat_mike;0;;0
Bay thuoc;2;4000.0;23000.0;19.0;"Nha Tho@13500; Ngang@13500";"Quang Dai@9100; Bac Chan@15100";no;GIU;co_mat_cat_mike;0;;0
Ben Bao;1;0.0;4676.0;4.68;BASSAC@156371;Co Ba@1000;no;GIU;co_mat_cat_mike;1;2014;0
Ben Long;1;0.0;5820.0;5.82;Quan Lo PH@12562;Binh Hung@5222;no;GIU;co_mat_cat_mike;0;;0
BeungKrapikLink;1;0.0;2500.0;2.5;TonleTouch@5338;Mk_E2@0;yes;bo;linkchannel_otru;0;;0
Binh Chanh;1;0.0;24999.0;25.0;Giao Hoa@7767;Ba Lai@13706;no;GIU;co_mat_cat_mike;0;;0
Binh Hung;1;0.0;9000.0;9.0;Nhu_Gia@1880;Cai Trau@8243;no;GIU;co_mat_cat_mike;0;;0
Binh Thanh;3;500.0;20000.0;19.5;"An Binh@9000; Hong Ngu@8008; Binh Thanh cau@500";"Dong Tien3@9390; An Binh@9000; Hong Ngu@8008";no;GIU;co_mat_cat_mike;0;;0
Binh Thanh cau;1;0.0;500.0;0.5;Tan Thanh LG@4714;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Binh Thanh4;2;0.0;15500.0;15.5;"An Phong MH1@19320; Dong Tien3@23166";"Nguyen Van Tiep1@3006; An Phong MH1@19320";no;GIU;co_mat_cat_mike;0;;0
Binh Trung;2;0.0;14000.0;14.0;"K61@22500; Cam36@12358";"Vam Co Tay@23378; K61@22500";no;GIU;co_mat_cat_mike;0;;0
Bo Bo;1;0.0;24532.0;24.53;Thu Thua@5000;Tra Cu Thuong@11500;no;GIU;co_mat_cat_mike;0;;0
Bo Thao;1;0.0;20000.0;20.0;Nhu_Gia@17456;Soc Trang@27344;no;GIU;co_mat_cat_mike;0;;0
BoDoi;1;0.0;7299.0;7.3;MotNgan_1@2268;6500_1@3462;no;GIU;co_mat_cat_mike;0;;0
BoengPhao;1;0.0;3450.0;3.45;BoengPhao@0;TSap_E@4450;no;bo;ngoai_lien_thong;0;;0
BoiLoi;1;0.0;3679.0;3.68;K. Sau Sanh@551;Cai Lon@29488;no;GIU;co_mat_cat_mike;0;;0
Bon Thuoc;3;0.0;12286.0;12.29;"Chac Bang@21331; XM Kut@2808; Bach nguu@39893";"Bach nguu@39893; K 8000@3231; XM Kut@2808";no;GIU;co_mat_cat_mike;0;;0
Bon Thuoc1;1;0.0;6372.0;6.37;Binh Hung@6000;Quan Lo PH@13563;no;GIU;co_mat_cat_mike;0;;0
Bon Thuoc2;2;0.0;6450.0;6.45;"KCHOHOIHUYENSU@2003; Bon Thuoc@2560";"Bon Thuoc@2560; K. Phong Thanh Tay@3437";no;GIU;co_mat_cat_mike;0;;0
Bon Tong;4;0.0;43200.0;43.2;"Tron@15800; Rach Gia LX@19094; Mac Can Dung@8000; Cai San@14578";"Cai San@17500; Tron@15800; Rach Gia LX@19751; Thot Not@26000";no;GIU;co_mat_cat_mike;0;;0
Bong Binh;1;0.0;6555.0;6.55;BASSAC@155039;Bong Binh1@647;no;GIU;co_mat_cat_mike;1;2014;0
Bong Binh1;1;0.0;2611.0;2.61;APMYXEOLAXEOGIUA@3839;Co Ba@0;no;GIU;co_mat_cat_mike;0;;0
BongBongNho;1;0.0;6060.0;6.06;KH92@1551;CauNhiemriver_1@2808;no;GIU;co_mat_cat_mike;0;;0
Branch AA;1;0.0;12353.0;12.35;Ham Luong@3922;Ham Luong@17318;no;GIU;co_mat_cat_mike;0;;0
Branch AB;1;0.0;5897.0;5.9;GO28_38@5800;Branch AA@2528;no;GIU;co_mat_cat_mike;0;;0
Branch AC;1;0.0;14002.0;14.0;Binh Chanh@2793;HamLuong_4@9202;no;GIU;co_mat_cat_mike;0;;0
Branch1000;1;0.0;4268.0;4.27;K. Ho Phong@4234;Branch1002@2338;no;GIU;co_mat_cat_mike;0;;0
Branch1001;1;0.0;1460.0;1.46;Branch996@6000;Branch1002@3936;no;GIU;co_mat_cat_mike;0;;0
Branch1002;1;0.0;7791.0;7.79;K. Cay Bong@13376;K. Cay Bong@5471;no;GIU;co_mat_cat_mike;0;;0
Branch1003;1;0.0;2063.0;2.06;Branch996@4201;Branch997@3609;no;GIU;co_mat_cat_mike;0;;0
Branch1004;1;0.0;2876.0;2.88;Branch1003@612;K. Cay Bong@5471;no;GIU;co_mat_cat_mike;0;;0
Branch1005;1;0.0;3194.0;3.19;K. Cay Bong@11061;Ca Mau11@3000;no;GIU;co_mat_cat_mike;0;;0
Branch1006;1;0.0;5812.0;5.81;K. Cay Bong@16285;Ca Mau11@4487;no;GIU;co_mat_cat_mike;0;;0
Branch1007;1;0.0;6625.0;6.62;K. Cay Bong@19902;Ca Mau11@6000;no;GIU;co_mat_cat_mike;0;;0
Branch1008;1;0.0;3821.0;3.82;K. Ho Phong@12154;K. Cay Bong@18107;no;GIU;co_mat_cat_mike;0;;0
Branch1009;1;0.0;3617.0;3.62;K. Ho Phong@13184;K. Cay Bong@19902;no;GIU;co_mat_cat_mike;0;;0
Branch1010;1;0.0;3349.0;3.35;K. Ho Phong@14367;K. Cay Bong@21081;no;GIU;co_mat_cat_mike;0;;0
Branch1011;1;0.0;7544.0;7.54;K. Cay Bong@21081;Branch1007@3858;no;GIU;co_mat_cat_mike;0;;0
Branch1012;1;0.0;3676.0;3.68;Branch997@3609;K. Cay Bong@1423;no;GIU;co_mat_cat_mike;0;;0
Branch1013;1;0.0;3472.0;3.47;K. Ho Phong@6966;K. Cay Bong@14000;no;GIU;co_mat_cat_mike;0;;0
Branch1014;1;0.0;3364.0;3.36;K. Cay Bong@3972;Branch1016@3000;no;GIU;co_mat_cat_mike;0;;0
Branch1015;1;0.0;3272.0;3.27;Branch1016@3000;K. Cai Cung@2000;no;GIU;co_mat_cat_mike;0;;0
