ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
HL8;HL;8.0;;chinh;651006.2;1121556.9;yes;Ham Luong;35928.8;2.5;837.9;1072.1;-15.41;837.9;-15.41;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9037506.8
HL8P;HL;8.0;P;nhanh;652368.1;1122472.6;yes;HamLuong_4;6994.4;34.0;658.3;778.5;-11.96;658.3;-11.96;2021_SIWRP_QHPCTT;-0.0;0.0;;
HL9;HL;9.0;;chinh;653787.4;1117855.7;yes;Ham Luong;40595.0;19.5;941.9;1108.3;-22.01;941.9;-22.01;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9042173.0
HL9P1;HL;9.0;P1;nhanh;654619.5;1118405.1;yes;HamLuong_4;11710.1;48.1;468.0;568.4;-8.38;468.0;-8.38;2021_SIWRP_QHPCTT;0.0;0.0;;
HL9P2;HL;9.0;P2;nhanh;655296.2;1118599.6;yes;HamLuong_5;1511.3;17.3;380.9;525.9;-10.78;380.9;-10.78;2021_SIWRP_QHPCTT;-0.0;0.0;;
HL10;HL;10.0;;chinh;657222.9;1114158.6;yes;Ham Luong;45684.2;14.9;1378.4;1558.0;-11.32;1378.4;-11.32;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9047262.2
HL10P;HL;10.0;P;nhanh;658327.5;1115357.3;yes;HamLuong_5;6067.7;19.7;424.8;447.1;-12.57;;;2021_SIWRP_QHPCTT;;;;
HL11;HL;11.0;;chinh;660375.7;1110933.6;yes;Ham Luong;50286.2;7.3;1603.4;1724.2;-11.55;;;2021_SIWRP_QHPCTT;;;10.0;9051864.2
HL12;HL;12.0;;chinh;663383.3;1108509.6;yes;Ham Luong;54220.6;105.2;2649.9;2988.1;-9.03;2649.9;-9.03;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9055798.6
HL13;HL;13.0;;chinh;666721.2;1105914.7;yes;Ham Luong;58601.7;117.9;1233.7;1717.8;-14.28;;;2021_SIWRP_QHPCTT;;;10.0;9060179.7
HL13P;HL;13.0;P;nhanh;667418.3;1108114.0;yes;HamLuong_6;3085.2;120.2;1038.3;1596.0;-10.43;1038.3;-10.43;2021_SIWRP_QHPCTT;-0.0;0.0;;
HL14;HL;14.0;;chinh;671359.3;1105152.3;yes;Ham Luong;63615.1;93.4;2039.6;2168.3;-12.19;2039.6;-12.19;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9065193.1
HL15;HL;15.0;;chinh;675253.0;1102766.6;yes;Ham Luong;68180.6;13.2;2594.3;2623.4;-10.05;2594.3;-10.05;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9069758.6
HL16;HL;16.0;;chinh;678826.9;1101366.5;yes;Ham Luong;72019.2;131.0;2790.8;2998.5;-10.81;2790.8;-10.81;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9073597.2
ST1;ST;1.0;;chinh;520638.8;1205981.7;yes;Tien;288.9;136.8;1837.6;1794.6;-24.55;1841.9;-24.55;2021_SIWRP_QHPCTT;-4.3;0.0;11.0;10000653.9
ST2;ST;2.0;;chinh;522326.8;1201432.5;yes;Tien;5282.6;9.9;758.7;932.3;-18.67;763.0;-18.67;2021_SIWRP_QHPCTT;-4.3;0.0;11.0;10005647.6
ST2P;ST;2.0;P;nhanh;520647.1;1201213.0;yes;Tien_1;3415.8;44.9;720.9;812.3;-14.63;723.9;-14.63;2021_SIWRP_QHPCTT;-3.0;0.0;;
ST3;ST;3.0;;chinh;523936.6;1196977.5;yes;Tien;10062.4;153.5;1625.2;1789.8;-24.46;1628.8;-24.46;2021_SIWRP_QHPCTT;-3.6;0.0;11.0;10010427.4
ST4;ST;4.0;;chinh;527079.5;1194297.8;yes;Tien;14581.0;21.1;693.5;659.9;-33.23;697.0;-33.23;2021_SIWRP_QHPCTT;-3.5;0.0;11.0;10014946.0
ST5;ST;5.0;;chinh;533866.6;1191661.9;yes;Tien;22080.9;47.9;757.9;839.0;-21.55;762.1;-21.55;2021_SIWRP_QHPCTT;-4.2;0.0;11.0;10022445.9
ST5P;ST;5.0;P;nhanh;533320.9;1196304.2;yes;Tien_3;4674.3;29.9;545.3;555.3;-22.09;549.8;-22.09;2021_SIWRP_QHPCTT;-4.5;0.0;;
ST6;ST;6.0;;chinh;538957.2;1188946.4;yes;Tien;29064.8;97.6;1153.0;1312.3;-26.41;1157.6;-26.41;2021_SIWRP_QHPCTT;-4.6;0.0;11.0;10029429.8
ST7;ST;7.0;;chinh;541286.9;1181897.7;yes;Tien;36744.7;27.2;574.6;622.1;-20.54;578.2;-20.54;2021_SIWRP_QHPCTT;-3.6;0.0;12.0;11008206.7
ST8;ST;8.0;;chinh;543231.5;1176835.0;yes;Tien;42170.4;37.2;1107.6;1100.3;-16.06;1111.9;-16.06;2021_SIWRP_QHPCTT;-4.3;0.0;12.0;11013632.4
ST9;ST;9.0;;chinh;545516.9;1171973.5;yes;Tien;47553.6;21.5;898.3;847.9;-20.13;901.6;-20.13;2021_SIWRP_QHPCTT;-3.3;0.0;12.0;11019015.6
ST10;ST;10.0;;chinh;548184.0;1167424.1;yes;Tien;52836.5;20.1;750.2;721.3;-19.56;754.3;-19.56;2021_SIWRP_QHPCTT;-4.1;0.0;12.0;11024298.5
ST11;ST;11.0;;chinh;551770.0;1164873.5;yes;Tien;57300.6;87.2;878.5;870.8;-21.05;883.1;-21.05;2021_SIWRP_QHPCTT;-4.6;0.0;12.0;11028762.6
ST12;ST;12.0;;chinh;555155.4;1164284.4;yes;Tien;60766.3;5.5;1155.9;1489.0;-15.19;1159.9;-15.19;2021_SIWRP_QHPCTT;-4.0;0.0;12.0;11032228.3
st12P;ST;12.0;P;nhanh;559068.3;1164152.6;yes;Tien;64790.3;65.8;601.5;568.1;-32.1;604.4;-32.1;2021_SIWRP_QHPCTT;-2.9;0.0;12.0;11036252.3
ST12P;ST;12.0;P;nhanh;553574.5;1162426.9;yes;Tien_4;1940.4;140.9;601.5;201.4;-32.1;;;2021_SIWRP_QHPCTT;;;;
ST13;ST;13.0;;chinh;561663.4;1160480.9;yes;Tien;69411.2;56.4;869.9;1151.5;-20.2;872.3;-20.2;2021_SIWRP_QHPCTT;-2.4;0.0;12.0;11040873.2
ST14;ST;14.0;;chinh;562849.0;1156381.6;yes;Tien;73722.7;25.3;1377.9;1397.1;-27.5;1381.9;-27.5;2021_SIWRP_QHPCTT;-4.0;0.0;12.0;11045184.7
ST14P;ST;14.0;P;nhanh;562405.3;1152838.3;yes;Tien_4;15478.8;3.7;259.0;296.2;-10.4;263.4;-10.4;2021_SIWRP_QHPCTT;-4.4;0.0;;
ST15;ST;15.0;;chinh;565184.9;1150885.3;yes;Tien_5;5266.9;11.2;575.3;513.8;-15.4;578.4;-15.4;2021_SIWRP_QHPCTT;-3.1;0.0;;
ST15p1;ST;15.0;P1;nhanh;565645.8;1151554.1;yes;Tien;79708.2;26.4;670.4;626.3;-15.1;673.8;-15.1;2021_SIWRP_QHPCTT;-3.4;0.0;12.0;11051170.2
ST15p2;ST;15.0;P2;nhanh;566640.4;1153855.6;yes;Tien_6;1939.8;46.7;382.9;331.2;-26.4;387.4;-26.4;2021_SIWRP_QHPCTT;-4.5;0.0;;
ST16;ST;16.0;;chinh;569286.2;1151066.5;yes;Tien;83873.6;39.4;639.4;630.3;-30.2;644.3;-30.2;2021_SIWRP_QHPCTT;-4.9;0.0;12.0;11055335.6
ST16P;ST;16.0;P;nhanh;571744.7;1150971.5;yes;Tien;86342.1;81.8;897.2;1072.5;-21.51;901.1;-21.51;2021_SIWRP_QHPCTT;-3.9;0.0;12.0;11057804.1
ST17;ST;17.0;;chinh;574488.3;1150558.0;yes;Tien;89124.7;138.1;1024.6;;-18.54;1028.5;-18.54;2021_SIWRP_QHPCTT;-3.9;0.0;12.0;11060586.7
ST18;ST;18.0;;chinh;578912.2;1148653.1;yes;Tien;94034.5;116.5;1338.6;1348.7;-32.0;1341.8;-32.0;2021_SIWRP_QHPCTT;-3.2;0.0;12.0;11065496.5
ST19;ST;19.0;;chinh;582121.1;1145129.6;yes;Tien;98982.9;124.9;1173.7;1243.4;-28.7;1178.1;-28.7;2021_SIWRP_QHPCTT;-4.4;0.0;12.0;11070444.9
ST20;ST;20.0;;chinh;583967.3;1139895.7;yes;Tien;104582.7;18.2;1029.8;998.8;-23.4;1033.0;-23.4;2021_SIWRP_QHPCTT;-3.2;0.0;12.0;11076044.7
ST21;ST;21.0;;chinh;586507.2;1137237.3;yes;Tien;108411.4;54.7;1183.3;1180.9;-38.2;1187.3;-38.2;2021_SIWRP_QHPCTT;-4.0;0.0;12.0;11079873.4
ST22;ST;22.0;;chinh;591649.3;1138544.3;yes;Tien;113833.3;34.6;1253.0;1168.2;-30.51;1256.8;-30.51;2021_SIWRP_QHPCTT;-3.8;0.0;12.0;11085295.3
ST23;ST;23.0;;chinh;595923.3;1137697.0;yes;Tien;118257.5;50.4;840.4;799.0;-28.84;844.0;-28.84;2021_SIWRP_QHPCTT;-3.6;0.0;12.0;11089719.5
ST23P;ST;23.0;P;nhanh;597488.8;1135603.2;no;Lap Vo;0.0;83.0;;397.3;;253.5;-12.48;2006;;;;
ST24;ST;24.0;;chinh;599913.9;1136305.3;yes;Tien;123017.2;28.3;920.2;799.6;-24.23;924.7;-24.23;2021_SIWRP_QHPCTT;-4.5;0.0;12.0;11094479.2
ST25;ST;25.0;;chinh;604005.0;1139107.1;yes;Tien;128192.5;129.6;1018.5;1268.7;-24.05;1023.0;-24.05;2021_SIWRP_QHPCTT;-4.5;0.0;13.0;12006559.5
ST26;ST;26.0;;chinh;609244.7;1141696.3;yes;Tien;134975.1;11.2;441.7;391.3;-19.38;446.2;-19.38;2021_SIWRP_QHPCTT;-4.5;0.0;13.0;12013342.1
ST27;ST;27.0;;chinh;611346.7;1140198.3;yes;Tien;137687.7;278.3;1484.2;1546.1;-14.72;1487.7;-14.72;2021_SIWRP_QHPCTT;-3.5;0.0;13.0;12016054.7
ST27p;ST;27.0;P;nhanh;611828.0;1141157.8;yes;CaiBe_TG;782.9;7.4;568.4;554.1;-9.25;570.3;-9.25;2021_SIWRP_QHPCTT;-1.9;0.0;;
ST28;ST;28.0;;chinh;616793.7;1136915.3;yes;Tien;144056.1;12.9;766.9;716.2;-17.39;770.1;-17.39;2021_SIWRP_QHPCTT;-3.2;0.0;13.0;12022423.1
ST28p1;ST;28.0;P1;nhanh;620383.2;1137410.3;yes;CaiBe_TG;10810.0;19.4;594.3;573.2;-10.99;598.6;-10.99;2021_SIWRP_QHPCTT;-4.3;0.0;;
ST28P2;ST;28.0;P2;nhanh;620534.0;1136622.5;yes;Tien;148096.2;11.7;664.1;531.9;-20.14;668.1;-20.14;2021_SIWRP_QHPCTT;-4.0;0.0;13.0;12026463.2
ST29;ST;29.0;;chinh;621725.3;1137023.4;yes;Tien;149390.1;77.2;476.6;630.6;-33.6;479.3;-33.6;2021_SIWRP_QHPCTT;-2.7;0.0;13.0;12027757.1
ST30;ST;30.0;;chinh;626151.3;1137399.9;yes;Tien;153904.0;17.6;978.0;941.9;-14.02;982.0;-14.02;2021_SIWRP_QHPCTT;-4.0;0.0;14.0;13002181.0
ST31;ST;31.0;;chinh;631143.8;1139952.3;yes;Tien;159523.9;16.5;922.6;938.4;-10.79;926.8;-10.79;2021_SIWRP_QHPCTT;-4.2;0.0;14.0;13007800.9
ST31P;ST;31.0;P;nhanh;630791.3;1140647.8;yes;NamThon;15296.4;4.7;416.4;436.7;-3.7;420.9;-3.7;2021_SIWRP_QHPCTT;-4.5;0.0;;
ST32;ST;32.0;;chinh;637752.6;1141361.4;yes;Tien;166417.2;30.9;974.0;950.3;-14.35;978.2;-14.35;2021_SIWRP_QHPCTT;-4.2;0.0;14.0;13014694.2
ST33;ST;33.0;;chinh;642432.6;1142694.0;yes;Tien;171308.2;46.0;913.2;1240.5;-12.2;916.4;-12.2;2021_SIWRP_QHPCTT;-3.2;0.0;14.0;13019585.2
ST33A;ST;33.0;A;bosung;647151.6;1143785.7;yes;Tien;176151.4;5.2;728.4;903.3;-14.86;732.5;-14.86;2021_SIWRP_QHPCTT;-4.1;0.0;14.0;13024428.4
ST33AP1;ST;33.0;AP1;to_hop;647606.9;1142650.1;yes;Tien_9;7316.4;6.4;525.5;552.7;-11.13;530.0;-11.13;2021_SIWRP_QHPCTT;-4.5;0.0;;
ST33P;ST;33.0;P;nhanh;643247.8;1141045.8;yes;Tien_9;2608.8;10.5;432.1;670.2;-16.33;436.6;-16.33;2021_SIWRP_QHPCTT;-4.5;0.0;;
ST33P2;ST;33.0;P2;nhanh;647811.1;1142072.8;yes;Tien_8;1105.1;20.9;396.1;425.2;-6.98;400.4;-6.98;2021_SIWRP_QHPCTT;-4.3;0.0;;
ST34;ST;34.0;;chinh;650117.9;1143139.0;yes;Tien_8;3859.1;37.0;1498.7;1568.4;-11.27;;;2021_SIWRP_QHPCTT;;;;
ST34p;ST;34.0;P;nhanh;650201.0;1144429.8;yes;Tien_7;1483.8;16.9;315.7;324.7;-10.57;320.7;-10.57;2021_SIWRP_QHPCTT;-5.0;0.0;;
ST35;ST;35.0;;chinh;654133.8;1142341.9;yes;Tien;183962.9;45.6;1169.2;1197.1;-12.95;1172.2;-12.95;2021_SIWRP_QHPCTT;-3.0;0.0;14.0;13032239.9
ST36;ST;36.0;;chinh;657593.3;1140196.7;yes;Tien;188038.0;37.4;1342.3;1390.8;-10.92;1347.3;-10.92;2021_SIWRP_QHPCTT;-5.0;0.0;14.0;13036315.0
ST37CD;ST;37.0;CD;nhanh;662095.3;1137187.8;yes;CuaDai;4129.1;143.7;882.1;1021.3;-14.31;886.1;-14.31;2021_SIWRP_QHPCTT;-4.0;0.0;6.0;5008354.1
ST37CDP;ST;37.0;CDP;nhanh;662825.0;1138846.4;yes;CuaDai_1;1164.7;1.2;323.5;473.3;-11.25;253.1;-4.95;2021_SIWRP_QHPCTT;70.4;-6.3;;
ST37CT;ST;37.0;CT;nhanh;662966.9;1139893.9;yes;CuaTieu;3929.1;27.6;653.2;725.6;-8.89;658.2;-8.89;2021_SIWRP_QHPCTT;-5.0;0.0;8.0;7008071.1
ST38CD;ST;38.0;CD;nhanh;667095.9;1135642.7;yes;CuaDai;9389.1;0.3;1359.4;1620.0;-13.45;1364.4;-13.45;2021_SIWRP_QHPCTT;-5.0;0.0;6.0;5013614.1
ST38CDP;ST;38.0;CDP;nhanh;667183.4;1136832.7;yes;CuaDai_2;834.0;14.8;249.1;446.3;-4.95;;;2021_SIWRP_QHPCTT;;;;
ST38CT;ST;38.0;CT;nhanh;667960.7;1139200.2;yes;CuaTieu;8993.7;15.2;711.4;879.2;-11.59;715.1;-11.59;2021_SIWRP_QHPCTT;-3.7;0.0;8.0;7013135.7
ST39CD;ST;39.0;CD;nhanh;671708.9;1134337.5;yes;CuaDai;14184.8;66.0;1352.1;1754.3;-10.16;1355.1;-10.16;2021_SIWRP_QHPCTT;-3.0;0.0;6.0;5018409.8
ST39CT;ST;39.0;CT;nhanh;672522.3;1137620.5;yes;CuaTieu;13846.4;106.0;782.0;904.1;-10.79;787.0;-10.79;2021_SIWRP_QHPCTT;-5.0;0.0;8.0;7017988.4
ST40CD;ST;40.0;CD;nhanh;676837.3;1133218.9;yes;CuaDai;19456.4;176.3;1655.2;1623.7;-9.41;1658.2;-9.41;2021_SIWRP_QHPCTT;-3.0;0.0;6.0;5023681.4
ST40CT;ST;40.0;CT;nhanh;678070.1;1137318.7;yes;CuaTieu;19452.7;88.0;731.1;882.8;-10.36;735.1;-10.36;2021_SIWRP_QHPCTT;-4.0;0.0;8.0;7023594.7
ST41CD;ST;41.0;CD;nhanh;681384.7;1131270.0;yes;CuaDai;24483.7;167.4;874.4;1156.4;-10.91;879.4;-10.91;2021_SIWRP_QHPCTT;-5.0;0.0;6.0;5028708.7
ST41CDP1;ST;41.0;CDP1;nhanh;681683.9;1132522.3;yes;CuaDai_3;1573.7;89.5;939.0;1082.7;-10.31;;;2021_SIWRP_QHPCTT;;;;
ST41CDP2;ST;41.0;CDP2;nhanh;681942.5;1133743.0;yes;CuaDai_2;16049.6;1.9;366.2;456.8;-5.89;371.5;-5.89;2021_SIWRP_QHPCTT;-5.3;0.0;;
ST41CT;ST;41.0;CT;nhanh;683131.7;1138064.3;yes;CuaTieu;25390.6;104.2;618.9;713.4;-11.27;622.9;-11.27;2021_SIWRP_QHPCTT;-4.0;0.0;8.0;7029532.6
ST42CD;ST;42.0;CD;nhanh;686252.3;1129944.3;yes;CuaDai;29738.3;185.9;2137.1;2227.5;-9.5;2140.3;-9.5;2021_SIWRP_QHPCTT;-3.2;0.0;6.0;5033963.3
ST42CT;ST;42.0;CT;nhanh;686765.0;1136726.6;yes;CuaTieu;29884.0;29.6;1008.1;947.6;-10.19;1013.1;-10.19;2021_SIWRP_QHPCTT;-5.0;0.0;8.0;7034026.0
ST43CD;ST;43.0;CD;nhanh;690442.5;1127637.6;yes;CuaDai;34527.0;73.5;2295.6;2343.8;-10.67;2300.6;-10.67;2021_SIWRP_QHPCTT;-5.0;0.0;6.0;5038752.0
ST43CT;ST;43.0;CT;nhanh;691069.2;1135342.8;yes;CuaTieu;34426.1;25.5;1266.7;1149.2;-8.85;1271.2;-8.85;2021_SIWRP_QHPCTT;-4.5;0.0;8.0;7038568.1
VN1;VN;1.0;;chinh;538397.2;1184279.2;yes;Tien_2;22940.2;67.5;1056.4;1373.5;-18.33;;;2021_SIWRP_QHPCTT;;;;
VN1;VN;1.0;;chinh;538397.2;1184279.2;yes;Tien_2;22940.2;67.5;1056.4;1373.5;-18.33;;;2021_SIWRP_QHPCTT;;;;
VN2;VN;2.0;;chinh;536935.6;1179672.5;yes;VamNao;6117.2;54.6;639.6;553.4;-23.26;639.6;-23.26;2021_SIWRP_QHPCTT;0.0;0.0;15.0;14007452.2
VN3;VN;3.0;;chinh;537626.9;1175126.8;yes;VamNao;10749.7;108.8;700.0;681.2;-14.76;700.0;-14.76;2021_SIWRP_QHPCTT;-0.0;0.0;15.0;14012084.7
VN4;VN;4.0;;chinh;539197.3;1171731.9;yes;VamNao;14486.0;5.4;739.0;675.5;-12.35;739.0;-12.35;2021_SIWRP_QHPCTT;0.0;0.0;15.0;14015821.0
VN5;VN;5.0;;chinh;539766.6;1168423.4;yes;VamNao;18163.9;21.0;527.8;513.6;-22.03;527.9;-22.03;2021_SIWRP_QHPCTT;-0.1;0.0;15.0;14019498.9
VN6;VN;6.0;;chinh;536050.0;1165490.9;yes;VamNao;23011.6;23.1;488.0;501.4;-19.91;488.0;-19.91;2021_SIWRP_QHPCTT;-0.0;0.0;15.0;14024346.6
