ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
SH8;SH;8.0;;chinh;520686.8;1182240.1;yes;BASSAC;45300.9;8.0;617.7;554.5;-15.44;617.7;-15.44;2021_SIWRP_QHPCTT;0.0;0.0;1.0;45599.9
SH9;SH;9.0;;chinh;523299.1;1179269.3;yes;BASSAC;49429.4;48.6;527.0;505.2;-14.02;527.0;-14.02;2021_SIWRP_QHPCTT;0.0;0.0;1.0;49728.4
SH10;SH;10.0;;chinh;523230.0;1174422.8;yes;BASSAC;54399.8;5.0;436.1;580.5;-18.27;436.1;-18.27;2021_SIWRP_QHPCTT;-0.0;0.0;1.0;54698.8
SH11;SH;11.0;;chinh;525595.5;1170449.2;yes;BASSAC;59114.9;4.7;677.0;584.7;-13.75;677.0;-13.75;2021_SIWRP_QHPCTT;0.0;0.0;1.0;59413.9
SH12;SH;12.0;;chinh;530045.8;1166971.6;yes;BASSAC;64820.7;38.7;384.5;302.8;-20.22;384.5;-20.22;2021_SIWRP_QHPCTT;0.0;0.0;1.0;65119.7
SH13;SH;13.0;;chinh;534571.7;1166216.4;yes;BASSAC;69573.8;117.2;871.4;1033.2;-16.95;871.4;-16.95;2021_SIWRP_QHPCTT;-0.0;0.0;1.0;69872.8
SH14;SH;14.0;;chinh;536201.4;1163385.6;yes;BASSAC;73019.0;17.2;947.1;1229.3;-17.96;947.1;-17.96;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1003675.0
SH15;SH;15.0;;chinh;539910.6;1157641.5;yes;BASSAC;80045.1;62.3;801.3;882.5;-19.3;801.3;-19.3;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1010701.1
SH15P;SH;15.0;P;nhanh;538420.3;1156225.3;yes;Hau_2;3607.8;5.3;318.5;247.8;-4.25;318.5;-4.25;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH16;SH;16.0;;chinh;542927.7;1154968.2;yes;BASSAC;84136.1;4.9;783.0;721.5;-20.06;783.0;-20.06;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1014792.1
