nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
BRANCH1034;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1035;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1038;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1039;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1039;3000.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1040;4708.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1041;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1042;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1042;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1043;1687.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1043;4813.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1043;8879.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1046;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1046;2830.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1048;200.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1048;2697.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1049;3000.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1053;751.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1054;3147.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1056;2191.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1158;200.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1159;3000.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1159;3000.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1160;200.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1162;200.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1165;3000.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
BRANCH1169;3000.0;1;0;nhap_luu;W65;Waterdemand2.dfs0;W65;;;no
BRANCH1201;200.0;1;0;nhap_luu;W65;Waterdemand2.dfs0;W65;;;no
BRANCH973;2029.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH973;7851.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH974;1157.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH974;1157.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH974;3000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH975;6000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH976;5018.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH978;200.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH979;3947.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH983;2479.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH984;2162.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH987;3000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH988;3000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH989;6000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH991;200.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH993;200.0;1;0;nhap_luu;W34;Waterdemand2.dfs0;QLPH/34;;;no
BRANCH993;8386.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH994;3000.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRANCH997;3000.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH999;2773.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
BRTALIEM;4000.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
BUNG COC;3800.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
BUNG TUC;2000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BUNG TUC;7000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BUNG TUC;9000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BUNGLON;2163.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
BUNGTRUONG;2500.0;1;0;nhap_luu;SMT/81;Waterdemand2.dfs0;SMT/81;;;no
BUNGTRUONG;12433.0;1;0;nhap_luu;SMT/81;Waterdemand2.dfs0;SMT/81;;;no
Ba Hong Minh;5500.0;1;0;nhap_luu;WEVC/114;Waterdemand2.dfs0;WEVC/114;;;no
Ba Ke;9063.0;1;0;nhap_luu;LXQ/2;Waterdemand2.dfs0;LXQ/2;;;no
Ba Ke;45775.0;1;0;nhap_luu;LXQ/5;Waterdemand2.dfs0;LXQ/5;;;no
Ba Ke;49563.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Ba Ke;63788.0;1;0;nhap_luu;LXQ/13;Waterdemand2.dfs0;LXQ/13;;;no
Ba Ke;74025.0;1;0;nhap_luu;LXQ/14;Waterdemand2.dfs0;LXQ/14;;;no
Ba Rai;10229.0;1;0;nhap_luu;PR/99;Waterdemand2.dfs0;PR/99;;;no
Ba Rai;18541.0;1;0;nhap_luu;PR/100;Waterdemand2.dfs0;PR/100;;;no
Ba The;45822.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Ba The;49000.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Ba The Moi;10500.0;1;0;nhap_luu;LXQ/13;Waterdemand2.dfs0;LXQ/13;;;no
Ba The Moi;16500.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Ba Vom;2500.0;1;0;nhap_luu;WEVC/115;Waterdemand2.dfs0;WEVC/115;;;no
Bac Dong;4791.0;1;0;nhap_luu;PR/107;Waterdemand2.dfs0;PR/107;;;no
Bac Dong;25790.0;1;0;nhap_luu;PR/106;Waterdemand2.dfs0;PR/106;;;no
Bach nguu;39893.0;1;0;nhap_luu;W39;Waterdemand2.dfs0;QLPH/39;;;no
Bao Dinh;12805.0;1;0;nhap_luu;TA/98;Waterdemand2.dfs0;TA/98;;;no
Bass_E;89749.0;1;0;nhap_luu;NMT/68;Waterdemand2.dfs0;NMT/68;;;no
Bass_West;68477.0;1;0;nhap_luu;NMT/67;Waterdemand2.dfs0;NMT/67;;;no
Bassac;0.0;1;0;nhap_luu;NMT/70;Waterdemand2.dfs0;NMT/70;;;no
Bassac;18803.0;1;0;nhap_luu;NMT/70;Waterdemand2.dfs0;NMT/70;;;no
Bassac;23155.0;1;0;nhap_luu;NMT/70;Waterdemand2.dfs0;NMT/70;;;no
Bassac;27707.0;1;0;nhap_luu;NMT/70;Waterdemand2.dfs0;NMT/70;;;no
Bassac;33562.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Bassac;33562.0;1;0;nhap_luu;LXQ/12;Waterdemand2.dfs0;LXQ/12;;;no
Bassac;38444.0;1;0;nhap_luu;LXQ/13;Waterdemand2.dfs0;LXQ/13;;;no
Bassac;41182.0;1;0;nhap_luu;LXQ/13;Waterdemand2.dfs0;LXQ/13;;;no
Bassac;50171.0;1;0;nhap_luu;NMT/74;Waterdemand2.dfs0;NMT/74;;;no
Bassac;54469.0;1;0;nhap_luu;LXQ/14;Waterdemand2.dfs0;LXQ/14;;;no
Bassac;130800.0;1;0;nhap_luu;NMT/80;Waterdemand2.dfs0;NMT/80;;;no
Bassac;152090.0;1;0;nhap_luu;SMT/82;Waterdemand2.dfs0;SMT/82;;;no
Bau Nau1;6138.0;1;0;nhap_luu;PR/110;Waterdemand2.dfs0;PR/110;;;no
Bay Thuoc;6000.0;1;0;nhap_luu;PR/107;Waterdemand2.dfs0;PR/107;;;no
Bay Thuoc;14000.0;1;0;nhap_luu;PR/107;Waterdemand2.dfs0;PR/107;;;no
Bay Thuoc;18025.0;1;0;nhap_luu;PR/107;Waterdemand2.dfs0;PR/107;;;no
Bay Thuoc;26000.0;1;0;nhap_luu;PR/107;Waterdemand2.dfs0;PR/107;;;no
Binh Chanh;12495.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
Binh Thanh;1196.0;1;0;nhap_luu;PR/109;Waterdemand2.dfs0;PR/109;;;no
Binh Thanh;11250.0;1;0;nhap_luu;PR/108;Waterdemand2.dfs0;PR/108;;;no
Bo Bo;1250.0;1;0;nhap_luu;WEVC/117;Waterdemand2.dfs0;WEVC/117;;;no
Bon Tong;21275.0;1;0;nhap_luu;LXQ/13;Waterdemand2.dfs0;LXQ/13;;;no
Bon Tong;34025.0;1;0;nhap_luu;LXQ/14;Waterdemand2.dfs0;LXQ/14;;;no
Bon Tong;41463.0;1;0;nhap_luu;LXQ/14;Waterdemand2.dfs0;LXQ/14;;;no
Branch AA;6172.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
Branch AB;2944.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
Branch AC;6996.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
Bui Moi;4500.0;1;0;nhap_luu;PR/105;Waterdemand2.dfs0;PR/105;;;no
C01;6548.5;1;0;nhap_luu;SUB1088;Waterdemand2.dfs0;SUB1088;;;no
C02;1380.0;1;0;nhap_luu;SUB1088;Waterdemand2.dfs0;SUB1088;;;no
C03;718.0;1;0;nhap_luu;SUB1088;Waterdemand2.dfs0;SUB1088;;;no
C05;1074.0;1;0;nhap_luu;SUB1088;Waterdemand2.dfs0;SUB1088;;;no
C06;2519.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C07;3613.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C08;3532.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C09;1155.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C10;1110.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C11;6610.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C12;8800.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C13;6554.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C14;3858.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C15;2370.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C16;5673.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C17;8586.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C18;2893.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C19;3741.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C20;2756.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C21;2155.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C22;4753.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C23;5388.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C24;4367.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C25;4007.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C26;3283.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C27;4943.0;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C28;11826.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C29;4615.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C30;5181.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C31;1014.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C32;4441.5;1;0;nhap_luu;SUB1090;Waterdemand2.dfs0;SUB1090;;;no
C33;6143.0;1;0;nhap_luu;SUB1091;Waterdemand2.dfs0;SUB1091;;;no
C34;4720.5;1;0;nhap_luu;SUB1091;Waterdemand2.dfs0;SUB1091;;;no
C35;4531.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C36;4229.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C37;4782.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C38;1733.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C39;2318.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C40;1334.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C41;2696.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C42;3783.5;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
C43;1000.0;1;0;nhap_luu;SUB1089;Waterdemand2.dfs0;SUB1089;;;no
CA MAU 1;2000.0;1;0;nhap_luu;W45;Waterdemand2.dfs0;QLPH/45;;;no
CA MAU 2;2000.0;1;0;nhap_luu;W45;Waterdemand2.dfs0;QLPH/45;;;no
CA MAU 2;5863.0;1;0;nhap_luu;W45;Waterdemand2.dfs0;QLPH/45;;;no
CA MAU 2;7977.0;1;0;nhap_luu;W45;Waterdemand2.dfs0;QLPH/45;;;no
CA MAU 4;2106.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CA MAU BL;26327.0;1;0;nhap_luu;W32;Waterdemand2.dfs0;QLPH/32;;;no
CA MAU BL;26327.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
CA MAU BL;37095.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
CA MAU BL;44771.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
CA MAU BL;49732.0;1;0;nhap_luu;W49;Waterdemand2.dfs0;W49;;;no
CA MAU11;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
CA MAU11;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
CA VINH;2000.0;1;0;nhap_luu;W30;Waterdemand2.dfs0;QLPH/30;;;no
CAI BE;15023.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
CAI BE;24853.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
CAI BE;35443.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
CAI BE;81654.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
CAI BE;86652.0;1;0;nhap_luu;W20;Waterdemand2.dfs0;WB/20;;;no
CAI CAU;4000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CAI CON BE;2000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CAI DA;4000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAI DIA;5000.0;1;0;nhap_luu;W21;Waterdemand2.dfs0;WB/21;;;no
CAI LON;2803.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
CAI LON;5084.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
CAI LON;8867.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
CAI LON;11378.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
CAI LON;12634.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
CAI LON;33917.0;1;0;nhap_luu;W51;Waterdemand2.dfs0;W51;;;no
CAI LON;39069.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
CAI LON;41874.0;1;0;nhap_luu;W51;Waterdemand2.dfs0;W51;;;no
CAI LON;74601.0;1;0;nhap_luu;W20;Waterdemand2.dfs0;WB/20;;;no
CAI LON;80832.0;1;0;nhap_luu;W21;Waterdemand2.dfs0;WB/21;;;no
CAI LON;86521.0;1;0;nhap_luu;W22;Waterdemand2.dfs0;WB/22;;;no
CAI LON;89522.0;1;0;nhap_luu;W22;Waterdemand2.dfs0;WB/22;;;no
CAI LON;100556.0;1;0;nhap_luu;W21;Waterdemand2.dfs0;WB/21;;;no
CAI LON;106388.0;1;0;nhap_luu;W22;Waterdemand2.dfs0;WB/22;;;no
CAI NHUM;200.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAI NHUM;2000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAI SAN;18144.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
CAI SAN;19599.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
CAI TAT;3000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAI TRAU;6705.0;1;0;nhap_luu;W28;Waterdemand2.dfs0;QLPH/28;;;no
CAI TRAU;8243.0;1;0;nhap_luu;W29;Waterdemand2.dfs0;QLPH/29;;;no
CAI TRAU;32574.0;1;0;nhap_luu;W30;Waterdemand2.dfs0;QLPH/30;;;no
CAI TRAU NG;13830.0;1;0;nhap_luu;W28;Waterdemand2.dfs0;QLPH/28;;;no
CAIBONGR;200.0;1;0;nhap_luu;W62;Waterdemand2.dfs0;W62;;;no
CAIHOP;7111.0;1;0;nhap_luu;SMT/83;Waterdemand2.dfs0;SMT/83;;;no
CAIHOP;14125.0;1;0;nhap_luu;SMT/83;Waterdemand2.dfs0;SMT/83;;;no
CAINUOC2;2456.0;1;0;nhap_luu;W60;Waterdemand2.dfs0;W60;;;no
CAINUOCRIVER;6000.0;1;0;nhap_luu;W61;Waterdemand2.dfs0;W61;;;no
CAN GAO;12373.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
CAN GAO;14500.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
CAN GAO;15465.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
CAN GAO;18647.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CAN GAO;32287.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
CAN GAO;57613.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CAN GAO;58890.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CAN GAO;63706.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CAN GAO;66748.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CAN GAO;68372.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CAN GAO;69500.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CAN_THO;6221.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
CAN_THO;9434.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
CAN_THO;19727.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAN_THO;24438.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
CAN_THO;32298.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
CAY BANG;2000.0;1;0;nhap_luu;W27;Waterdemand2.dfs0;QLPH/27;;;no
CAY GIUA;4000.0;1;0;nhap_luu;W44;Waterdemand2.dfs0;QLPH/44;;;no
CAYNHUM;200.0;1;0;nhap_luu;W63;Waterdemand2.dfs0;W63;;;no
CC4;6000.0;1;0;nhap_luu;W34;Waterdemand2.dfs0;QLPH/34;;;no
CDXDONG;2000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CDXDONG;9000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CDXDONG;9000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CG11_16;9225.0;1;0;nhap_luu;GC/97;Waterdemand2.dfs0;GC/97;;;no
CG17_18;10344.0;1;0;nhap_luu;GC/97;Waterdemand2.dfs0;GC/97;;;no
CHAC BANG;3062.0;1;0;nhap_luu;W42;Waterdemand2.dfs0;QLPH/42;;;no
CHAC BANG;11242.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
CHAC BANG;12079.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHAC BANG;12848.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
CHAC BANG;15321.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
CHAC BANG;21331.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
CHAC BANG;28687.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHAC BANG;30430.0;1;0;nhap_luu;W44;Waterdemand2.dfs0;QLPH/44;;;no
CHEMZ_278;5272.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_279;5034.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_282;1585.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_285;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_286;1416.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_288;3524.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_290;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_292;2586.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_296;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_297;3404.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_299;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_299;2113.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_300;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_300;5461.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_302;2483.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_302;4396.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_303;918.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_305;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_306;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_307;9094.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_308;11919.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_310;5357.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_312;1634.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_312;1634.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_313;200.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_314;200.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_314;4116.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_316;200.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_317;200.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_317;2431.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_321;808.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_321;808.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_323;1145.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_327;9067.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_328;3378.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_328;4765.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_328;11192.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_329;6667.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_330;1726.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_332;6587.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_335;6494.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_337;5521.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_338;200.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_338;1913.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_340;2010.0;1;0;nhap_luu;W55;Waterdemand2.dfs0;W55;;;no
CHEMZ_341;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_342;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_343;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHEMZ_343;200.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHIEN LUY;4000.0;1;0;nhap_luu;W36;Waterdemand2.dfs0;QLPH/36;;;no
CHIEN LUY;6536.0;1;0;nhap_luu;W36;Waterdemand2.dfs0;QLPH/36;;;no
CHO CU;6000.0;1;0;nhap_luu;W29;Waterdemand2.dfs0;QLPH/29;;;no
CHO CU1;3089.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
CHONG CHAC;2000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
CHONGMY;1487.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHONGMY;3821.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHONGMY;7949.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
CHUVANG1;6000.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
CM11;12491.0;1;0;nhap_luu;W58;Waterdemand2.dfs0;UMT/58;;;no
CM11;22054.0;1;0;nhap_luu;W58;Waterdemand2.dfs0;UMT/58;;;no
