nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
K.R.Trai;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
K.Thu5_1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
K285;6450.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
K286;7690.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
KENHTHUBA1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
KENHTHUHAI1;3836.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
KENHTHUSAU1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Kenh T6 ND;7000.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Kien Binh;7200.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
LANGSAC_CANAL;39146.0;0;5;bien_mo;Ben Trai;H_boudary_2011.dfs0;Ben Trai;H_BenTrai;H;yes
LUNGROGHE1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Lung Lon;8100.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Lung Lon 2;14900.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
LungRanh;0.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
Luynh Huynh;9300.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
MekongCam;0.0;0;1;bien_mo;1.Kratie;Q_kratie_2011_CVDV.dfs0;Q_Kratie2011;;;no
Mkampoul_s;0.0;0;1;bien_mo;;;;;;no
My Thanh;0.0;0;5;bien_mo;My Thanh;H_boudary_2011.dfs0;My Thanh;;;no
Ong Doc;38134.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
R. Ba Tinh;289.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
R. Sao Luoi;0.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
R. Thu Nhat;11222.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
R. Thuong Luong;700.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
R.Dinh;0.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
R.Thu10_1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
R.XeoDoi1;969.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
RACHTHUCHIN1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
RACHTHUTAM1;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
RACHXEOVET;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
RXEOQUAO;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Rach Gia HT;91258.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Rach_Duong_Keo2;27992.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
S. Cua Lon-Bo De;0.0;0;5;bien_mo;Ganh hao;H_boudary_2011.dfs0;Ganh hao;H_GanhHao;H;yes
S. Cua Lon-Bo De;60117.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
S.NGA BAY;23142.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vung Tau;H_VungTau;H;yes
Sai Gon;0.0;0;1;bien_mo;0.Dau Tieng;Q_xa_HT.dfs0;dautieng;;;no
Song_Tien_01_03;6189.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vam kenh;H_VamKenh;H;yes
Stung-Takaev;0.0;0;1;bien_mo;;;;;;no
T25;0.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
T29;2560.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
TV08_54;20092.0;0;5;bien_mo;Ben Trai;H_boudary_2011.dfs0;Ben Trai;H_BenTrai;H;yes
Ta Hem;3720.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
