tram;bief;sec;d_xy;d_ch;ch;q_col;wl_col
TanChau;11;979;58.679917498976224;24.51283493408482;14049.81716506599;Q_TanChau;H_TanChau
ChauDoc;1;74;18.5901531870085;234.1374852426452;38988.137485242645;Q_ChauDoc;H_ChauDoc
VamNao;15;1318;589.6963114567588;238.48863501195956;18662.181364987966;Q_VamNao;
MyThuan;12;1171;847.8402585960193;9.0;121672.0;Q_MyThuan;H_MyThuan
CanTho;2;279;1767.1542989800148;52.25;149753.0;Q_CanTho;H_CanTho
